
[00:00:00.000 --> 00:00:10.000]  一連幾個星期講傳道書 大家聽到這裏的時候 應該對所羅門的事蹟都有些印象
[00:00:10.000 --> 00:00:15.000]  如果要評論所羅門的一生 不知道你會怎樣評論呢
[00:00:15.000 --> 00:00:20.000]  你覺得所羅門是一個成功的人物 還是一個失敗的人物呢
[00:00:20.000 --> 00:00:28.000]  我相信我們都不會說 所羅門是一個完全成功 或者完全失敗的人物
[00:00:28.000 --> 00:00:33.000]  雖然我們知道 所羅門是擁有無可匹敵的智慧
[00:00:33.000 --> 00:00:39.000]  不過我們都看到 所羅門的一生 可以說是成敗參半
[00:00:39.000 --> 00:00:44.000]  不過我在這裏奇怪 所羅門他自己怎樣去品評他自己的一生呢
[00:00:44.000 --> 00:00:51.000]  普遍的解經家都相信 所羅門是在他晚年的時候寫傳道書的
[00:00:51.000 --> 00:01:03.000]  雖然聖經沒有很清楚講出 所羅門究竟有沒有從他濕腳跌倒有悔改
[00:01:03.000 --> 00:01:07.000]  聖經沒有這樣講過 不過在我們今天所讀的經文裏面
[00:01:07.000 --> 00:01:14.000]  似乎我們都很清楚看到 所羅門是為他所做過的錯誤來反省的
[00:01:14.000 --> 00:01:22.000]  亦都在他的評論人生裏面 去向後來的世代講出一些智慧
[00:01:22.000 --> 00:01:30.000]  讓我們今天來看看 在這一段 你可以說是 所羅門去回顧他一生所寫的一些評論
[00:01:30.000 --> 00:01:34.000]  我們一齊從當中來學習一下
[00:01:34.000 --> 00:01:46.000]  這個經文一開始的時候 我們可以這樣講 整個傳道書其實都是所羅門講他怎樣去探求人生的意義
[00:01:46.000 --> 00:01:54.000]  可以說這個書卷就是 所羅門對他自己一生的回顧和總結來的
[00:01:54.000 --> 00:02:03.000]  作為一個人擁有很高的智慧 我們都知道 所羅門是有權力 有財富 有名譽
[00:02:03.000 --> 00:02:09.000]  有知識 有資源 他對人生的評論或者總結
[00:02:09.000 --> 00:02:15.000]  絕對值得我們去看一看 究竟他的評論是怎樣
[00:02:15.000 --> 00:02:21.000]  當我們來到這個傳道書的最後一卷 我們剛才所讀的第十二章
[00:02:21.000 --> 00:02:25.000]  可以說是整本書的一個總結來的
[00:02:25.000 --> 00:02:30.000]  如果我們單單看第一節的時候 我們已經發覺 在單單短短一節的經文裏面
[00:02:30.000 --> 00:02:36.000]  其實我們已經看到 所羅門講了很多人生的真相
[00:02:36.000 --> 00:02:40.000]  他說你趁著年幼衰敗的日子尚未來到
[00:02:40.000 --> 00:02:44.000]  大家看看 什麼叫做衰敗的日子
[00:02:44.000 --> 00:02:50.000]  所羅門王說這個衰敗的日子 跟著有補充就是毫無喜樂的日子
[00:02:50.000 --> 00:02:56.000]  在這裏 所羅門指出 衰敗的日子 每一個人都要面對的
[00:02:56.000 --> 00:03:01.000]  沒有一個人能夠面對 我們都知道生老病死是人生的事實
[00:03:01.000 --> 00:03:06.000]  人每一個人都要經驗到的 沒有什麼新鮮是誰人都知道的
[00:03:06.000 --> 00:03:16.000]  不過是誰人都知道的事實 不等於每一個人都為了這個人生的事實作好準備
[00:03:16.000 --> 00:03:25.000]  我記得很多年前 我仍然在工作的時候 在電腦行業工作的時候
[00:03:25.000 --> 00:03:30.000]  有一次有一班同事在一個場合裏面來聊天
[00:03:30.000 --> 00:03:33.000]  聊到我們的退休金
[00:03:33.000 --> 00:03:37.000]  我們在討論哪個退休金比較賺錢一點 比較穩妥一點
[00:03:37.000 --> 00:03:45.000]  剛好在我旁邊的一個年輕女孩問我 你現在是用哪一個退休金的
[00:03:45.000 --> 00:03:48.000]  她看著我說 我24歲了
[00:03:48.000 --> 00:03:51.000]  好像我在問一個白癡的問題
[00:03:51.000 --> 00:03:57.000]  對她來說 我管她哪個退休金好 對她來說最重要的是 我今晚去哪裏玩
[00:03:57.000 --> 00:04:01.000]  去哪裏吃東西最便宜 最好玩 最好吃的 是不是
[00:04:01.000 --> 00:04:04.000]  她所關注的不是退休的問題
[00:04:04.000 --> 00:04:09.000]  我不怪責她20多歲 我想想 我20多歲的時候可能都是她這樣
[00:04:09.000 --> 00:04:11.000]  誰會想退休金的東西
[00:04:11.000 --> 00:04:21.000]  人生就是這樣 好像是一些看不到的人生的模式 或者是框框 框著我們的人生
[00:04:21.000 --> 00:04:26.000]  可能就是中國人所說的 隨波逐流
[00:04:26.000 --> 00:04:31.000]  所謂的隨波 這個波 指著我們的文化 我們的處境 我們的慾望
[00:04:31.000 --> 00:04:38.000]  而所羅門就在提點我們 如果我們要突破這個生命模型的框框的時候
[00:04:38.000 --> 00:04:43.000]  所羅門在提醒我們 我們要紀念 做我們的主
[00:04:43.000 --> 00:04:51.000]  大家留意 所羅門用這個形容來形容天父上帝 是創造我們的主
[00:04:51.000 --> 00:04:56.000]  所羅門大概用其他比較 更加常用的詞彙 是不是
[00:04:56.000 --> 00:05:01.000]  例如什麼 我們的上帝 我們的主 至聖者 是不是
[00:05:01.000 --> 00:05:03.000]  可以用很多形容來形容
[00:05:03.000 --> 00:05:11.000]  而德國所羅門在這裡 就是用創造主來去稱呼 形容天父上帝
[00:05:11.000 --> 00:05:15.000]  為什麼要這樣 為什麼要選擇這個形容詞呢
[00:05:15.000 --> 00:05:21.000]  我想講的很簡單 當我們記得我們有一個造物主的時候
[00:05:21.000 --> 00:05:25.000]  就知道我們是一個被造之物
[00:05:25.000 --> 00:05:30.000]  這個生命的事實 很多時候人都會忘記的
[00:05:30.000 --> 00:05:36.000]  而當我們忘記了我們有一個造物主的時候 我們會怎樣
[00:05:36.000 --> 00:05:40.000]  我們很多時候 當我們面對人生的困難 面對人生的問題的時候
[00:05:40.000 --> 00:05:45.000]  總是自己來嘗試去處理 自己來想辦法去解決
[00:05:45.000 --> 00:05:47.000]  我們忘記了有一個造物主
[00:05:47.000 --> 00:05:53.000]  而這個忘記 很多時候就引致我們覺得我們自己是一個獨立的
[00:05:53.000 --> 00:05:57.000]  是一個獨立的人 完全不需要跟這個創造者來負任何責任
[00:05:57.000 --> 00:06:01.000]  當我們有這樣的思想的時候 所羅門就告訴我們
[00:06:01.000 --> 00:06:04.000]  其實我們正在走向一個滅亡的道路
[00:06:04.000 --> 00:06:09.000]  所以他提點 我們要紀念 做我們的主
[00:06:09.000 --> 00:06:16.000]  當我們有這樣的認知的時候 我們就知道其實我們是造物主的一個傑作
[00:06:16.000 --> 00:06:20.000]  我們並不是我們自己生命的主人 神才是
[00:06:20.000 --> 00:06:24.000]  這個是一個 所羅門對我們的提點
[00:06:24.000 --> 00:06:27.000]  好了 我們再看下去第三到七節的時候
[00:06:27.000 --> 00:06:35.000]  所羅門就用了很生動的一些比喻 來形容人生的衰老過程
[00:06:35.000 --> 00:06:40.000]  我們的身體 我們的器官 怎樣來到一天比一天的衰退
[00:06:40.000 --> 00:06:45.000]  我們怎樣在這個衰退的過程裡面 我們慢慢的失去人生的喜樂
[00:06:45.000 --> 00:06:48.000]  所羅門在這裡講得很仔細 很生動
[00:06:48.000 --> 00:06:52.000]  我在這裡不花時間 每一節來跟大家講解
[00:06:52.000 --> 00:06:56.000]  不過我會留待星期三 接下來星期三的網上茶經
[00:06:56.000 --> 00:07:00.000]  跟大家一起去探討 這麼精彩的比喻
[00:07:00.000 --> 00:07:04.000]  不過我想大家留意一樣 在這個衰老過程
[00:07:04.000 --> 00:07:09.000]  所羅門描述完之後 所羅門做了一個總結
[00:07:09.000 --> 00:07:16.000]  在這段經文最後 陳土仍歸於地 寧仍歸於次寧的神
[00:07:16.000 --> 00:07:19.000]  在這裡 所羅門指出了一個事實
[00:07:19.000 --> 00:07:26.000]  就是在死亡之後 人的身體與靈魂都會有相同
[00:07:26.000 --> 00:07:30.000]  也都有不同的結局
[00:07:30.000 --> 00:07:38.000]  相同的結局就是說 身體與靈魂都會回歸出處
[00:07:38.000 --> 00:07:43.000]  由於神是用泥土做人 所以人死後
[00:07:43.000 --> 00:07:49.000]  我們的身體仍歸於地 塵歸塵
[00:07:49.000 --> 00:07:54.000]  接著 所羅門在八章六節提到
[00:07:54.000 --> 00:07:59.000]  各樣事務成就都有時候和定理
[00:07:59.000 --> 00:08:04.000]  就是說無論我們怎樣覺得自己了不起
[00:08:04.000 --> 00:08:09.000]  當我們面對人生的事實 生老病死的時候
[00:08:09.000 --> 00:08:13.000]  沒有一個人能夠有完全的控制
[00:08:13.000 --> 00:08:16.000]  所以在第八章八節 所羅門這樣說
[00:08:16.000 --> 00:08:20.000]  沒有人有權力掌管生命 將生命留住
[00:08:20.000 --> 00:08:23.000]  也沒有人有權力掌管死期
[00:08:23.000 --> 00:08:26.000]  這場爭戰沒有人能倖免
[00:08:26.000 --> 00:08:28.000]  就是說當人生的大限來到的時候
[00:08:28.000 --> 00:08:34.000]  沒有一個人能夠逆轉人生的結局
[00:08:34.000 --> 00:08:36.000]  不過 我們之前也說過
[00:08:36.000 --> 00:08:38.000]  人除了有一個身體之後
[00:08:38.000 --> 00:08:41.000]  人也是一個有靈的活人
[00:08:41.000 --> 00:08:43.000]  因為記不記得我跟大家說過
[00:08:43.000 --> 00:08:48.000]  當神做人之後 神向人的鼻孔吹了生氣
[00:08:48.000 --> 00:08:51.000]  所以人就成為一個有靈的活人
[00:08:51.000 --> 00:08:54.000]  換言之 我們的靈是來自天父上帝
[00:08:54.000 --> 00:08:56.000]  所以當死亡之後
[00:08:56.000 --> 00:09:00.000]  人的靈魂也都歸回次靈的神
[00:09:00.000 --> 00:09:04.000]  你說靈歸於次靈的神
[00:09:04.000 --> 00:09:06.000]  當所羅門這樣說的時候
[00:09:06.000 --> 00:09:08.000]  究竟是什麼意思呢
[00:09:08.000 --> 00:09:12.000]  我在想 會不會好像我們那些recycle
[00:09:12.000 --> 00:09:16.000]  回收再用 靈魂收回來之後
[00:09:16.000 --> 00:09:21.000]  洗一洗乾淨 清理了記憶再用
[00:09:21.000 --> 00:09:24.000]  給別人再用 是不是這樣呢
[00:09:24.000 --> 00:09:28.000]  還是說當人的靈魂離開了身體
[00:09:28.000 --> 00:09:30.000]  回到天父上帝的時候
[00:09:30.000 --> 00:09:35.000]  仍然是可以持有個別的個體聖語
[00:09:35.000 --> 00:09:37.000]  意識的呢
[00:09:37.000 --> 00:09:40.000]  究竟是怎樣呢
[00:09:40.000 --> 00:09:42.000]  所羅門王在11章9節這樣說
[00:09:42.000 --> 00:09:48.000]  他說 少年人啊 你在幼年應當快樂
[00:09:48.000 --> 00:09:50.000]  讓你的心得到暢快
[00:09:50.000 --> 00:09:52.000]  讓你所眼看見的
[00:09:52.000 --> 00:09:54.000]  你都可以去追求
[00:09:54.000 --> 00:09:56.000]  不過要知道
[00:09:56.000 --> 00:10:00.000]  為這一切事 神必審問你
[00:10:00.000 --> 00:10:02.000]  在這裡 所羅門王指出
[00:10:02.000 --> 00:10:08.000]  神是會審問每一個人在地上所做過的事情
