
[00:00:00.000 --> 00:00:07.080]  教會的元首,主耶穌基督,我們感謝祢帶領我們回到祢的面前
[00:00:07.080 --> 00:00:10.360]  我們歌頌,讚美祢的自己的名
[00:00:10.360 --> 00:00:14.360]  我們更加要在祢面前領受祢的華語
[00:00:14.360 --> 00:00:20.280]  好讓我們在行事為人上都能夠與我們所信的相稱
[00:00:20.280 --> 00:00:29.960]  求主祢顯明,好讓我們知道我們怎樣可以達成與信心相稱的行為
[00:00:29.960 --> 00:00:33.680]  祈禱奉耶穌基督名,阿們
[00:00:33.680 --> 00:00:37.360]  有一個故事是這樣的,有一個老闆跟員工說
[00:00:37.360 --> 00:00:40.400]  你用五百元去買一輛七人車回來
[00:00:40.400 --> 00:00:46.040]  員工就去,員工就私下跟同事說
[00:00:46.040 --> 00:00:51.240]  老闆是傻的,七人車便宜了十多萬一部
[00:00:51.240 --> 00:00:53.240]  他給我五百元,叫我去買
[00:00:53.240 --> 00:00:58.240]  與此同時,這個老闆就打電話給另一個老闆跟他說
[00:00:58.240 --> 00:01:03.240]  你知不知道我今天給了五百元給員工去買一輛七人車
[00:01:03.240 --> 00:01:07.240]  他真的去,傻傻的
[00:01:07.240 --> 00:01:13.680]  你會發覺員工取笑老闆無知,老闆取笑員工盲從
[00:01:13.680 --> 00:01:19.160]  這個故事涉及的是一個能力的層面
[00:01:19.160 --> 00:01:29.240]  老闆無理由不判斷一下員工是否有足夠資源去做到他想要做的事
[00:01:29.240 --> 00:01:32.600]  相反,員工又不是好得多
[00:01:32.600 --> 00:01:38.000]  他又不會看自己手上的資源是否真的做到
[00:01:38.000 --> 00:01:44.080]  如果做不到,他又沒有向老闆反映一下
[00:01:44.080 --> 00:01:50.080]  古語有云:無咁大個頭,無帶咁大頂帽
[00:01:50.080 --> 00:01:53.080]  類似的道理,耶穌也有說過
[00:01:53.080 --> 00:01:58.480]  但你將這個層面放在信仰上,你又要想一下
[00:01:58.480 --> 00:02:01.480]  我們的信仰要求是很高的
[00:02:01.480 --> 00:02:07.080]  但很多時候,你有沒有發覺我們有些是做到,但大部份都做不到
[00:02:07.080 --> 00:02:14.880]  如果是這樣,我們是否無咁大個頭,無帶咁大頂帽呢?
[00:02:14.880 --> 00:02:21.280]  到這裏,我們可能會想,只不過我們不想額外付出更多代價
[00:02:21.280 --> 00:02:23.880]  但會否太簡化這件事?
[00:02:23.880 --> 00:02:26.480]  如果不是這樣,問題又出在哪裏?
[00:02:26.480 --> 00:02:31.080]  我們跟大家一起思想,《老家福音》14章25至33節
[00:02:31.080 --> 00:02:36.480]  這段經文的上文,上星期Karen教師有跟我們一起思想
[00:02:36.480 --> 00:02:44.080]  這段經文的上文,之後林牧師又會繼續跟我們分享
[00:02:44.080 --> 00:02:48.280]  今天我就先講一個結局給大家聽
