
[00:00:00.000 --> 00:00:04.000]  「恃於禱告,作祝福的人」
[00:00:04.000 --> 00:00:08.000]  經文在《創世紀》第十二章一到三節
[00:00:08.000 --> 00:00:12.000]  我盼望大家能夠在今天的訊息領袖上
[00:00:12.000 --> 00:00:17.000]  能夠將這好幾方面都能夠拿捏得準確
[00:00:17.000 --> 00:00:22.000]  能夠明白原來整個核心的訊息是怎樣的
[00:00:22.000 --> 00:00:25.000]  這裡說到「恃於禱告」
[00:00:25.000 --> 00:00:30.000]  今天我們聽到的訊息原來是有關禱告的
[00:00:30.000 --> 00:00:33.000]  但是當中又說到作「祝福的人」
[00:00:33.000 --> 00:00:39.000]  並且經文是在《創世紀》第十二章一到三節
[00:00:39.000 --> 00:00:42.000]  那裡說到「阿伯拉罕蒙福」
[00:00:42.000 --> 00:00:45.000]  他同樣的都要成為一個「祝福的人」
[00:00:45.000 --> 00:00:51.000]  即是應該是怎樣理解的呢
[00:00:51.000 --> 00:00:55.000]  有些人說「蒙福」就是為了「祝福」
[00:00:55.000 --> 00:00:57.000]  大家有沒有聽過這樣的說法呢
[00:00:57.000 --> 00:00:59.000]  有沒有聽過
[00:00:59.000 --> 00:01:02.000]  「蒙福」就是為了「祝福」
[00:01:02.000 --> 00:01:03.000]  是一個命令來的
[00:01:03.000 --> 00:01:06.000]  我們「蒙福」就是為了「祝福」
[00:01:06.000 --> 00:01:08.000]  不過不期然的都問一個問題
[00:01:08.000 --> 00:01:11.000]  我們之所以能夠「蒙福」
[00:01:11.000 --> 00:01:16.000]  是不是就在當中目的就是要去「祝福別人」呢
[00:01:16.000 --> 00:01:23.000]  在這裡值得我們好好思想、發人心承
[00:01:23.000 --> 00:01:24.000]  大英職務門
[00:01:24.000 --> 00:01:26.000]  新年都很快來了對不對
[00:01:26.000 --> 00:01:28.000]  請問在新年裡邊
[00:01:28.000 --> 00:01:30.000]  如果以中國人的這個字眼當中
[00:01:30.000 --> 00:01:33.000]  最喜歡出現的是什麼呢
[00:01:33.000 --> 00:01:35.000]  帕麗士
[00:01:35.000 --> 00:01:36.000]  好
[00:01:36.000 --> 00:01:38.000]  在當中我們試一下
[00:01:38.000 --> 00:01:41.000]  Imagine就是這樣的情況
[00:01:41.000 --> 00:01:44.000]  新年到了
[00:01:44.000 --> 00:01:48.000]  你發覺那個大姑媽就來探望你
[00:01:48.000 --> 00:01:49.000]  然後呢
[00:01:49.000 --> 00:01:52.000]  大姑媽一看見你就說
[00:01:52.000 --> 00:01:54.000]  「快高長大」
[00:01:54.000 --> 00:01:56.000]  那你說都大定了
[00:01:56.000 --> 00:02:01.000]  然後大姑媽就給你利是
[00:02:01.000 --> 00:02:02.000]  但誰不知
[00:02:02.000 --> 00:02:04.000]  她給你利是的時候
[00:02:04.000 --> 00:02:06.000]  你妹妹不在這裡
[00:02:06.000 --> 00:02:07.000]  大姑媽說
[00:02:07.000 --> 00:02:09.000]  去了哪裡
[00:02:09.000 --> 00:02:11.000]  她去了英國
[00:02:11.000 --> 00:02:12.000]  因為在多倫多這裡
[00:02:12.000 --> 00:02:14.000]  有學校收她讀博士
[00:02:14.000 --> 00:02:17.000]  但原來她以前讀英國有些資料
[00:02:17.000 --> 00:02:19.000]  她要親自去拿回來
[00:02:19.000 --> 00:02:21.000]  然後大姑媽會怎樣說呢
[00:02:21.000 --> 00:02:22.000]  哦
[00:02:22.000 --> 00:02:23.000]  妹妹不在這裡
[00:02:23.000 --> 00:02:25.000]  那利是拿出來了
[00:02:25.000 --> 00:02:27.000]  你猜姑媽會怎樣做呢
[00:02:27.000 --> 00:02:28.000]  哦
[00:02:28.000 --> 00:02:29.000]  原來妹妹不在這裡
[00:02:29.000 --> 00:02:30.000]  好
[00:02:30.000 --> 00:02:32.000]  那我先給你一封
[00:02:32.000 --> 00:02:34.000]  會不會的
[00:02:34.000 --> 00:02:35.000]  不會的
[00:02:35.000 --> 00:02:36.000]  好
[00:02:36.000 --> 00:02:37.000]  再來一次
[00:02:37.000 --> 00:02:39.000]  大姑媽就說
[00:02:39.000 --> 00:02:42.000]  「快高長大」
[00:02:42.000 --> 00:02:45.000]  「給你們兩個的」
[00:02:45.000 --> 00:02:47.000]  妹妹不在這裡
[00:02:47.000 --> 00:02:51.000]  那你猜大姑媽會怎樣做呢
[00:02:51.000 --> 00:02:52.000]  是的
[00:02:52.000 --> 00:02:53.000]  都是這樣
[00:02:53.000 --> 00:02:55.000]  這一封給你的
[00:02:55.000 --> 00:02:56.000]  不過
[00:02:56.000 --> 00:02:58.000]  麻煩你幫幫大姑媽
[00:02:58.000 --> 00:02:59.000]  是什麼
