
[00:00:00.000 --> 00:00:04.980]  我今天懷著一個非常感恩和興奮的心情
[00:00:04.980 --> 00:00:09.220]  可以在這裡與弟兄姊妹分享神的說話
[00:00:09.220 --> 00:00:11.760]  另一方面我很體會
[00:00:11.760 --> 00:00:16.460]  上帝要我們整個教會一起學習
[00:00:16.460 --> 00:00:20.280]  在疫情下我們更加去體會和經歷
[00:00:20.280 --> 00:00:23.220]  上帝的恩典是夠用的
[00:00:23.220 --> 00:00:27.260]  在這個時候我特別借用這個機會
[00:00:27.260 --> 00:00:30.820]  多謝何牧師和教務團隊
[00:00:30.820 --> 00:00:33.520]  執事團隊、辦公室團隊
[00:00:33.520 --> 00:00:35.360]  各人都是謹守崗位
[00:00:35.360 --> 00:00:38.060]  我還記得在2月的時候
[00:00:38.060 --> 00:00:40.860]  我們還未可以恢復實體聚會的時候
[00:00:40.860 --> 00:00:43.780]  慢慢30%、50%
[00:00:43.780 --> 00:00:45.700]  我們看到陸陸續續弟兄姊妹
[00:00:45.700 --> 00:00:47.700]  開始回來教會的時候
[00:00:47.700 --> 00:00:49.740]  有很多弟兄姊妹跟我說
[00:00:49.740 --> 00:00:54.460]  回來實體崇拜他們心裏額外覺得親切
[00:00:54.460 --> 00:00:58.420]  一起唱詩、一起聽神的說話
[00:00:58.420 --> 00:01:03.540]  比在家裏看直播好
[00:01:03.540 --> 00:01:06.420]  這個事實是會有分別的
[00:01:06.420 --> 00:01:07.860]  不過我鼓勵大家
[00:01:07.860 --> 00:01:09.860]  無論你今天是在看直播
[00:01:09.860 --> 00:01:12.120]  或者你現在是在現場
[00:01:12.120 --> 00:01:15.000]  你的心都真的要專注為大
[00:01:15.000 --> 00:01:20.680]  我們需要一生都有一個很清晰的使命人生
[00:01:20.680 --> 00:01:23.160]  我們要專注在上帝的聖潔
[00:01:23.160 --> 00:01:25.160]  祂的公義、祂的慈愛身上
[00:01:25.160 --> 00:01:27.160]  以致我們不會走差
[00:01:27.160 --> 00:01:29.300]  我們不會迷失方向
[00:01:29.300 --> 00:01:31.300]  這個是極其重要的
[00:01:31.300 --> 00:01:37.340]  今天我會繼續延續今年整年我們在說的生命記
[00:01:37.340 --> 00:01:40.600]  我相信大家過去都已經聽了很多堂
[00:01:40.600 --> 00:01:44.060]  同工都很用心去預備這些訊息
[00:01:44.060 --> 00:01:47.380]  我今天先和大家看一個引言
[00:01:47.380 --> 00:01:52.340]  出自我們這個堂代一個很出名的君主
[00:01:52.340 --> 00:01:54.060]  大家知不知道他是誰?
[00:01:54.060 --> 00:01:57.500]  就是唐太宗李世民
[00:01:57.500 --> 00:02:04.720]  當他的一個他很喜歡的忠臣魏徵過身的時候
[00:02:04.720 --> 00:02:08.700]  他心裏非常念念不忘這一位
[00:02:08.700 --> 00:02:14.940]  他自己對他有所俊諫的一個非常好的大臣
[00:02:14.940 --> 00:02:17.740]  他心裏很傷心、很流淚
[00:02:17.740 --> 00:02:21.780]  他說「呼爾同為鏡,可義正義觀」
[00:02:21.780 --> 00:02:26.560]  「以仁為鏡可以知得失,以使為鏡可以知興緹」
[00:02:26.560 --> 00:02:31.120]  他知道這一位賢能之才的離世
[00:02:31.120 --> 00:02:34.220]  對他是一個很大的損失
[00:02:34.220 --> 00:02:38.620]  唐太宗是一個很喜歡聽取各種的進言
[00:02:38.620 --> 00:02:42.880]  他心知兼聽則明,偏信則暗的道理
[00:02:42.880 --> 00:02:45.420]  所以他成為一個很出色的一個明君
[00:02:45.420 --> 00:02:52.540]  也在我們中國歷史上帶動了這個唐代的傳承的一個時期
[00:02:52.540 --> 00:02:55.400]  我們看見為何他會這樣說呢?
[00:02:55.400 --> 00:02:57.760]  「以銅為鏡」相信大家都明白
[00:02:57.760 --> 00:03:00.340]  昔日他們是用銅來做鏡子的
[00:03:00.340 --> 00:03:03.220]  所以我們出來見人之前
[00:03:03.220 --> 00:03:05.220]  你都會看一看那塊鏡子
