
[00:00:00.000 --> 00:00:06.000]  我們最近一直在看詩篇裡面的一組詩篇
[00:00:06.000 --> 00:00:10.000]  稱為上行詩,不是下行詩
[00:00:10.000 --> 00:00:14.000]  上行詩一共有十五首
[00:00:14.000 --> 00:00:18.000]  我們已經思想了頭三首
[00:00:18.000 --> 00:00:22.000]  就是詩篇120到詩篇122
[00:00:22.000 --> 00:00:25.000]  每篇詩其實都不是很長的
[00:00:25.000 --> 00:00:29.000]  頭一首的主題是「悔改」
[00:00:29.000 --> 00:00:34.000]  這是所有跟隨上帝的人的第一步
[00:00:34.000 --> 00:00:39.000]  我們要立志歸向上帝
[00:00:39.000 --> 00:00:44.000]  認定上帝是我們生命的中心
[00:00:44.000 --> 00:00:47.000]  離開自以為是的態度
[00:00:47.000 --> 00:00:50.000]  改變我們的人生方向
[00:00:50.000 --> 00:00:53.000]  我們才會開始向上行
[00:00:53.000 --> 00:00:57.000]  開始這條天路的歷程
[00:00:57.000 --> 00:01:03.000]  第二首上行詩的主題是「天路歷程中的保護」
[00:01:03.000 --> 00:01:06.000]  詩人讓我看到
[00:01:06.000 --> 00:01:10.000]  當他向上行去耶路撒冷的時候
[00:01:10.000 --> 00:01:13.000]  周圍有很多的山
[00:01:13.000 --> 00:01:18.000]  在猶太人的山上有很多不同的神廟
[00:01:18.000 --> 00:01:25.000]  也有很多人到山上尋求異教偶像的幫助
[00:01:25.000 --> 00:01:29.000]  和在人生路上的保護
[00:01:29.000 --> 00:01:35.000]  但是詩人卻選擇單單信靠上帝的保護
[00:01:35.000 --> 00:01:41.000]  而能夠在不同的災難危機重重的生活當中
[00:01:41.000 --> 00:01:44.000]  享受心靈的平安
[00:01:44.000 --> 00:01:46.000]  我們活在這個時代
[00:01:46.000 --> 00:01:48.000]  雖然神廟不是很多
[00:01:48.000 --> 00:01:52.000]  但一樣有很多東西吸引我們離開上帝
[00:01:52.000 --> 00:01:54.000]  離開天路
[00:01:54.000 --> 00:01:56.000]  我們要堅定相信
[00:01:56.000 --> 00:02:01.000]  上帝才是那位真正有能力保護我們
[00:02:01.000 --> 00:02:05.000]  我們才不至於離開天路
[00:02:05.000 --> 00:02:10.000]  第三首上行詩的主題是「天路客的敬拜」
[00:02:10.000 --> 00:02:13.000]  詩人讓我們看到
[00:02:13.000 --> 00:02:16.000]  每一位真正信靠上帝的人
[00:02:16.000 --> 00:02:19.000]  歡喜快樂地去到聖殿裡
[00:02:19.000 --> 00:02:24.000]  和屬神的人一起敬拜創造天地的上主
[00:02:24.000 --> 00:02:27.000]  使詩人非常興奮
[00:02:27.000 --> 00:02:29.000]  或者我和大家分享一下
[00:02:29.000 --> 00:02:33.000]  在真誠的敬拜裡面會帶給我們的好處
[00:02:33.000 --> 00:02:40.000]  上個星期和大家分享
[00:02:40.000 --> 00:02:45.000]  第一個好處就是讓我們重新聚焦在生命的中心
[00:02:45.000 --> 00:02:51.000]  使我們不會被俗世的事情搞亂我們人生的方向
[00:02:51.000 --> 00:02:57.000]  第二就是敬拜帶給我們好的神人關係
[00:02:57.000 --> 00:03:01.000]  上帝做人其實就是要我們去敬拜祂
[00:03:01.000 --> 00:03:08.000]  第三就是帶領我們到神公義的審判寶座前
[00:03:08.000 --> 00:03:12.000]  上帝坐在天上的寶座
[00:03:12.000 --> 00:03:17.000]  是會為我們伸冤也會施恩給我們
[00:03:17.000 --> 00:03:24.000]  第四個好處就是藉著我們將平安祝福帶給別人
[00:03:24.000 --> 00:03:27.000]  當我們時常來敬拜上帝
[00:03:27.000 --> 00:03:30.000]  得蒙上帝祝福之後
[00:03:30.000 --> 00:03:35.000]  我們很自然會將平安帶回到我們的生活當中
[00:03:35.000 --> 00:03:37.000]  去祝福其他的人
[00:03:37.000 --> 00:03:43.000]  今天我們思想詩篇123是第四首上行之詩
[00:03:43.000 --> 00:03:45.000]  假如將來有人問你
[00:03:45.000 --> 00:03:49.000]  你知不知道詩篇123有幾多字經文
[00:03:49.000 --> 00:03:52.000]  其實經文這個答案很簡單
[00:03:52.000 --> 00:03:55.000]  123就是四 跟著下就行了
[00:03:55.000 --> 00:03:57.000]  四字是經文
[00:03:57.000 --> 00:04:04.000]  但是它讓我們學習到天路客的侍奉
[00:04:04.000 --> 00:04:06.000]  在天路歷程中的侍奉
[00:04:06.000 --> 00:04:12.000]  可以說是基督徒長大成熟的自然表現
[00:04:12.000 --> 00:04:18.000]  當一個基督徒在天路歷程中越來越親近上帝的時候
[00:04:18.000 --> 00:04:22.000]  越來越經歷到上帝的真實偉大
[00:04:22.000 --> 00:04:24.000]  慈愛憐憫的時候
