
[00:00:00.000 --> 00:00:03.580]  今天和大家一起思想有關神的道
[00:00:03.580 --> 00:00:05.900]  如何為神的道剛強
[00:00:05.900 --> 00:00:07.000]  大家一起祈禱
[00:00:07.000 --> 00:00:09.000]  我們仰望神帶領我們
[00:00:30.000 --> 00:00:32.000]  祝我們今天因為祢的道
[00:00:32.000 --> 00:00:36.000]  我們可以知道如何在世上生活
[00:00:36.000 --> 00:00:40.000]  領受在其中的平安和盼望
[00:00:40.000 --> 00:00:43.000]  主啊,求祢上上賜下祢的真道
[00:00:43.000 --> 00:00:48.000]  又加給我們力量去堅守在真道當中
[00:00:48.000 --> 00:00:50.000]  主啊,我們今天一起思想
[00:00:50.000 --> 00:00:53.000]  求祢自己聖靈指教我們
[00:00:53.000 --> 00:00:55.000]  又除去一切的障礙
[00:00:55.000 --> 00:00:59.000]  讓我們各人在祢面前再次蒙恩慰
[00:00:59.000 --> 00:01:00.000]  我們仰望祈禱
[00:01:00.000 --> 00:01:02.000]  奉耶穌基督聖名求
[00:01:02.000 --> 00:01:03.000]  阿們
[00:01:29.000 --> 00:01:32.000]  這個信念是重新提出來
[00:01:32.000 --> 00:01:35.000]  糾正當時的錯誤
[00:01:35.000 --> 00:01:36.000]  其中一點很清楚地說
[00:01:36.000 --> 00:01:43.000]  聖經是我們信仰的唯一和最高的權威
[00:01:43.000 --> 00:01:45.000]  所以當時很清楚地說
[00:01:45.000 --> 00:01:48.000]  唯獨聖經
[00:01:48.000 --> 00:01:50.000]  唯獨聖經意味著我們以聖經
[00:01:50.000 --> 00:01:55.000]  作為我們信仰最高的準則和權威
[00:01:55.000 --> 00:01:57.000]  所以你發覺在聖經裏面
[00:01:57.000 --> 00:01:59.000]  就不斷地講述
[00:01:59.000 --> 00:02:03.000]  整個道是不可以被輕視的
[00:02:03.000 --> 00:02:04.000]  而你看整本聖經
[00:02:04.000 --> 00:02:06.000]  由舊約到新約
[00:02:06.000 --> 00:02:09.000]  一個核心就是耶穌基督
[00:02:09.000 --> 00:02:10.000]  舊約的預言
[00:02:10.000 --> 00:02:13.000]  新約講到基督耶穌的生平
[00:02:13.000 --> 00:02:15.000]  和有關祂的教導
[00:02:15.000 --> 00:02:19.000]  所以信仰的核心也都在耶穌基督身上
[00:02:19.000 --> 00:02:23.000]  任何的信仰偏離了基督耶穌
[00:02:23.000 --> 00:02:26.000]  就不再有福音
[00:02:26.000 --> 00:02:29.000]  因此聖經裏面提到的基督耶穌
[00:02:29.000 --> 00:02:33.000]  也是我們今天會常常去講述的
[00:02:33.000 --> 00:02:36.000]  但是我們回看我們今天所身處的社會
[00:02:36.000 --> 00:02:38.000]  是一個多元化的社會
[00:02:38.000 --> 00:02:41.000]  強調要學習去尊重不同的文化
[00:02:41.000 --> 00:02:43.000]  不同背景的群體
[00:02:43.000 --> 00:02:45.000]  這個是應該的
[00:02:45.000 --> 00:02:48.000]  地上的萬俗都是神所創造的
[00:02:48.000 --> 00:02:51.000]  但是將多元化推到極端
[00:02:51.000 --> 00:02:54.000]  一切的事情都是多元化
[00:02:54.000 --> 00:02:57.000]  你就發覺人會否定
[00:02:57.000 --> 00:03:01.000]  聖經是神的獨一的真理
[00:03:01.000 --> 00:03:05.000]  會否定這個世界有獨一的真神
[00:03:05.000 --> 00:03:09.000]  不能夠接受有絕對的真理
[00:03:09.000 --> 00:03:12.000]  多元推到絕對
[00:03:12.000 --> 00:03:16.000]  就不接受有絕對的真理
[00:03:16.000 --> 00:03:19.000]  當你看到整個社會的情況的時候
[00:03:19.000 --> 00:03:21.000]  你就發覺當你要堅守著
[00:03:21.000 --> 00:03:23.000]  聖經是真理的時候
[00:03:23.000 --> 00:03:26.000]  你發覺很多人會說你是很保守的
[00:03:26.000 --> 00:03:28.000]  你很偏窄的
[00:03:28.000 --> 00:03:30.000]  你很霸道的
[00:03:30.000 --> 00:03:33.000]  很多這樣的批評就會出現
[00:03:33.000 --> 00:03:36.000]  甚至當你堅持一些信仰的立場的時候
[00:03:36.000 --> 00:03:40.000]  會有很多很強烈的字眼
[00:03:40.000 --> 00:03:42.000]  甚至暴力的語言
[00:03:42.000 --> 00:03:44.000]  去衝擊你去批評你
[00:03:44.000 --> 00:03:46.000]  這個是我們所見到
[00:03:46.000 --> 00:03:49.000]  今天社會常常出現的事情
[00:03:49.000 --> 00:03:53.000]  大家可能會留意最近有一個在八月份
[00:03:53.000 --> 00:03:56.000]  香港有一個港九培靈研經大會
[00:03:56.000 --> 00:03:58.000]  我想有部份的影視朋友有參與
[00:03:58.000 --> 00:04:01.000]  其中一位講員他叫DA Carson
[00:04:01.000 --> 00:04:03.000]  Carson博士
[00:04:03.000 --> 00:04:05.000]  Carson博士他曾經寫了一本書
[00:04:05.000 --> 00:04:07.000]  這本書的書名很特別
[00:04:07.000 --> 00:04:09.000]  英文名叫做
[00:04:09.000 --> 00:04:13.000]  The Intolerance of Tolerance
[00:04:13.000 --> 00:04:19.000]  如果稍微翻譯就是一個不能寬容的凡是寬容
[00:04:19.000 --> 00:04:21.000]  什麼都要承受的
[00:04:21.000 --> 00:04:23.000]  什麼都要容許
[00:04:23.000 --> 00:04:25.000]  什麼都要接納的
[00:04:25.000 --> 00:04:27.000]  Carson博士就指出
[00:04:27.000 --> 00:04:30.000]  這個觀念其實內部是自相矛盾的
[00:04:30.000 --> 00:04:33.000]  你不可能是所有東西都寬容
[00:04:33.000 --> 00:04:36.000]  因此他說這個是intolerable
[00:04:36.000 --> 00:04:39.000]  是不可以寬容的凡是寬容
[00:04:39.000 --> 00:04:43.000]  他這本書就在分析這種矛盾的狀況
[00:04:43.000 --> 00:04:46.000]  但是今天的世界就不斷有人提出
[00:04:46.000 --> 00:04:51.000]  要來去接受不同甚至是錯誤的
[00:04:51.000 --> 00:04:55.000]  不正當的一些觀念一些的行為
[00:04:55.000 --> 00:04:59.000]  剛才我們很感謝神牧師讓我們明白
[00:04:59.000 --> 00:05:01.000]  在英國的一些情況
[00:05:01.000 --> 00:05:05.000]  如果你留心這次教會派的家信
[00:05:05.000 --> 00:05:08.000]  你現在不要看字了
[00:05:08.000 --> 00:05:11.000]  你發覺中間有一篇文章
[00:05:11.000 --> 00:05:14.000]  是在參全年會的信息
[00:05:14.000 --> 00:05:16.000]  楊慶球牧師的信息
[00:05:16.000 --> 00:05:19.000]  楊牧師在參全年會提及一件事情
[00:05:19.000 --> 00:05:25.000]  他說在英國在1969年到2002年
[00:05:25.000 --> 00:05:28.000]  這33年之間
[00:05:28.000 --> 00:05:30.000]  英國的教會
[00:05:30.000 --> 00:05:33.000]  大家知道英國最多的教會是哪些教會
[00:05:33.000 --> 00:05:35.000]  是正宮會
[00:05:35.000 --> 00:05:37.000]  這33年之內
[00:05:37.000 --> 00:05:44.000]  英國的正宮會有1500間是關閉了
[00:05:44.000 --> 00:05:48.000]  1500間教會是關門
