
[00:00:00.000 --> 00:00:04.600]  今日我們繼續看貼薩諾尼加前書
[00:00:04.600 --> 00:00:06.760]  我們去到第五章
[00:00:06.760 --> 00:00:09.920]  第五章十二節至十五節
[00:00:09.920 --> 00:00:16.720]  我們看到小路寶羅向弟兄姊妹勸勉
[00:00:16.720 --> 00:00:20.240]  在寶羅書信裏面
[00:00:20.240 --> 00:00:23.040]  大部分的格式都是這樣
[00:00:23.040 --> 00:00:26.960]  去到最後篇幅的時候
[00:00:26.960 --> 00:00:30.040]  都是有一番勸勉的說話
[00:00:30.040 --> 00:00:33.320]  我們說不是一般的勸勉
[00:00:33.320 --> 00:00:37.120]  一般的勸勉即是固定的格式
[00:00:37.120 --> 00:00:41.960]  以及寫同樣的結語
[00:00:41.960 --> 00:00:45.120]  我們相信就是寶羅
[00:00:45.120 --> 00:00:50.040]  神藉著寶羅去寄語貼薩諾尼加教會
[00:00:50.040 --> 00:00:52.560]  他們要彼此和睦
[00:00:52.560 --> 00:00:54.560]  要向眾人忍耐
[00:00:54.560 --> 00:00:57.360]  並且要追求良善
[00:00:57.360 --> 00:00:58.640]  雖然今天我們說
[00:00:58.640 --> 00:01:02.120]  去到希臘這個地方
[00:01:02.120 --> 00:01:04.160]  再找不到貼薩諾尼加
[00:01:04.160 --> 00:01:07.480]  亦找不到貼薩諾尼加教會
[00:01:07.480 --> 00:01:13.760]  能夠找到的是一些歷史殘留的建築
[00:01:13.760 --> 00:01:16.400]  可能我們見到遺址
[00:01:16.400 --> 00:01:21.480]  但是神藉著寶羅建立貼薩諾尼加教會
[00:01:21.480 --> 00:01:24.440]  亦寫下貼薩諾尼加書信
[00:01:24.440 --> 00:01:26.040]  對於我們今天來說
[00:01:26.040 --> 00:01:28.160]  是有莫大的提醒
[00:01:28.160 --> 00:01:32.200]  今天我們讀到聖經貼薩諾尼加前書的時候
[00:01:32.200 --> 00:01:34.640]  我相信就是神要向我們說話
[00:01:34.640 --> 00:01:38.040]  要我們明白神的心意
[00:01:38.040 --> 00:01:44.800]  對教會的心意
[00:01:44.800 --> 00:01:46.240]  我們來讀經文
[00:01:46.240 --> 00:01:47.760]  我們齊聲地讀
[00:01:47.760 --> 00:01:49.160]  十二至十五節
[00:01:49.160 --> 00:01:50.680]  預備請
[00:01:50.680 --> 00:01:51.840]  弟兄們
[00:01:51.840 --> 00:01:56.640]  我們勸你們敬重那在你們中間勞苦的人
[00:01:56.640 --> 00:01:59.520]  就是在主裡面治理你們
[00:01:59.520 --> 00:02:01.360]  勸戒你們的
[00:02:01.360 --> 00:02:03.800]  有因他們所做的功
[00:02:03.800 --> 00:02:06.880]  用愛心格外尊重他們
[00:02:06.880 --> 00:02:09.840]  你們也要彼此和睦
[00:02:09.840 --> 00:02:17.440]  我又勸你們要警戒不守規矩
[00:02:17.440 --> 00:02:18.960]  在軟弱的人
[00:02:18.960 --> 00:02:21.720]  也要向眾人忍耐
[00:02:21.720 --> 00:02:23.440]  你們要謹慎
[00:02:23.440 --> 00:02:27.320]  無論是誰都不可以暴露
[00:02:27.320 --> 00:02:29.520]  或是彼此相待
[00:02:29.520 --> 00:02:31.280]  或是待眾人
[00:02:31.280 --> 00:02:35.800]  常要追求良善
[00:02:35.800 --> 00:02:38.120]  我們讀經文的時候
[00:02:38.120 --> 00:02:39.840]  我們看到
[00:02:39.840 --> 00:02:43.440]  使徒去語重心長
[00:02:43.440 --> 00:02:47.600]  去勸勉教會弟兄姊妹
[00:02:47.600 --> 00:02:51.680]  我們看回貼薩諾尼加教會的時候
[00:02:51.680 --> 00:02:54.400]  我們去認識他
[00:02:54.400 --> 00:02:56.720]  在《使徒行傳》第十七章
[00:02:56.720 --> 00:02:59.320]  給我們的印象是怎樣的呢?
[00:02:59.320 --> 00:03:00.680]  如果去分析的話
[00:03:00.680 --> 00:03:02.160]  給我的印象就是
[00:03:02.160 --> 00:03:05.960]  在一個躁動城市的狀態中
[00:03:05.960 --> 00:03:10.560]  因為當時使徒他們去到猶太人的會堂
[00:03:10.560 --> 00:03:12.560]  連續三個安息日
[00:03:12.560 --> 00:03:15.880]  來傳揚耶穌基督的救恩
[00:03:15.880 --> 00:03:18.800]  但是被當地的猶太人
[00:03:18.800 --> 00:03:22.960]  鼓動使者的匪類
[00:03:22.960 --> 00:03:27.440]  即是當地一些可能是黑幫的勢力
[00:03:27.440 --> 00:03:28.720]  也不一定
[00:03:28.720 --> 00:03:33.560]  來迫害使徒他們眾人
[00:03:33.560 --> 00:03:38.920]  我們看到教會其實都成立了
[00:03:38.920 --> 00:03:40.520]  都建立起來
[00:03:40.520 --> 00:03:45.800]  雖然保羅要逃離貼薩諾尼加教會
[00:03:45.800 --> 00:03:47.440]  但是我們看到
[00:03:47.440 --> 00:03:51.120]  弟兄姊妹生活得不錯
[00:03:51.120 --> 00:03:57.200]  他們在教會裏面的侍奉、見證都不錯
[00:03:57.200 --> 00:03:58.360]  但是我們說
[00:03:58.360 --> 00:04:02.040]  在教會裏面我們首先來看
[00:04:02.040 --> 00:04:07.080]  我們自己是屬於哪一個的
[00:04:07.080 --> 00:04:09.600]  史禮普羅一開始的時候
[00:04:09.600 --> 00:04:13.080]  就說到教會所屬
[00:04:13.080 --> 00:04:14.800]  書信的開始
[00:04:14.800 --> 00:04:20.360]  第一句就說
[00:04:20.360 --> 00:04:22.840]  我保羅西拉提摩泰
[00:04:22.840 --> 00:04:29.440]  寫信給貼薩諾尼加在父神和主耶穌基督的教會
[00:04:29.440 --> 00:04:30.800]  接著就說
[00:04:30.800 --> 00:04:33.280]  因為我們的福音傳到你們那裏
[00:04:33.280 --> 00:04:35.000]  不獨在乎言語
[00:04:35.000 --> 00:04:37.440]  也在乎權能和聖靈
[00:04:37.440 --> 00:04:39.560]  這經文大家都讀過的
[00:04:39.560 --> 00:04:40.840]  大家都認識的
[00:04:40.840 --> 00:04:42.320]  但我們不可以忽略的就是
[00:04:42.320 --> 00:04:45.240]  原來保羅一開始就說
[00:04:45.240 --> 00:04:49.840]  教會是屬於哪一個的
[00:04:49.840 --> 00:04:50.880]  我們說
[00:04:50.880 --> 00:04:53.600]  教會在父神裏面的
[00:04:53.600 --> 00:04:55.800]  是在主耶穌基督裏面的
[00:04:55.800 --> 00:05:03.280]  並且福音傳到當地是在乎聖靈的
