
[00:00:00.000 --> 00:00:03.000]  我們一起再一次低頭禱告
[00:00:03.000 --> 00:00:05.600]  天父,我們求祢帶領我們
[00:00:05.600 --> 00:00:08.400]  今天來到祢面前聚集的時候
[00:00:08.400 --> 00:00:10.600]  願祢自己跟我們說說話
[00:00:10.600 --> 00:00:13.000]  我們知道祢是真神的時候
[00:00:13.000 --> 00:00:16.200]  祢願意我們聽到祢的聲音
[00:00:16.200 --> 00:00:17.600]  求祢幫助我們
[00:00:17.600 --> 00:00:19.600]  主要讓我們有開放的心靈
[00:00:19.600 --> 00:00:21.800]  讓我們有聆聽的耳朵
[00:00:21.800 --> 00:00:23.800]  讓我們聽到祢的聲音的時候
[00:00:23.800 --> 00:00:28.400]  我們也有一個踴躍的心去回應
[00:00:28.400 --> 00:00:30.000]  奉儀書基督的名其靠
[00:00:30.000 --> 00:00:31.000]  回門
[00:00:31.000 --> 00:00:35.000]  今天我們繼續看《使徒信經》
[00:00:35.000 --> 00:00:42.000]  說到關於主耶穌的最後幾句
[00:00:42.000 --> 00:00:45.800]  《使徒信經》其實分了三部份
[00:00:45.800 --> 00:00:48.000]  聖父、聖子、聖靈
[00:00:48.000 --> 00:00:51.400]  今天就是聖子的最後一部份
[00:00:51.400 --> 00:00:53.800]  我們先讀一讀《使徒信經》
[00:00:53.800 --> 00:00:56.000]  我信上帝,全能的父
[00:00:56.000 --> 00:00:57.800]  創造天地的主
[00:00:57.800 --> 00:00:59.600]  我信我主耶穌基督
[00:00:59.600 --> 00:01:01.600]  上帝的獨生子
[00:01:01.600 --> 00:01:03.000]  因聖靈感恩
[00:01:03.000 --> 00:01:05.400]  由童精女瑪利亞所生
[00:01:05.400 --> 00:01:08.000]  在本丟比拉多手下受難
[00:01:08.000 --> 00:01:11.400]  被釘十字架受死埋葬
[00:01:11.400 --> 00:01:14.000]  第三天從死人中復活
[00:01:14.000 --> 00:01:17.600]  聖天在在全能赴上帝的右邊
[00:01:17.600 --> 00:01:20.000]  將來必從那裡降臨
[00:01:20.000 --> 00:01:22.000]  審判活人死人
[00:01:22.000 --> 00:01:23.400]  我信聖靈
[00:01:23.400 --> 00:01:26.000]  我信聖兒公之教會
[00:01:26.000 --> 00:01:28.000]  我信聖徒相通
[00:01:28.000 --> 00:01:30.000]  我信罪得赦免
[00:01:30.000 --> 00:01:31.800]  我信身體復活
[00:01:31.800 --> 00:01:33.600]  我信永生
[00:01:33.600 --> 00:01:34.800]  鄧克門
[00:01:34.800 --> 00:01:39.400]  好了,我們今天就會講一句就是
[00:01:39.400 --> 00:01:42.400]  聖天在在全能赴上帝的右邊
[00:01:42.400 --> 00:01:44.800]  將來必從那裡降臨
[00:01:44.800 --> 00:01:47.200]  審判活人死人
[00:01:47.200 --> 00:01:49.800]  我們不如再由頭讀到
[00:01:49.800 --> 00:01:51.400]  《審判活人死人》那裡
[00:01:51.400 --> 00:01:53.600]  我們又是讀三次
[00:01:53.600 --> 00:01:56.800]  接著試試看能背多少
[00:01:56.800 --> 00:01:58.400]  一二三
[00:01:58.400 --> 00:02:01.400]  我信上帝全能的乎
[00:02:01.400 --> 00:02:03.600]  創造天地的主
[00:02:03.600 --> 00:02:06.600]  我信我主耶穌基督
[00:02:06.600 --> 00:02:08.800]  上帝的獨生子
