
[00:00:00.000 --> 00:00:02.420]  我們主日早上來到就是一個目的
[00:00:02.420 --> 00:00:04.660]  我們敬拜我們的主 Amen
[00:00:04.660 --> 00:00:08.240]  願以剛才的敬拜大大的祝福
[00:00:08.240 --> 00:00:09.720]  好 我想問一下旁邊的人
[00:00:09.720 --> 00:00:11.440]  問你預備好了沒?
[00:00:11.440 --> 00:00:13.160]  好
[00:00:13.160 --> 00:00:15.240]  今天的訊息可能會零散一點
[00:00:15.240 --> 00:00:18.320]  因為我們會選取一些經文
[00:00:18.320 --> 00:00:20.520]  所以請大家可以
[00:00:20.520 --> 00:00:22.200]  你也都預備你的經文
[00:00:22.200 --> 00:00:23.040]  如果你有經文
[00:00:23.040 --> 00:00:24.000]  原來很方便的
[00:00:24.000 --> 00:00:25.880]  最近用了一個智能
[00:00:25.880 --> 00:00:27.080]  不是手機來的
[00:00:27.080 --> 00:00:28.320]  那就有電話
[00:00:28.320 --> 00:00:29.680]  就是沒有電話的唯一
[00:00:29.680 --> 00:00:32.120]  有日記 有經文
[00:00:32.120 --> 00:00:33.880]  所以我最近速讀
[00:00:33.880 --> 00:00:35.360]  創世紀都很快
[00:00:35.360 --> 00:00:36.440]  總之拿著就讀
[00:00:36.440 --> 00:00:38.240]  OK 我們在科技的時候
[00:00:38.240 --> 00:00:40.840]  幫助我們更愛耶穌 Amen
[00:00:40.840 --> 00:00:42.080]  OK 好
[00:00:42.080 --> 00:00:42.880]  我們預備了手
[00:00:42.880 --> 00:00:43.920]  有一張PowerPoint
[00:00:43.920 --> 00:00:46.800]  我們留意看一看
[00:00:46.800 --> 00:00:48.720]  在我們生命的成長裡面
[00:00:48.720 --> 00:00:50.280]  當一個BB出生
[00:00:50.280 --> 00:00:53.840]  要成為一個牧師 醫師 成人的時候
[00:00:53.840 --> 00:00:56.720]  有幾樣東西在他出生的時候一定要做
[00:00:56.720 --> 00:00:58.200]  所以做父母一定要明白
[00:00:58.200 --> 00:00:59.880]  第一樣是什麼呢
[00:00:59.880 --> 00:01:02.280]  就是餵他奶
[00:01:02.280 --> 00:01:04.320]  第二就是要讓這個BB
[00:01:04.320 --> 00:01:05.600]  餵完奶之後
[00:01:05.600 --> 00:01:06.840]  睡覺也好 怎樣都好
[00:01:06.840 --> 00:01:08.040]  一定要他動
[00:01:08.040 --> 00:01:10.400]  就要他哭一下 叫一下
[00:01:10.400 --> 00:01:11.720]  因為當他這樣做的時候
[00:01:11.720 --> 00:01:13.040]  就好像我們的生命
[00:01:13.040 --> 00:01:14.800]  動啊 成長一樣
[00:01:14.800 --> 00:01:18.600]  第三樣比餵奶睡覺更緊張的就是
[00:01:18.600 --> 00:01:21.400]  所有的照顧BB都知道的
[00:01:21.400 --> 00:01:24.480]  一定要有便便
[00:01:24.480 --> 00:01:26.520]  如果沒有便便就大件事了
[00:01:26.520 --> 00:01:28.840]  便便在屬靈裡面我們可以覺得
[00:01:28.840 --> 00:01:31.440]  將一些污穢的東西或者認罪排出來
[00:01:31.440 --> 00:01:33.760]  最後一樣東西我們很不發覺的
[00:01:33.760 --> 00:01:36.720]  BB需要休息 睡覺
[00:01:36.720 --> 00:01:40.320]  當他由這個BB成為一個長大的成人的時候
[00:01:40.320 --> 00:01:43.800]  這四個元素不能夠缺乏
[00:01:43.800 --> 00:01:46.320]  任何一個元素不行
[00:01:46.320 --> 00:01:49.360]  他都不能夠成為一個很完備的小朋友
[00:01:49.360 --> 00:01:51.680]  或者是成年人 Amen
[00:01:51.680 --> 00:01:53.280]  是個內人就知道了
[00:01:53.280 --> 00:01:55.120]  同樣的 我沒有BB 我不明白
[00:01:55.120 --> 00:01:57.280]  當你信了耶穌的時候
