
[00:00:00.000 --> 00:00:04.120]  耶穌基督教我們祈禱的時候
[00:00:04.120 --> 00:00:06.720]  要願祂的國降臨
[00:00:06.720 --> 00:00:10.720]  要願祂的旨意成就在地
[00:00:10.720 --> 00:00:13.720]  當我們這樣祈禱的時候
[00:00:13.720 --> 00:00:17.720]  我們可能會發覺有一個很大的問題會出現
[00:00:17.720 --> 00:00:19.720]  這是什麼問題?
[00:00:19.720 --> 00:00:22.720]  這是一個矛盾
[00:00:22.720 --> 00:00:28.720]  爲什麼我們相信那些偉神是萬有的主宰
[00:00:28.720 --> 00:00:32.720]  一切都是掌握在祂的手中
[00:00:32.720 --> 00:00:36.720]  祂說有就有 祂說立就立
[00:00:36.720 --> 00:00:40.720]  既然這樣一切都是按祂的旨意行走的時候
[00:00:40.720 --> 00:00:46.720]  爲什麼我們還要願祂的旨意成就在地?
[00:00:46.720 --> 00:00:51.720]  這是一個矛盾
[00:00:51.720 --> 00:00:55.720]  很多時候當神教我們
[00:00:55.720 --> 00:00:58.720]  當耶穌基督教我們這樣祈禱的時候
[00:00:58.720 --> 00:01:03.720]  我們就這樣祈禱 但心裏始終有些不安
[00:01:03.720 --> 00:01:06.720]  既然神是這麼大能的 爲什麼要我去祈禱呢?
[00:01:06.720 --> 00:01:09.720]  成就祂的旨意
[00:01:09.720 --> 00:01:12.720]  到底我們的祈禱是否真的能夠有什麼作爲?
[00:01:12.720 --> 00:01:16.720]  是否真的能夠改變事情的發生?
[00:01:16.720 --> 00:01:19.720]  這個我相信很多人都會問
[00:01:19.720 --> 00:01:23.720]  既然神已經預備了宇宙的開始
[00:01:23.720 --> 00:01:26.720]  預備了宇宙是怎樣結束
[00:01:26.720 --> 00:01:32.720]  由開始到結束都運行在祂的籌算裏面
[00:01:32.720 --> 00:01:36.720]  爲什麼我們還要祈禱呢?
[00:01:36.720 --> 00:01:41.720]  甚至有很多基督徒認爲祈禱是多餘的
[00:01:41.720 --> 00:01:44.720]  如果按照神的旨意來做
[00:01:44.720 --> 00:01:47.720]  我們就不需要祈禱了
[00:01:47.720 --> 00:01:51.720]  但是也有些基督徒去到另外一個極端
[00:01:51.720 --> 00:01:55.720]  說是呀,神的旨意可能和我們的旨意不同
[00:01:55.720 --> 00:01:57.720]  所以我們就要祈禱
[00:01:57.720 --> 00:02:02.720]  我們要拼命恆久持續地祈禱
[00:02:02.720 --> 00:02:07.720]  祈禱希望神會改變祂的旨意來符合我們的旨意
[00:02:07.720 --> 00:02:10.720]  但好像那些小朋友叫爸爸媽媽買玩具
[00:02:10.720 --> 00:02:12.720]  爸爸媽媽不願意又怎樣呢?
[00:02:12.720 --> 00:02:13.720]  不願意
[00:02:13.720 --> 00:02:15.720]  一直不願意
[00:02:15.720 --> 00:02:19.720]  堅持恆久祈禱,希望神會改變祂的旨意
[00:02:19.720 --> 00:02:21.720]  如果真是這樣的話
[00:02:21.720 --> 00:02:24.720]  是不是願神的旨意成就在地呢?
[00:02:24.720 --> 00:02:26.720]  不是願神的旨意成就在地
[00:02:26.720 --> 00:02:30.720]  是願我們自己的旨意成就在地
[00:02:30.720 --> 00:02:34.720]  所以這不是祈禱的原因
[00:02:34.720 --> 00:02:37.720]  如果是這樣的話
[00:02:37.720 --> 00:02:38.720]  爲什麼還要祈禱呢?
[00:02:38.720 --> 00:02:45.720]  我們看看《針研》19章21節
[00:02:45.720 --> 00:02:47.720]  聖經告訴我們
[00:02:47.720 --> 00:02:49.720]  人心多有計謀
[00:02:49.720 --> 00:02:54.720]  唯有耶和華的曹擅才能立定
[00:02:54.720 --> 00:02:57.720]  而《塞瓦書》14章24節也說
[00:02:57.720 --> 00:03:00.720]  萬君子耶和華起誓
[00:03:00.720 --> 00:03:04.720]  說:我怎樣思想必照樣成就
[00:03:04.720 --> 00:03:09.720]  我怎樣定義必照樣成立
[00:03:09.720 --> 00:03:13.720]  既然神所思想的就能成就
[00:03:13.720 --> 00:03:15.720]  祂所定義的就能成立
[00:03:15.720 --> 00:03:17.720]  爲什麼還要我們祈禱呢?
[00:03:17.720 --> 00:03:23.720]  很明顯的一個是自相矛盾
[00:03:23.720 --> 00:03:25.720]  但是聖經裏面
[00:03:25.720 --> 00:03:29.720]  有這麼多一樣的經文都告訴我們
[00:03:29.720 --> 00:03:32.720]  有很多東西都有矛盾
[00:03:32.720 --> 00:03:35.720]  其實這些不是真真正正的矛盾
[00:03:35.720 --> 00:03:37.720]  這是神的大能
[00:03:37.720 --> 00:03:38.720]  是神的智慧
[00:03:38.720 --> 00:03:40.720]  是神的奧祕
[00:03:40.720 --> 00:03:42.720]  當我們人是渺小的時候
[00:03:42.720 --> 00:03:43.720]  我們見到神的大能
[00:03:43.720 --> 00:03:45.720]  不能夠明白
[00:03:45.720 --> 00:03:47.720]  我們就說這些是矛盾
[00:03:47.720 --> 00:03:49.720]  其實不是矛盾
[00:03:49.720 --> 00:03:50.720]  這是證明給我們看
[00:03:50.720 --> 00:03:53.720]  神的意念是高過我們的意念
[00:03:53.720 --> 00:03:57.720]  神的道路是高過我們的道路
[00:03:57.720 --> 00:03:59.720]  我們可以看看其他
[00:03:59.720 --> 00:04:02.720]  有很多東西我們都可以認爲是矛盾
[00:04:02.720 --> 00:04:03.720]  例如
[00:04:03.720 --> 00:04:09.720]  究竟聖經是神寫還是人寫?
[00:04:09.720 --> 00:04:11.720]  答案是什麼?
[00:04:11.720 --> 00:04:14.720]  答案是「是」
[00:04:14.720 --> 00:04:16.720]  兩樣都是
[00:04:16.720 --> 00:04:18.720]  又是神寫的
[00:04:18.720 --> 00:04:21.720]  又是人寫的
[00:04:21.720 --> 00:04:23.720]  但我們見到提摩太後書說什麼?
[00:04:23.720 --> 00:04:25.720]  提摩太後書三章十六節
[00:04:25.720 --> 00:04:28.720]  說「聖經都是神所物事的
[00:04:28.720 --> 00:04:31.720]  於教導督察使人歸正
[00:04:31.720 --> 00:04:34.720]  教導人學義都是有益的」
[00:04:34.720 --> 00:04:37.720]  原文說「物事」是什麼意思?
[00:04:37.720 --> 00:04:42.720]  「物事」的意思就是神在聖經上吹一口氣
[00:04:42.720 --> 00:04:45.720]  以至雖然是罪人寫出來
[00:04:45.720 --> 00:04:51.720]  但能夠保持聖經是無誤、無錯
[00:04:51.720 --> 00:04:54.720]  在彼得後書二章二十一節也說
[00:04:54.720 --> 00:04:58.720]  「因爲預言從來沒有出於人意的
[00:04:58.720 --> 00:05:03.720]  乃是人被聖靈感動說出神的話來」
[00:05:03.720 --> 00:05:04.720]  彼得告訴我們
[00:05:04.720 --> 00:05:07.720]  聖經裏所說的一切預言
[00:05:07.720 --> 00:05:10.720]  不是出於人的意思
[00:05:10.720 --> 00:05:12.720]  是神是透過聖靈
[00:05:12.720 --> 00:05:18.720]  被作者說出神的話來
[00:05:18.720 --> 00:05:22.720]  不是靠人的意思
[00:05:22.720 --> 00:05:24.720]  聖經也不是物書
[00:05:24.720 --> 00:05:26.720]  物事不是物書
[00:05:26.720 --> 00:05:28.720]  不是神去到作者說
[00:05:28.720 --> 00:05:30.720]  你拿起筆你坐下
[00:05:30.720 --> 00:05:33.720]  我說那句你就寫那句
[00:05:33.720 --> 00:05:34.720]  不是的
[00:05:34.720 --> 00:05:36.720]  物事不是物書
[00:05:36.720 --> 00:05:38.720]  你能夠見得到
[00:05:38.720 --> 00:05:41.720]  作者寫的聖經
[00:05:41.720 --> 00:05:43.720]  每個作者都有不同
[00:05:43.720 --> 00:05:45.720]  有不同的作風
[00:05:45.720 --> 00:05:47.720]  有不同的字眼
