
[00:00:00.000 --> 00:00:04.240]  今天我們分享的題目叫做「你追求什麼?」
[00:00:04.240 --> 00:00:06.720]  作為一個很忙碌的香港人
[00:00:06.720 --> 00:00:08.840]  我們應該每天都在追求不同的東西
[00:00:08.840 --> 00:00:11.920]  我們的生命可能都在追逐不同的目標
[00:00:11.920 --> 00:00:15.880]  或者是在追求我們想擁有的東西
[00:00:15.880 --> 00:00:19.240]  但是我們有沒有試過靜下來問一下
[00:00:19.240 --> 00:00:21.880]  究竟其實我們的人生
[00:00:21.880 --> 00:00:23.600]  又是在追求什麼呢?
[00:00:23.600 --> 00:00:26.040]  我們人生的目標是什麼?
[00:00:26.280 --> 00:00:30.080]  或者再問一下其實我們人生的意義又是什麼?
[00:00:30.080 --> 00:00:32.920]  認識我的人都知道我很喜歡貓
[00:00:32.920 --> 00:00:34.680]  我家裡也有兩隻貓
[00:00:34.680 --> 00:00:37.480]  很喜歡和那兩隻貓玩一個遊戲
[00:00:37.480 --> 00:00:39.400]  不知道你養貓有沒有試過
[00:00:39.400 --> 00:00:41.120]  就是和牠們玩雷射筆
[00:00:41.120 --> 00:00:42.920]  好玩是不是?
[00:00:42.920 --> 00:00:44.560]  我家裡那兩隻貓
[00:00:44.560 --> 00:00:45.920]  你一拿起那支雷射筆
[00:00:45.920 --> 00:00:46.800]  牠已經知道什麼事了
[00:00:46.800 --> 00:00:48.360]  就不斷追著你
[00:00:48.360 --> 00:00:50.480]  如果你沒有養貓
[00:00:50.480 --> 00:00:51.720]  就說一下雷射筆是怎麼玩的
[00:00:51.720 --> 00:00:52.560]  雷射筆就是這樣的
[00:00:52.560 --> 00:00:54.400]  你一按就有一點光的
[00:00:54.680 --> 00:00:56.960]  你一點光出來的時候那隻貓就會
[00:00:56.960 --> 00:00:58.880]  這樣追著
[00:00:58.880 --> 00:01:01.480]  基本上那些光去到哪裡
[00:01:01.480 --> 00:01:02.280]  那兩隻貓就會
[00:01:02.280 --> 00:01:04.920]  就是這樣追的了
[00:01:04.920 --> 00:01:06.920]  牠這樣來來去去的時候我就想
[00:01:06.920 --> 00:01:11.760]  有時候我們的生命會不會都好像貓和雷射筆一樣
[00:01:11.760 --> 00:01:13.720]  我們去追這東西
[00:01:13.720 --> 00:01:14.880]  去追那東西
[00:01:14.880 --> 00:01:16.240]  真的來去去
[00:01:16.240 --> 00:01:17.480]  撲來撲去
[00:01:17.480 --> 00:01:19.760]  但是有沒有想過是為了什麼呢?
[00:01:19.760 --> 00:01:21.720]  究竟我們是追什麼?
[00:01:21.960 --> 00:01:24.800]  究竟這東西對於我們的生命有什麼意義呢?
[00:01:24.800 --> 00:01:26.200]  有時候
[00:01:26.200 --> 00:01:27.160]  我們真的
[00:01:27.160 --> 00:01:30.160]  有時候我看到那兩隻貓都跟我一樣的
[00:01:30.160 --> 00:01:30.920]  肥的
[00:01:30.920 --> 00:01:33.640]  和有一隻比較走動小的
[00:01:33.640 --> 00:01:34.840]  追得差不多就會這樣
[00:01:34.840 --> 00:01:37.080]  是的
[00:01:37.080 --> 00:01:37.800]  那你想想
[00:01:37.800 --> 00:01:40.040]  這麼辛苦是為了什麼呢?
[00:01:40.040 --> 00:01:42.600]  有時候我覺得我們的生命都好像
[00:01:42.600 --> 00:01:43.800]  雷射筆和貓一樣
[00:01:43.800 --> 00:01:44.200]  為什麼呢?
[00:01:44.200 --> 00:01:45.160]  因為有時候
[00:01:45.160 --> 00:01:46.840]  我看到兩隻貓這麼累
[00:01:46.840 --> 00:01:48.240]  我就會停下來那一點
[00:01:48.240 --> 00:01:50.200]  於是牠就會走過去
[00:01:50.200 --> 00:01:51.640]  然後用手一按
[00:01:51.960 --> 00:01:53.160]  拍在那一點上
[00:01:53.160 --> 00:01:57.080]  其實那一點是牠永遠都抓不到的光而已
[00:01:57.080 --> 00:01:59.080]  那東西不是實物
[00:01:59.080 --> 00:02:00.960]  有時候我們的生命會不會都是這樣呢?
[00:02:00.960 --> 00:02:02.600]  我們追下去追去
[00:02:02.600 --> 00:02:03.960]  我們以為追到了
[00:02:03.960 --> 00:02:04.960]  一拍拍下去
[00:02:04.960 --> 00:02:05.480]  哎呀
[00:02:05.480 --> 00:02:09.320]  那東西不是給了我們生命真正的意義
[00:02:09.320 --> 00:02:10.800]  所以今天我們去
[00:02:10.800 --> 00:02:12.000]  反思一個問題就是
[00:02:12.000 --> 00:02:14.800]  究竟我們的生命究竟是追什麼?
[00:02:14.800 --> 00:02:18.040]  有時候我們有沒有試過真的停下來去想想
[00:02:18.040 --> 00:02:19.760]  其實在我身體裡面
[00:02:19.760 --> 00:02:21.880]  究竟我追的是什麼呢?
[00:02:22.680 --> 00:02:25.400]  我曾經聽過一個這樣的笑話
[00:02:25.400 --> 00:02:28.760]  這個笑話裡面有些戲劇性的情節
[00:02:28.760 --> 00:02:32.040]  那他就說有一個大學的校長
[00:02:32.040 --> 00:02:36.000]  有一天他就在演講廳那裡在教書
[00:02:36.000 --> 00:02:38.680]  突然間在演講廳教書的時候
[00:02:38.680 --> 00:02:41.480]  天使就降臨在演奏廳
[00:02:41.480 --> 00:02:42.800]  不就是演講廳那裡
[00:02:42.800 --> 00:02:45.240]  通常在這些笑話裡面都是會有些雲霧
[00:02:45.240 --> 00:02:47.240]  不知為什麼天使來的時候就有些雲霧
[00:02:47.240 --> 00:02:49.040]  那在這個雲霧裡面的時候
[00:02:49.040 --> 00:02:50.160]  他們看到天使
[00:02:50.160 --> 00:02:51.200]  那些學生都看到
[00:02:51.200 --> 00:02:53.040]  哇天使啊
[00:02:53.040 --> 00:02:55.360]  天使就問這位大學校長
[00:02:55.360 --> 00:02:59.600]  他說神看到你無私的教導和奉獻
[00:02:59.600 --> 00:03:02.080]  所以祂送你一份禮物
[00:03:02.080 --> 00:03:04.960]  你可以選擇無限的財富
