
[00:00:00.000 --> 00:00:02.860]  今晚我們會來看時詩記
[00:00:02.860 --> 00:00:05.960]  我相信很多基督徒對時詩記裏面
[00:00:05.960 --> 00:00:08.780]  特別有兩個時詩是很熟悉的
[00:00:08.780 --> 00:00:10.560]  一個就是《機殿》
[00:00:10.560 --> 00:00:12.560]  一個就是《參宣》
[00:00:12.560 --> 00:00:15.760]  因為《機殿》我們知道
[00:00:15.760 --> 00:00:18.360]  它以少勝多
[00:00:18.360 --> 00:00:20.720]  大家回去想一想
[00:00:20.720 --> 00:00:26.160]  究竟《機殿》帶著三百人對抗多少敵軍
[00:00:26.160 --> 00:00:30.800]  但是事後《機殿》的發展
[00:00:30.800 --> 00:00:33.120]  很少人會繼續去看
[00:00:33.120 --> 00:00:35.120]  特別在崇拜的講道裏面
[00:00:35.120 --> 00:00:37.120]  是沒有怎麼提及的
[00:00:37.120 --> 00:00:40.760]  但是《機殿》從成功慢慢慢慢就滑落了
[00:00:40.760 --> 00:00:41.760]  就失敗了
[00:00:41.760 --> 00:00:43.920]  但是我們因為賢經
[00:00:43.920 --> 00:00:45.520]  所以每一章都會去研究的
[00:00:45.520 --> 00:00:48.320]  所以我們會由《時詩記》第六章
[00:00:48.320 --> 00:00:50.160]  看到第九章
[00:00:50.160 --> 00:00:54.520]  看《時詩記》《機殿》的興
[00:00:54.520 --> 00:00:55.800]  然後看它的衰
[00:00:55.800 --> 00:00:58.480]  特別是家庭的慘劇
[00:00:58.480 --> 00:01:01.560]  作者用了很大的篇幅
[00:01:01.560 --> 00:01:03.880]  來記述去蒙召的過程
[00:01:03.880 --> 00:01:04.880]  如果你留意到
[00:01:04.880 --> 00:01:06.320]  用一章的聖經
[00:01:06.320 --> 00:01:09.360]  反而講打仗是較為少的
[00:01:09.360 --> 00:01:12.120]  也是今天我們所探討的
[00:01:12.120 --> 00:01:15.960]  我不知道大家有多少人會知道
[00:01:15.960 --> 00:01:18.520]  我如何蒙召做傳道人
[00:01:18.520 --> 00:01:21.440]  如果今天夠時間的話
[00:01:21.440 --> 00:01:23.440]  我也想跟大家分享一下
[00:01:23.440 --> 00:01:27.720]  我如何被主呼召成為一個傳道人
[00:01:27.720 --> 00:01:29.560]  現在已經過了五十年了
[00:01:29.560 --> 00:01:32.160]  希望有一天我離開世界的時候
[00:01:32.160 --> 00:01:35.760]  都可以立旨傳召太神奇妙的大靈
[00:01:35.760 --> 00:01:40.760]  我們很快的看回今天第六章裏面
[00:01:40.760 --> 00:01:43.640]  主題就是要有憑據
[00:01:43.640 --> 00:01:45.360]  你留意到《機殿》
[00:01:45.360 --> 00:01:47.880]  它不斷要拿憑據
[00:01:47.880 --> 00:01:50.760]  每一次都是和二字有關
[00:01:50.760 --> 00:01:51.960]  二和夜晚黑
[00:01:51.960 --> 00:01:54.520]  我們遲些會來看
[00:01:54.520 --> 00:01:57.640]  我們看回《持史記》裏面很特別的
[00:01:57.640 --> 00:01:58.800]  大家都很熟悉的
[00:01:58.800 --> 00:02:00.920]  就是那個悲哀的循環
[00:02:00.920 --> 00:02:02.440]  因為以色列人有行謠
[00:02:02.440 --> 00:02:03.920]  眼中害迷惡的事
[00:02:03.920 --> 00:02:06.880]  所以神就將它交在米殿人的手中
[00:02:06.880 --> 00:02:08.880]  有七年這麼久
[00:02:08.880 --> 00:02:10.960]  第六章第一節又講到
[00:02:10.960 --> 00:02:14.320]  不單單作者這樣說
[00:02:14.320 --> 00:02:17.360]  神親自來聲討他們
[00:02:17.360 --> 00:02:18.600]  第六章第十節
[00:02:18.600 --> 00:02:19.600]  麻煩阿爾灣
[00:02:20.160 --> 00:02:23.360]  又對你們說:我是耶和華你們的神
[00:02:23.360 --> 00:02:25.200]  你們住在阿摩利人的地
[00:02:25.200 --> 00:02:26.760]  不可敬畏貪民的神
[00:02:26.760 --> 00:02:29.480]  你們竟不聽從我的話
[00:02:29.480 --> 00:02:30.600]  六章一節
[00:02:30.600 --> 00:02:33.280]  「竟不聽從我的話」
[00:02:33.280 --> 00:02:34.000]  「聽」
[00:02:34.000 --> 00:02:35.080]  你留意到
[00:02:35.080 --> 00:02:39.160]  這個「聽」不單單是你聽了頭腦的知識
[00:02:39.160 --> 00:02:43.640]  當日那班子民都有對解命的知識
[00:02:43.640 --> 00:02:45.000]  但是有沒有實踐出來
[00:02:45.000 --> 00:02:46.400]  這個才是很重要的
[00:02:46.400 --> 00:02:51.320]  我們就看看究竟他們所面對的是甚麼挑戰
[00:02:51.320 --> 00:02:53.640]  舌詩第六章
[00:02:53.640 --> 00:02:59.560]  我們由第二節讀到第五節
[00:02:59.560 --> 00:03:00.560]  麻煩阿爾灣
[00:03:00.560 --> 00:03:02.640]  以色列人有行耶和華
[00:03:02.640 --> 00:03:04.360]  眼中害迷惡的事
[00:03:04.360 --> 00:03:07.920]  耶和華就把他們交在米殿人手裡七年
[00:03:07.920 --> 00:03:10.160]  米殿人壓制以色列人
[00:03:10.160 --> 00:03:13.200]  以色列人因為米殿人就在山中
[00:03:13.200 --> 00:03:16.400]  刮穴、刮洞、建造城寨
[00:03:16.400 --> 00:03:18.640]  以色列人每逢殺種之後
[00:03:18.640 --> 00:03:23.840]  米殿人、阿瑪力人和東方人都上來攻打他們
[00:03:23.840 --> 00:03:27.400]  對著他們安然毀壞土產直到家殺
[00:03:27.400 --> 00:03:29.760]  沒有給以色列人留下食物
