
[00:00:00.000 --> 00:00:01.600]  各位定智媒 早晨
[00:00:01.600 --> 00:00:03.920]  看到題目都明白了
[00:00:03.920 --> 00:00:05.280]  不要怕 只要信
[00:00:05.280 --> 00:00:06.880]  其實問你兩個問題
[00:00:06.880 --> 00:00:09.200]  就是你現在害怕甚麼
[00:00:09.200 --> 00:00:10.880]  以及你相信甚麼
[00:00:10.880 --> 00:00:14.720]  剛才我們都經歷了一些很擔驚受怕的事
[00:00:14.720 --> 00:00:17.920]  我想現在最大壓力的
[00:00:17.920 --> 00:00:21.120]  就是在網上崇拜出街之前
[00:00:21.120 --> 00:00:24.640]  突然間廣播系統不知為何有問題
[00:00:24.640 --> 00:00:26.240]  出不了街
[00:00:26.240 --> 00:00:28.560]  我們真的不知如何是好
[00:00:30.400 --> 00:00:32.880]  你們會害怕甚麼呢
[00:00:32.880 --> 00:00:34.720]  我挺喜歡這個男生
[00:00:34.720 --> 00:00:36.080]  這個男生我已經見了很多年
[00:00:36.080 --> 00:00:37.760]  都挺好用的
[00:00:37.760 --> 00:00:39.840]  如果配上去
[00:00:39.840 --> 00:00:41.840]  效益上高到挺適合我們
[00:00:41.840 --> 00:00:45.520]  好像耶穌說不要怕 只要信
[00:00:45.520 --> 00:00:48.480]  今天香港人怕甚麼呢
[00:00:48.480 --> 00:00:49.760]  不用說都知道
[00:00:49.760 --> 00:00:51.520]  最怕的就是COVID-19
[00:00:51.520 --> 00:00:54.240]  搞了一整年都搞不走
[00:00:54.240 --> 00:00:58.720]  或者最怕 我的家會不會封檢呢
[00:00:58.720 --> 00:01:01.280]  要不出不了街 要不回不了家
[00:01:01.280 --> 00:01:02.560]  怎麼辦呢
[00:01:02.560 --> 00:01:04.480]  何時再殺到來呢
[00:01:04.480 --> 00:01:06.080]  又或者可能
[00:01:06.080 --> 00:01:08.800]  最怕打針現在
[00:01:08.800 --> 00:01:09.680]  很想打針
[00:01:09.680 --> 00:01:14.080]  又很怕打完針之後有甚麼意想不到的效果
[00:01:14.080 --> 00:01:15.760]  又或者
[00:01:15.760 --> 00:01:18.320]  在整年的情況下
[00:01:18.320 --> 00:01:20.240]  香港都經濟蕭條
[00:01:20.240 --> 00:01:21.360]  失業潮
[00:01:21.360 --> 00:01:23.360]  失業數字不斷上升
[00:01:23.360 --> 00:01:24.640]  會不會我們很擔心
[00:01:24.640 --> 00:01:26.640]  我們連工作都保不住呢
[00:01:26.640 --> 00:01:28.800]  我們跟一些街坊聊天
[00:01:28.800 --> 00:01:31.040]  有些可能要停薪留職
[00:01:31.040 --> 00:01:34.960]  或者還有很多不同的古靈精怪的方式
[00:01:34.960 --> 00:01:38.000]  令我們不能上班或者沒有收入
[00:01:38.000 --> 00:01:41.120]  亦都可能我們關心一些弟姐妹的時候
[00:01:41.120 --> 00:01:42.480]  我們都很憂心
[00:01:42.480 --> 00:01:44.640]  他們入了院 我們看不到他們
[00:01:44.640 --> 00:01:47.120]  甚至連家人都只能夠透過電話
[00:01:47.120 --> 00:01:50.240]  知道自己所關心的家人的情況
[00:01:50.240 --> 00:01:53.280]  入了院這段時間都挺詫異
[00:01:53.280 --> 00:01:56.240]  我們這些弟姐妹需要代討紀念
