
[00:00:00.000 --> 00:00:03.000]  今篇題目很簡單
[00:00:03.000 --> 00:00:05.000]  一看就知我講咩
[00:00:05.000 --> 00:00:08.000]  信號 隻眼 隻耳
[00:00:08.000 --> 00:00:11.000]  第一段好重要的經文
[00:00:11.000 --> 00:00:14.000]  就係針見廿三象
[00:00:14.000 --> 00:00:16.000]  黑嘅大家切一切
[00:00:16.000 --> 00:00:19.000]  見唔見到嘅我同大家聽
[00:00:19.000 --> 00:00:22.000]  切一切有個黃柱
[00:00:22.000 --> 00:00:27.000]  中間嘅針
[00:00:30.000 --> 00:00:34.000]  打開就見到師尊 針見
[00:00:34.000 --> 00:00:36.000]  針見廿三象
[00:00:36.000 --> 00:00:40.000]  我聽到個故事都幾好
[00:00:40.000 --> 00:00:43.000]  有些人未信耶穌
[00:00:43.000 --> 00:00:46.000]  又想介紹佢
[00:00:46.000 --> 00:00:48.000]  睇下聖經
[00:00:48.000 --> 00:00:50.000]  可以介紹佢睇針見
[00:00:50.000 --> 00:00:52.000]  知唔知針見有咩特色
[00:00:52.000 --> 00:00:54.000]  即係介紹佢睇針見
[00:00:54.000 --> 00:00:56.000]  介紹佢睇針見
[00:00:56.000 --> 00:00:58.000]  一個係幾多號 你就睇第二張
[00:00:58.000 --> 00:01:01.000]  針見有三十日象
[00:01:01.000 --> 00:01:03.000]  所以一個月三十一日
[00:01:03.000 --> 00:01:05.000]  無論邊一日
[00:01:05.000 --> 00:01:07.000]  七號就睇第七張
[00:01:07.000 --> 00:01:09.000]  九號就睇第九張
[00:01:09.000 --> 00:01:11.000]  都係一個方法
[00:01:11.000 --> 00:01:13.000]  所以針見有三十日象
[00:01:13.000 --> 00:01:15.000]  我哋今日睇廿三象
[00:01:15.000 --> 00:01:17.000]  廿六節
[00:01:17.000 --> 00:01:19.000]  我哋全部都要背針句
[00:01:19.000 --> 00:01:21.000]  有啲針句真係針句
[00:01:21.000 --> 00:01:22.000]  就要背
[00:01:22.000 --> 00:01:23.000]  意思就係話
[00:01:23.000 --> 00:01:25.000]  唔需要太理常文下
[00:01:25.000 --> 00:01:29.000]  句子就已經充滿完整嘅意思
[00:01:29.000 --> 00:01:30.000]  唔會錯嘅
[00:01:30.000 --> 00:01:32.000]  嗰啲就係好嘅金句
[00:01:32.000 --> 00:01:34.000]  呢個就係其中之一
[00:01:34.000 --> 00:01:37.000]  如果搵到我哋一齊讀返好唔好
[00:01:37.000 --> 00:01:38.000]  一二三
[00:01:38.000 --> 00:01:41.000]  我然要將你的心歸我
[00:01:41.000 --> 00:01:45.000]  你的眼目也要喜悅我的道路
[00:01:45.000 --> 00:01:46.000]  做多次
[00:01:46.000 --> 00:01:50.000]  我然要將你的心歸我
[00:01:50.000 --> 00:01:54.000]  你的眼目也要喜悅我的道路
[00:01:54.000 --> 00:01:56.000]  我背咗佢
[00:01:56.000 --> 00:01:58.000]  我然要將你的心歸我
[00:01:58.000 --> 00:02:01.000]  就係講咗一啲人對另一啲人講
[00:02:01.000 --> 00:02:03.000]  如果個關係就係話
[00:02:03.000 --> 00:02:05.000]  對方係個仔咁樣
[00:02:05.000 --> 00:02:08.000]  你係一定講啲嘢係希望佢好
[00:02:08.000 --> 00:02:10.000]  希望佢聽
[00:02:10.000 --> 00:02:13.000]  希望佢能夠跟從你所講嘅說話
[00:02:13.000 --> 00:02:16.000]  就對佢帶來最大嘅好處
[00:02:16.000 --> 00:02:18.000]  所以開頭嗰兩隻字
[00:02:18.000 --> 00:02:21.000]  我自己都唔係特別啲老師
[00:02:21.000 --> 00:02:25.000]  要講到佢係同佢傻子講
[00:02:25.000 --> 00:02:28.000]  希望佢跟咁樣就好啦
[00:02:28.000 --> 00:02:31.000]  要將你嘅心歸我
[00:02:31.000 --> 00:02:33.000]  即係歸比心
[00:02:33.000 --> 00:02:35.000]  你嘅心要歸比心
[00:02:35.000 --> 00:02:39.000]  然後就話你隻眼要喜悅我的道路
[00:02:39.000 --> 00:02:42.000]  呢度就提到個心就係你隻眼
[00:02:42.000 --> 00:02:44.000]  我哋今日嘅題目係眼同耳
[00:02:44.000 --> 00:02:46.000]  眼同耳跟住我哋人體
[00:02:46.000 --> 00:02:47.000]  亦都好好了解
[00:02:47.000 --> 00:02:49.000]  就係接觸呢個世界
[00:02:49.000 --> 00:02:50.000]  出現嘅嘢
[00:02:50.000 --> 00:02:53.000]  你要知道出現發生咩嘢
