
[00:00:00.000 --> 00:00:03.000]  今天我要跟各位分享的訊息是
[00:00:03.000 --> 00:00:07.000]  猛神青睞的人
[00:00:07.000 --> 00:00:16.000]  什麼叫做青睞?
[00:00:16.000 --> 00:00:21.000]  或者是有恩寵的意思
[00:00:21.000 --> 00:00:27.000]  集三千寵愛於一身的意思
[00:00:27.000 --> 00:00:31.000]  誰是猛神青睞的人?
[00:00:31.000 --> 00:00:33.000]  我們、你、我
[00:00:33.000 --> 00:00:36.000]  我們都是猛神青睞的人
[00:00:36.000 --> 00:00:38.000]  所以你是猛
[00:00:38.000 --> 00:00:39.000]  不是只是神
[00:00:39.000 --> 00:00:42.000]  最高神的青睞
[00:00:42.000 --> 00:00:46.000]  而神的恩惠也圍繞著你
[00:00:46.000 --> 00:00:50.000]  這個恩典是白白的得來的
[00:00:50.000 --> 00:00:55.000]  讓我們預備心來領受它
[00:00:55.000 --> 00:00:58.000]  有很多這個例子
[00:00:58.000 --> 00:01:01.000]  就讓你不能不覺得
[00:01:01.000 --> 00:01:04.000]  有的時候神偏袒某一類人
[00:01:04.000 --> 00:01:06.000]  你懂我意思嗎?
[00:01:06.000 --> 00:01:08.000]  什麼叫偏袒呢?
[00:01:08.000 --> 00:01:09.000]  也就是說
[00:01:09.000 --> 00:01:12.000]  明明是那個人不對了
[00:01:12.000 --> 00:01:15.000]  但是神卻保護他
[00:01:15.000 --> 00:01:20.000]  神卻沒有讓他受到該受的處罰
[00:01:20.000 --> 00:01:22.000]  有許許多多的例子
[00:01:22.000 --> 00:01:25.000]  甚至於有的時候
[00:01:25.000 --> 00:01:28.000]  好像不該你得的這麼好的事情
[00:01:28.000 --> 00:01:31.000]  忽然間就發生在你的身上的時候
[00:01:31.000 --> 00:01:33.000]  你不能不想說
[00:01:33.000 --> 00:01:36.000]  是不是神特別愛我?
[00:01:36.000 --> 00:01:38.000]  是吧?
[00:01:38.000 --> 00:01:40.000]  真正是如此
[00:01:40.000 --> 00:01:41.000]  各位
[00:01:41.000 --> 00:01:43.000]  你有沒有
[00:01:43.000 --> 00:01:45.000]  譬如說看到那邊有on sale
[00:01:45.000 --> 00:01:48.000]  有在減價大賣的時候
[00:01:48.000 --> 00:01:50.000]  你趕快去買
[00:01:50.000 --> 00:01:53.000]  結果你買到手上的時候已經很便宜了
[00:01:53.000 --> 00:01:55.000]  結果去付錢的時候
[00:01:55.000 --> 00:01:58.000]  他又給你15%的折扣
[00:01:58.000 --> 00:01:59.000]  是不是?
[00:01:59.000 --> 00:02:01.000]  哇!真的是不可思議
[00:02:01.000 --> 00:02:04.000]  這種好的事情
[00:02:04.000 --> 00:02:06.000]  有人聽說飛機
[00:02:06.000 --> 00:02:08.000]  結果怎麼樣?
[00:02:08.000 --> 00:02:11.000]  給他升等到商務艙
[00:02:11.000 --> 00:02:18.000]  那你有沒有升等商務艙?
[00:02:18.000 --> 00:02:20.000]  真的是喜出望外
[00:02:20.000 --> 00:02:24.000]  平價的機票欠要升等到商務艙
[00:02:24.000 --> 00:02:28.000]  這是神特別的恩典
[00:02:28.000 --> 00:02:30.000]  那麼聖經上面也有許多的例子
[00:02:30.000 --> 00:02:33.000]  這裡我舉一個例子是這樣
[00:02:33.000 --> 00:02:35.000]  在挪亞時代
[00:02:35.000 --> 00:02:38.000]  人繁言眾多
[00:02:38.000 --> 00:02:40.000]  而且都違背了神
[00:02:40.000 --> 00:02:42.000]  不得神的喜悅
[00:02:42.000 --> 00:02:44.000]  違背了神的意思
[00:02:44.000 --> 00:02:48.000]  所以神要毀滅整個世界
[00:02:48.000 --> 00:02:50.000]  聖經上面說
[00:02:50.000 --> 00:02:55.000]  唯有挪亞在耶和華眼前蒙恩
[00:02:55.000 --> 00:02:58.000]  這就是神特別偏待他
[00:02:58.000 --> 00:03:01.000]  神特別恩寵待他
[00:03:01.000 --> 00:03:04.000]  及三千寵愛於一身待他
[00:03:04.000 --> 00:03:07.000]  我們都是神恩待的人
[00:03:07.000 --> 00:03:10.000]  我們都是蒙神親愛的人
[00:03:10.000 --> 00:03:13.000]  所以你今天你要跟你自己說
[00:03:13.000 --> 00:03:16.000]  今天這個道不是講給別人聽的
[00:03:16.000 --> 00:03:18.000]  不是講什麼道理
[00:03:18.000 --> 00:03:20.000]  是真正是講在我們的身上
[00:03:20.000 --> 00:03:22.000]  我們要得到那個恩寵
[00:03:22.000 --> 00:03:24.000]  哈雷路亞讚美神
[00:03:24.000 --> 00:03:27.000]  因為我們的神是又真又活的神
[00:03:27.000 --> 00:03:31.000]  我們再來讀一遍創世紀六章八節
[00:03:31.000 --> 00:03:36.000]  唯有挪亞在耶和華眼前蒙恩
[00:03:36.000 --> 00:03:39.000]  然後把那個挪亞改成你自己
[00:03:39.000 --> 00:03:44.000]  唯有我在耶和華眼前蒙恩
[00:03:44.000 --> 00:03:46.000]  感謝主
[00:03:46.000 --> 00:03:51.000]  所以我們是蒙最高神的青睞
[00:03:51.000 --> 00:03:54.000]  We have found favor in the Most High God
[00:03:54.000 --> 00:03:57.000]  所以最高神就是Most High God
[00:03:57.000 --> 00:04:01.000]  青睞就是found favor in God's eyes
[00:04:01.000 --> 00:04:04.000]  那麼以福所恕三章二十節
[00:04:04.000 --> 00:04:05.000]  我們剛才練了
[00:04:05.000 --> 00:04:06.000]  再來練一次
[00:04:06.000 --> 00:04:11.000]  神能造的運行在我們心裡的大力
[00:04:11.000 --> 00:04:14.000]  充充足足的成就一切
[00:04:14.000 --> 00:04:18.000]  超過我們所曾所想的
[00:04:18.000 --> 00:04:20.000]  所以他這裡說
[00:04:20.000 --> 00:04:23.000]  在我們心裡面有神
[00:04:23.000 --> 00:04:25.000]  大力 充充足足的
[00:04:25.000 --> 00:04:29.000]  在我們心裡面能夠成就一切的事情
[00:04:29.000 --> 00:04:32.000]  所以我們就可以堅信不移
[00:04:32.000 --> 00:04:37.000]  甚至於他可以把我們的絆腳石
[00:04:37.000 --> 00:04:40.000]  變成我們的墊腳石
[00:04:40.000 --> 00:04:41.000]  是的
[00:04:41.000 --> 00:04:43.000]  你要這麼想
[00:04:43.000 --> 00:04:44.000]  那麼為什麼
[00:04:44.000 --> 00:04:48.000]  我今天還會有困苦患難在我身上呢
[00:04:48.000 --> 00:04:50.000]  其實你今天的困苦患難
[00:04:50.000 --> 00:04:55.000]  是為了領受明天神的賜福
[00:04:55.000 --> 00:04:56.000]  是不是
[00:04:56.000 --> 00:04:59.000]  如果說你每天都沒有困苦患難
[00:04:59.000 --> 00:05:02.000]  永遠在神的賜福當中
[00:05:02.000 --> 00:05:05.000]  你都不知道神賜福你
[00:05:05.000 --> 00:05:08.000]  甚至於就好像你每天吃
[00:05:08.000 --> 00:05:10.000]  大魚大肉三珍海味
[00:05:10.000 --> 00:05:12.000]  你都不想吃了
[00:05:12.000 --> 00:05:13.000]  是不是
[00:05:13.000 --> 00:05:16.000]  所以今天你受的患難
[00:05:16.000 --> 00:05:21.000]  是為了領受明天的賜福
[00:05:21.000 --> 00:05:28.000]  在這個密室這裡面有一段小的見證
[00:05:28.000 --> 00:05:32.000]  就是Campbell這個姐妹
[00:05:32.000 --> 00:05:34.000]  她說她的一家人
[00:05:34.000 --> 00:05:38.000]  通通被抓到集中營裡面去了
[00:05:38.000 --> 00:05:43.000]  她的父母、她的姐姐都死掉了
[00:05:43.000 --> 00:05:45.000]  但是她活下來了
[00:05:45.000 --> 00:05:47.000]  她就想到有一件事情
[00:05:47.000 --> 00:05:52.000]  她說這就是神今天讓她患難
[00:05:52.000 --> 00:05:54.000]  讓她領受明天的祝福
[00:05:54.000 --> 00:05:57.000]  她說她記得小時候
[00:05:57.000 --> 00:06:00.000]  她爸爸要帶她去坐火車的話
[00:06:00.000 --> 00:06:05.000]  其實爸爸早早以前就買好了火車票
[00:06:05.000 --> 00:06:10.000]  但是一直要等到站在月台上面
[00:06:10.000 --> 00:06:12.000]  火車來的時候才把票給她
[00:06:12.000 --> 00:06:17.000]  然後兩個人憑票入座上車
[00:06:17.000 --> 00:06:20.000]  她說神也是這個樣子
[00:06:20.000 --> 00:06:23.000]  她說耶穌在兩千多年前
[00:06:23.000 --> 00:06:27.000]  就已經為我們買了這個票
[00:06:27.000 --> 00:06:29.000]  就已經給我們付了錢
[00:06:29.000 --> 00:06:33.000]  但是我們今天才來領受
[00:06:33.000 --> 00:06:37.000]  祂的祝福、恩典、保守、憐憫
[00:06:37.000 --> 00:06:39.000]  所以我們要堅信神
[00:06:39.000 --> 00:06:43.000]  因為他照著運行在我們心裡面的大力
[00:06:43.000 --> 00:06:46.000]  充充足足的成就一切
[00:06:46.000 --> 00:06:50.000]  甚至於是超過我們所求所想的
[00:06:50.000 --> 00:06:55.000]  所以不要對我們的生命說傷心敗氣的話
[00:06:55.000 --> 00:06:58.000]  不要說牧師你不知道
[00:06:58.000 --> 00:07:01.000]  你沒有穿過我的鞋子
[00:07:01.000 --> 00:07:03.000]  你不知道我多難過
[00:07:03.000 --> 00:07:05.000]  我日子多痛苦
[00:07:05.000 --> 00:07:08.000]  你不知道我的婚姻多糟糕
[00:07:08.000 --> 00:07:11.000]  牧師你不知道我老闆多壞
[00:07:11.000 --> 00:07:13.000]  牧師我沒有辦法
[00:07:13.000 --> 00:07:15.000]  我的教育程度不高
[00:07:15.000 --> 00:07:17.000]  甚至於罷了
[00:07:17.000 --> 00:07:20.000]  這醫生已經達到了極限
[00:07:20.000 --> 00:07:22.000]  甚至於我有的時候講說
[00:07:22.000 --> 00:07:25.000]  不要說牧師我們教會小
[00:07:25.000 --> 00:07:27.000]  在神看不小
[00:07:27.000 --> 00:07:29.000]  甚至於我相信
[00:07:29.000 --> 00:07:31.000]  就像我看到的意象
[00:07:31.000 --> 00:07:33.000]  神要給我們有兩堂聚會坐滿
[00:07:33.000 --> 00:07:37.000]  祂還有一個更大的教堂賜給我們
[00:07:37.000 --> 00:07:44.000]  所以我們不要向你的生命說傷心敗氣的話
[00:07:44.000 --> 00:07:47.000]  要上你的生命說突破的話
[00:07:47.000 --> 00:07:49.000]  你看看
[00:07:49.000 --> 00:07:52.000]  上帝把我們像小孩子一樣抱起來
[00:07:52.000 --> 00:07:54.000]  祂的臉光照你
[00:07:54.000 --> 00:07:56.000]  祂向你仰臉
[00:07:56.000 --> 00:07:58.000]  祂賜你平安
[00:07:58.000 --> 00:07:59.000]  不是嗎
[00:07:59.000 --> 00:08:01.000]  祂為我們打開的門
[00:08:01.000 --> 00:08:03.000]  是沒有人能夠關起來的
[00:08:03.000 --> 00:08:04.000]  是不是
[00:08:04.000 --> 00:08:07.000]  所以我們不要說傷心敗氣的話
[00:08:07.000 --> 00:08:09.000]  我們今天或許在患難之中
[00:08:09.000 --> 00:08:14.000]  但是我們要預備迎接明天神要賜給我們的祝福
[00:08:14.000 --> 00:08:16.000]  我相信
[00:08:16.000 --> 00:08:17.000]  我相信
[00:08:17.000 --> 00:08:22.000]  即便是我前幾個月躺在床上腳痛開刀
[00:08:22.000 --> 00:08:23.000]  但是我相信
[00:08:23.000 --> 00:08:24.000]  時候到了
[00:08:24.000 --> 00:08:25.000]  我就要站起來走路
[00:08:25.000 --> 00:08:27.000]  我就要再一次被神所用
[00:08:27.000 --> 00:08:30.000]  我要再一次來服侍神
[00:08:30.000 --> 00:08:32.000]  要有這個確信
[00:08:32.000 --> 00:08:39.000]  才不會把神要加添給你的恩典祝福恩惠
[00:08:39.000 --> 00:08:41.000]  都給你說光了
[00:08:41.000 --> 00:08:43.000]  都被你說死了
[00:08:43.000 --> 00:08:44.000]  是不是
[00:08:44.000 --> 00:08:45.000]  所以
[00:08:45.000 --> 00:08:46.000]  我們要相信
[00:08:46.000 --> 00:08:48.000]  我們的生命中
[00:08:48.000 --> 00:08:51.000]  有那偉大奇妙的神
[00:08:51.000 --> 00:08:52.000]  為我們安排
[00:08:52.000 --> 00:08:53.000]  為我們做
[00:08:53.000 --> 00:08:56.000]  祂的一路保護帶領我們
[00:08:56.000 --> 00:08:58.000]  閻威教會的姐妹呢
[00:08:58.000 --> 00:09:03.000]  她有一天她要翻新她家的家具
