
[00:00:00.000 --> 00:00:06.000]  各位弟兄姊妹,朋友們早上好
[00:00:06.000 --> 00:00:13.000]  我感恩我們能夠一起敬拜,讚美我們的上帝
[00:00:13.000 --> 00:00:25.000]  我常常提醒我自己,今天我們能夠坐在這裡不是必然的事
[00:00:25.000 --> 00:00:29.000]  是神莫大的恩典
[00:00:29.000 --> 00:00:38.000]  我們帶著喜樂的心,也帶著戰經去敬拜我們的上帝
[00:00:38.000 --> 00:00:45.000]  今天和大家分享的題目是引人入聖的地方
[00:00:45.000 --> 00:00:50.000]  當我們看經文的時候
[00:00:50.000 --> 00:00:53.000]  或當我去默想的時候
[00:00:53.000 --> 00:01:05.000]  我想,一個地方有什麼重點是吸引人注意的呢?
[00:01:05.000 --> 00:01:17.000]  怎麼會讓人欣賞,一去會再繼續去呢?
[00:01:17.000 --> 00:01:23.000]  用一個餐廳為例
[00:01:23.000 --> 00:01:31.000]  不知道大家會不會到處去嘗試新的食物
[00:01:31.000 --> 00:01:42.000]  當你去到一個新的地方,下次再去,慢慢變成你的飯堂
[00:01:42.000 --> 00:01:49.000]  為什麼你會不斷去同一個地方吃東西呢?
[00:01:49.000 --> 00:01:57.000]  我相信是當中食物的品質
[00:01:57.000 --> 00:02:07.000]  或者是當中服飾的態度,或者是氣氛環境
[00:02:07.000 --> 00:02:15.000]  一定有一些東西是吸引你去完再繼續去的
[00:02:15.000 --> 00:02:20.000]  或者是一個旅遊的地方
[00:02:20.000 --> 00:02:29.000]  當疫情過後,我教會一些弟兄姊妹回到他們的家鄉
[00:02:29.000 --> 00:02:36.000]  不知道大家有沒有回到家鄉的念頭呢?
[00:02:36.000 --> 00:02:42.000]  有些人很喜歡到一個地方去旅遊
[00:02:42.000 --> 00:02:49.000]  當然有一些東西是吸引他們回去的
[00:02:49.000 --> 00:02:59.000]  我們想,教會又是什麼可以吸引人去的地方呢?
[00:02:59.000 --> 00:03:07.000]  以致讓人很想一去再去
[00:03:07.000 --> 00:03:15.000]  我們不是鼓吹一個消費者的文化
[00:03:15.000 --> 00:03:22.000]  什麼是消費者文化?就是到處去看
[00:03:22.000 --> 00:03:28.000]  我知道在疫情之後,網上很多的平台都能夠聽到神的道
[00:03:28.000 --> 00:03:34.000]  也就是說,人的選擇也多了
[00:03:34.000 --> 00:03:40.000]  也很方便
[00:03:40.000 --> 00:03:47.000]  可以聽這個牧者講道,或者那個牧者講道
[00:03:47.000 --> 00:03:54.000]  但我們要明白,這不是一個健康的教會生活
[00:03:54.000 --> 00:04:00.000]  健康的屬靈群體的生活,不是單單拿東西在自己身上
[00:04:00.000 --> 00:04:12.000]  是願意付出衛生去侍奉的
[00:04:12.000 --> 00:04:24.000]  所以每次我看到弟兄姊妹在教會服侍,我就很感恩
[00:04:24.000 --> 00:04:30.000]  因為他們在這個地方不是只是拿東西,而是很想給這個教會
[00:04:30.000 --> 00:04:40.000]  所以我們不是鼓吹一個消費者的文化在教會裡面
[00:04:40.000 --> 00:04:50.000]  但是我們特別是作為領袖,我們要不斷地去反思和檢視
[00:04:50.000 --> 00:05:00.000]  當然其他的會眾也有份去參與
[00:05:00.000 --> 00:05:10.000]  這個群體是不是上帝和人都喜悅的地方
[00:05:10.000 --> 00:05:20.000]  以致人來到,他會繼續很想再次回到這個群體
[00:05:20.000 --> 00:05:28.000]  一起去參與,甚至成為一份子
[00:05:28.000 --> 00:05:35.000]  今天的經文《使徒行傳》第二章
[00:05:35.000 --> 00:05:42.000]  我們看到一個新的屬靈群體誕生
[00:05:42.000 --> 00:05:47.000]  當時他們還沒有被稱為教會
[00:05:47.000 --> 00:05:51.000]  聖經說五旬節的時候聖靈去降臨,彼得就起來
[00:05:51.000 --> 00:06:01.000]  講道最後有三千人信主
[00:06:01.000 --> 00:06:14.000]  我相信當時耶穌的使徒也沒有預料到一時間會有這麼多人信主
[00:06:14.000 --> 00:06:21.000]  他們那一刻也不知道怎麼辦才好
[00:06:21.000 --> 00:06:34.000]  因為我們看聖經,耶穌也沒有教他們怎麼去教導、去牧養這些信徒
[00:06:34.000 --> 00:06:40.000]  何況突然間有三千多人出現
[00:06:40.000 --> 00:06:44.000]  他們可以做什麼呢
[00:06:44.000 --> 00:06:54.000]  但在聖經中的情況下,我看到上帝很恩待和幫助他們
[00:06:54.000 --> 00:07:06.000]  他們不會因為人數多了這麼多而有分裂、不和的狀況
[00:07:06.000 --> 00:07:12.000]  相反他們能夠合一一起的生活
[00:07:12.000 --> 00:07:19.000]  這是一個很美麗和很奇妙的地方
[00:07:19.000 --> 00:07:31.000]  究竟什麼原因使三千多人,甚至不認識的人能夠聚在一起呢
[00:07:31.000 --> 00:07:39.000]  不但如此,聖經在第47節說上帝將得救的人數天天加給他們
[00:07:39.000 --> 00:07:54.000]  意思是越來越多人參加這個群體
[00:07:54.000 --> 00:08:03.000]  不僅三千人,四千、五千人,很多人在裡面
[00:08:03.000 --> 00:08:11.000]  當然聖經強調是主耶穌在背後的工作
[00:08:11.000 --> 00:08:20.000]  但聖經也提到這群人得到全體百姓的喜愛
[00:08:20.000 --> 00:08:28.000]  就是說這些人對這個群體不但沒有抗拒
[00:08:28.000 --> 00:08:37.000]  相反這一個很吸引的地方得到他們的注意力
[00:08:37.000 --> 00:08:43.000]  究竟這群人有什麼特別的地方呢
[00:08:43.000 --> 00:08:51.000]  讓他們能夠相聚,吸引更多的人去參加
[00:08:51.000 --> 00:08:57.000]  今天我們作為屬上帝的群體
[00:08:57.000 --> 00:09:08.000]  希望透過這個群體能夠更加多人去到這個裡面
[00:09:08.000 --> 00:09:13.000]  讓我們一起去思想當中的四個地方
[00:09:13.000 --> 00:09:21.000]  在經文第42節裡面帶出有四個很主要的活動
[00:09:21.000 --> 00:09:31.000]  這四個活動就會成為一個引人入聖的地方
[00:09:31.000 --> 00:09:40.000]  聖經描述信徒都專注在使徒的教導裡面
[00:09:40.000 --> 00:09:49.000]  而第一部份可以是這群人合一的很重要的基礎
[00:09:49.000 --> 00:10:00.000]  一個超過三千人的群體怎麼能夠融合去生活呢
