
[00:00:00.000 --> 00:00:02.600]  格林多厚書第二章第十四節,
[00:00:02.600 --> 00:00:05.000]  這一節的聖經我們一同來唸來。
[00:00:05.000 --> 00:00:08.300]  感謝神常率領我們在基督裏誇聖,
[00:00:08.300 --> 00:00:13.300]  並藉着我們在各處顯揚那因認識基督而有的香氣。
[00:00:13.300 --> 00:00:15.700]  我們就讀到這裏。
[00:00:15.700 --> 00:00:16.800]  我想這些日子來,
[00:00:16.800 --> 00:00:21.700]  你在教會里面一定常常聽到Shakina Glory,
[00:00:21.700 --> 00:00:25.700]  在各個角落你也看見Shakina Glory這個字,
[00:00:25.700 --> 00:00:30.000]  但我不知道當你聽到Shakina Glory的時候,
[00:00:30.000 --> 00:00:32.800]  你所想到的是什麼?
[00:00:32.800 --> 00:00:34.600]  想到建堂、
[00:00:34.600 --> 00:00:36.000]  木款、
[00:00:36.000 --> 00:00:38.800]  小喫義賣?
[00:00:38.800 --> 00:00:43.700]  其實那些只不過是外面的事工而已,
[00:00:43.700 --> 00:00:47.400]  都不是Shakina Glory的本身。
[00:00:47.400 --> 00:00:50.800]  那到底什麼是Shakina Glory呢?
[00:00:50.800 --> 00:00:54.800]  你能不能很簡單地把它說出來呢?
[00:00:54.800 --> 00:00:56.600]  所以今天在我們信息之前,
[00:00:56.600 --> 00:01:00.200]  我先很快地把它整理出來,
[00:01:00.200 --> 00:01:03.000]  希望你能很容易把它記住。
[00:01:03.000 --> 00:01:05.500]  有三方面Shakina Glory。
[00:01:05.500 --> 00:01:08.700]  第一個Shakina Glory是神的心意,
[00:01:08.700 --> 00:01:11.700]  跟你們說是神的心意。
[00:01:11.700 --> 00:01:15.000]  很重要,這個是神的心意。
[00:01:15.000 --> 00:01:17.500]  首先Shakina這個字是希伯來文,
[00:01:17.500 --> 00:01:20.000]  原文的意思是什麼呢?
[00:01:20.000 --> 00:01:24.500]  就是神在地上的居所。
[00:01:24.500 --> 00:01:27.300]  神在地上的居所。
[00:01:27.300 --> 00:01:30.700]  事實上自從神創造人類以來,
