
[00:00:00.000 --> 00:00:01.280]  丁智媒,平安!
[00:00:01.280 --> 00:00:05.080]  首先,多謝教會的邀請
[00:00:05.080 --> 00:00:09.420]  讓神學院在今早有神學教育的主日
[00:00:09.420 --> 00:00:12.000]  和大家一起思考
[00:00:12.000 --> 00:00:15.320]  神學教育和教會的關係
[00:00:15.320 --> 00:00:17.160]  究竟是一種怎樣的關係
[00:00:17.160 --> 00:00:23.280]  我們都知道,提摩太是保羅的屬靈的兒子
[00:00:23.280 --> 00:00:27.900]  他們之間是一種司徒的關係
[00:00:28.560 --> 00:00:30.780]  不過這種司徒的關係
[00:00:30.780 --> 00:00:36.520]  不單止是指他們在屬靈生命上的密切關係
[00:00:36.520 --> 00:00:42.320]  不單止是指保羅對提摩太有屬靈的教導、培育
[00:00:42.320 --> 00:00:46.180]  很多時候更加是指保羅在
[00:00:46.180 --> 00:00:48.920]  侍奉教會的事情上
[00:00:48.920 --> 00:00:51.680]  對提摩太有很多的議題
[00:00:51.680 --> 00:00:53.840]  面命的那種情況
[00:00:53.840 --> 00:00:56.740]  有那種訓練,有那種提醒
[00:00:56.740 --> 00:01:01.160]  是一種所謂我們今天所說的在職訓練
[00:01:01.160 --> 00:01:05.760]  但是保羅對提摩太的這些教導
[00:01:05.760 --> 00:01:09.480]  特別是他對提摩太在木樣上
[00:01:09.480 --> 00:01:13.000]  要做些什麼,要持守什麼價值
[00:01:13.000 --> 00:01:15.640]  這些事情
[00:01:15.640 --> 00:01:20.000]  為什麼他在書信裡面所表達的
[00:01:20.000 --> 00:01:23.780]  會成為我們今天新約聖經的正典
[00:01:24.280 --> 00:01:29.080]  實際上這是我們很值得注意的一個現象
[00:01:29.080 --> 00:01:35.180]  保羅對提摩太的那個教導
[00:01:35.180 --> 00:01:39.780]  在兩封書信裡面主要是針對他在教會裡面的木樣
[00:01:39.780 --> 00:01:43.220]  但是一旦收在新約正典裡面
[00:01:43.220 --> 00:01:46.740]  到今天我們每一個弟兄姊妹其實都會讀到
[00:01:46.740 --> 00:01:49.620]  無論我們是教會的傳導目者
[00:01:49.620 --> 00:01:51.520]  教會的執事領袖
[00:01:51.520 --> 00:01:53.940]  又或者是教會的一本弟兄姊妹
[00:01:53.940 --> 00:01:57.820]  其實我們都會讀到保羅在這方面的教導
[00:01:57.820 --> 00:02:00.620]  這樣我們就會問一個問題
[00:02:00.620 --> 00:02:03.700]  就是保羅對提摩太這些的指引
[00:02:03.700 --> 00:02:07.340]  是不是只是給個人的一種指引
[00:02:07.340 --> 00:02:11.540]  只是給提摩太,只是給目者傳導的呢
[00:02:11.540 --> 00:02:14.680]  因為同時也是教會的指引
[00:02:14.680 --> 00:02:20.860]  給教會的所有弟兄姊妹都要認識的一些重要的教導呢
[00:02:22.140 --> 00:02:26.180]  不如我們說教會的整體的弟兄姊妹就不是只是
[00:02:26.180 --> 00:02:28.560]  目者傳導了
[00:02:28.560 --> 00:02:31.300]  也都包括教會的執事領袖
[00:02:31.300 --> 00:02:33.280]  教會的弟兄姊妹
[00:02:33.280 --> 00:02:36.740]  這是值得我們思考的一個問題
[00:02:36.740 --> 00:02:41.720]  回到這本書信的作者保羅
[00:02:41.720 --> 00:02:44.220]  保羅作為仕途之一
[00:02:44.220 --> 00:02:47.600]  他就是在耶穌基督的基礎底下
[00:02:47.600 --> 00:02:52.400]  靠著聖靈的能力和同在去建立教會
[00:02:52.400 --> 00:02:56.820]  事實上這個表示保羅和眾仕途
[00:02:56.820 --> 00:03:00.440]  不是靠著他自己的能力就可以建立教會
[00:03:00.440 --> 00:03:02.980]  當然他要付出他的努力
[00:03:02.980 --> 00:03:07.320]  但是在耶穌基督的拯救的基礎上面
[00:03:07.320 --> 00:03:10.860]  和聖靈的那種幫助
[00:03:10.860 --> 00:03:13.080]  一個新的群體
[00:03:13.080 --> 00:03:17.260]  一個有益於這個世界的不信的群體
[00:03:17.660 --> 00:03:19.400]  就在地上出現了
[00:03:19.400 --> 00:03:21.600]  但是使同
[00:03:21.600 --> 00:03:25.340]  包括保羅、彼得等等
[00:03:25.340 --> 00:03:28.220]  在這個過程裡面他扮演什麼角色呢
[00:03:28.220 --> 00:03:32.040]  提摩太后師二章二節說到
[00:03:32.040 --> 00:03:34.480]  保羅對提摩太有一個說法
[00:03:34.480 --> 00:03:38.480]  就提醒他你在很多的見證人的面前
[00:03:38.480 --> 00:03:42.520]  聽見我所教訓的或者教導
[00:03:43.860 --> 00:03:48.900]  事實上這個保羅的說法
[00:03:48.900 --> 00:03:52.640]  包括了一個很重要的字眼就是教導
[00:03:52.640 --> 00:03:56.360]  這個是一個很關鍵的字眼
[00:03:56.360 --> 00:04:01.760]  教導是建立教會不可或缺的工作
[00:04:01.760 --> 00:04:05.240]  目者傳道就是要教導
[00:04:05.240 --> 00:04:06.960]  但是教導是什麼呢
[00:04:06.960 --> 00:04:13.400]  為什麼教導成為建立教會群體的不可或缺的工作呢
[00:04:14.100 --> 00:04:15.820]  因為教導不是什麼東西都教導
[00:04:15.820 --> 00:04:18.440]  不是教導這個世界的故事
[00:04:18.440 --> 00:04:20.960]  不是教導城中名人的金句
[00:04:20.960 --> 00:04:23.900]  不是教導一些好聽的笑話
[00:04:23.900 --> 00:04:25.580]  不是
[00:04:25.580 --> 00:04:27.080]  教導是什麼呢
[00:04:27.080 --> 00:04:31.080]  教導指的就是教導福音
[00:04:31.080 --> 00:04:32.660]  福音指的是什麼呢
[00:04:32.660 --> 00:04:35.120]  就是耶穌基督自己的生命
[00:04:35.120 --> 00:04:36.980]  祂一生的榜樣
[00:04:36.980 --> 00:04:40.920]  作為上帝的話語祂是道成肉身
[00:04:42.680 --> 00:04:46.800]  到我們中間讓我們看見上帝的恩典
[00:04:46.800 --> 00:04:49.300]  亦都是在上帝的恩典裡面
[00:04:49.300 --> 00:04:50.800]  我們生命得到幫助
[00:04:50.800 --> 00:04:52.100]  回轉過來
[00:04:52.100 --> 00:04:57.600]  教會就是要教導耶穌基督這個福音
[00:04:57.600 --> 00:05:00.980]  耶穌基督這個上帝的話語
[00:05:00.980 --> 00:05:06.100]  更重要的是教會在這條中間的這種教導
[00:05:06.100 --> 00:05:08.600]  不只是知識資料的傳遞
[00:05:08.600 --> 00:05:11.360]  如果只是知識資料的傳遞
[00:05:11.360 --> 00:05:12.660]  其實是不需要教導的
[00:05:12.660 --> 00:05:14.660]  因為上網已經找到很多資料了
[00:05:14.660 --> 00:05:18.160]  尤其是在今天AI這麼盛行
[00:05:18.160 --> 00:05:19.860]  我想在這幾個月裡面
[00:05:19.860 --> 00:05:23.960]  很多的頂尖姐妹都使用了AI
[00:05:23.960 --> 00:05:25.160]  做功課也好
[00:05:25.160 --> 00:05:25.860]  教主也好
[00:05:25.860 --> 00:05:26.660]  學也好
[00:05:26.660 --> 00:05:27.660]  講道也好
[00:05:27.660 --> 00:05:29.360]  不好意思講不到
[00:05:29.360 --> 00:05:32.960]  我還沒試過
[00:05:32.960 --> 00:05:37.360]  是一個很大的能力
[00:05:37.360 --> 00:05:38.660]  但是那個是資料
[00:05:41.160 --> 00:05:45.760]  當然這個資料是有值得使用的地方
[00:05:45.760 --> 00:05:48.860]  但是也需要人的智慧去分辨
