
[00:00:00.000 --> 00:00:02.000]  太平之會早晨
[00:00:02.000 --> 00:00:04.000]  由我們開始煎一石禱告
[00:00:04.000 --> 00:00:09.000]  天父我們多謝祢
[00:00:09.000 --> 00:00:11.000]  讓祢有生命氣息
[00:00:11.000 --> 00:00:13.000]  來到主祢面前去敬拜祢
[00:00:13.000 --> 00:00:16.000]  天父我們多謝祢
[00:00:16.000 --> 00:00:18.000]  在祢的話語臨到祢生命當中
[00:00:18.000 --> 00:00:21.000]  讓我們跟祢的關係
[00:00:21.000 --> 00:00:23.000]  一步一步拉近
[00:00:23.000 --> 00:00:26.000]  讓我們能夠有成長
[00:00:27.000 --> 00:00:30.000]  讓我們今天預備我們的心
[00:00:30.000 --> 00:00:31.000]  聆聽祢的話語
[00:00:31.000 --> 00:00:33.000]  使用祢的僕人
[00:00:33.000 --> 00:00:35.000]  要我所講的
[00:00:35.000 --> 00:00:36.000]  頂尖滅所聽的
[00:00:36.000 --> 00:00:37.000]  都是同感一力
[00:00:37.000 --> 00:00:39.000]  求聖靈幫助帶領
[00:00:39.000 --> 00:00:41.000]  以上禱告奉耶穌名祈禱
[00:00:41.000 --> 00:00:47.000]  上個禮拜
[00:00:47.000 --> 00:00:49.000]  馮姑娘講的道
[00:00:49.000 --> 00:00:51.000]  就是蒙福的生命
[00:00:51.000 --> 00:00:53.000]  2023年
[00:00:53.000 --> 00:00:56.000]  事實上都是新的一年
[00:00:56.000 --> 00:00:58.000]  可以再次去想一想
[00:00:58.000 --> 00:01:00.000]  就是你的人
[00:01:00.000 --> 00:01:01.000]  2023年
[00:01:01.000 --> 00:01:02.000]  你有什麼大計呢
[00:01:02.000 --> 00:01:03.000]  2023年
[00:01:03.000 --> 00:01:05.000]  你怎樣期望
[00:01:05.000 --> 00:01:07.000]  過一個蒙福的生命呢
[00:01:07.000 --> 00:01:10.000]  所以有時過年都挺好的
[00:01:10.000 --> 00:01:11.000]  無論過西年年
[00:01:11.000 --> 00:01:12.000]  或者過農曆年
[00:01:12.000 --> 00:01:14.000]  都是讓你停一停
[00:01:14.000 --> 00:01:15.000]  想一想
[00:01:15.000 --> 00:01:17.000]  究竟我2023年
[00:01:17.000 --> 00:01:18.000]  你會想怎樣過呢
[00:01:18.000 --> 00:01:20.000]  下個禮拜初一
[00:01:20.000 --> 00:01:21.000]  四月四日
[00:01:21.000 --> 00:01:22.000]  又是農曆新年
[00:01:22.000 --> 00:01:24.000]  你又想怎樣過
[00:01:24.000 --> 00:01:26.000]  蒙福的人生呢
[00:01:26.000 --> 00:01:28.000]  這個我想是每個人都很渴求
