
[00:00:00.000 --> 00:00:05.420]  今天我們要看的是出埃及記
[00:00:05.420 --> 00:00:09.040]  出埃及記,我們如何去明白出埃及記
[00:00:09.040 --> 00:00:11.840]  我們如何,從哪裏開始呢
[00:00:11.840 --> 00:00:17.060]  很簡單,出埃及記其實是從創世紀的尾段開始
[00:00:17.060 --> 00:00:21.780]  當你想創世紀和出埃及記時,不要想它們是兩本書
[00:00:21.780 --> 00:00:26.180]  想它們是一個繼續的一本書,它們是在相剋集
[00:00:26.180 --> 00:00:29.800]  當然你可以說,去到出埃及記其實都還沒完
[00:00:29.800 --> 00:00:35.180]  因爲之後,之後就不是你還沒記,因爲你還沒記是說那些禮儀的東西
[00:00:35.180 --> 00:00:42.080]  之後可能是去到文數記,然後還有生命記,再繼續下去
[00:00:42.080 --> 00:00:43.740]  這個是五經的書
[00:00:43.740 --> 00:00:51.420]  我們去明白,要明白出埃及記,我們先要大概認識創世記是說什麼的
[00:00:51.420 --> 00:00:53.580]  我沒時間和你仔細去看
[00:00:53.580 --> 00:00:58.600]  但我們可以很快講上次創世記裏面的架構
[00:00:58.600 --> 00:01:01.420]  這個是我們工作了很久結果出來的架構
[00:01:01.420 --> 00:01:03.020]  創世記可以分爲三段
[00:01:03.020 --> 00:01:09.280]  第一段是說創造、墮落、原始的歷史,第一章至十一章
[00:01:09.280 --> 00:01:14.020]  第二部分是說阿巴拉罕、以撒、瓦割
[00:01:14.020 --> 00:01:16.340]  這個是救恩的源頭
[00:01:16.340 --> 00:01:18.980]  是第十二章到第三十章
[00:01:18.980 --> 00:01:24.740]  接着有另一個新的人叫做約瑟,約瑟被賣去埃及
[00:01:24.740 --> 00:01:26.320]  在埃及做了宰相
[00:01:26.320 --> 00:01:28.820]  故事最後停留在哪裏呢?
[00:01:28.820 --> 00:01:34.380]  停留在埃及,停留在約瑟被賣
[00:01:34.380 --> 00:01:39.920]  這個是創世記的最終,也是Trichop記的開始
[00:01:39.920 --> 00:01:44.740]  約瑟對他的兄弟說,第二十四節,第五十章
[00:01:44.740 --> 00:01:51.340]  我快要死了,但上帝必定看顧你們,領你們從這裏上去
[00:01:51.340 --> 00:01:56.100]  到他起世,認許給阿巴拉罕、以撒、瓦割之地
