
[00:00:00.000 --> 00:00:05.000]  在聖經裡頭我們看到有很多合乎神心意的人
[00:00:05.000 --> 00:00:10.000]  今天我想在基督徒跟這些傳統當中
[00:00:10.000 --> 00:00:12.000]  很多人是為了神做功
[00:00:12.000 --> 00:00:15.000]  也有很多熱心的人
[00:00:15.000 --> 00:00:18.000]  也有很多愛主的基督徒
[00:00:18.000 --> 00:00:26.000]  但是真正能夠合神心意的這個人真是也不多
[00:00:26.000 --> 00:00:28.000]  我們看到在舊約裡頭
[00:00:28.000 --> 00:00:31.000]  先知以賽亞
[00:00:31.000 --> 00:00:34.000]  在以賽亞書第六章
[00:00:34.000 --> 00:00:37.000]  他有一次來到聖殿裡頭
[00:00:37.000 --> 00:00:41.000]  就看到聖殿裡頭的意象
[00:00:41.000 --> 00:00:43.000]  看見神高高在寶座上
[00:00:43.000 --> 00:00:45.000]  他的衣裳下垂
[00:00:45.000 --> 00:00:48.000]  榮耀充滿聖殿
[00:00:48.000 --> 00:00:52.000]  這個時候看見有撒拉伯天使
[00:00:52.000 --> 00:00:56.000]  有在讚美神
[00:00:56.000 --> 00:00:59.000]  他用兩個翅膀遮著臉
[00:00:59.000 --> 00:01:01.000]  兩個翅膀遮著腳
[00:01:01.000 --> 00:01:03.000]  兩個翅膀的飛翔
[00:01:03.000 --> 00:01:05.000]  聖在聖在聖在
[00:01:05.000 --> 00:01:08.000]  神的榮光就充滿了聖殿
[00:01:08.000 --> 00:01:12.000]  以賽亞在那個地方
[00:01:12.000 --> 00:01:17.000]  就覺得自己看到自己的污穢
[00:01:17.000 --> 00:01:19.000]  神就接近了他
[00:01:19.000 --> 00:01:23.000]  這個時候他就聽到寶座中間有聲音說
[00:01:23.000 --> 00:01:26.000]  我可以差遣誰呢
[00:01:26.000 --> 00:01:28.000]  誰肯為我去呢
[00:01:28.000 --> 00:01:31.000]  神並沒有指名說
[00:01:31.000 --> 00:01:34.000]  以賽亞你出來為我工作
[00:01:34.000 --> 00:01:35.000]  來服侍我
[00:01:35.000 --> 00:01:37.000]  他就這麼說了一下
[00:01:37.000 --> 00:01:40.000]  我們就看見以賽亞先知
[00:01:40.000 --> 00:01:42.000]  就在當時跟神說
[00:01:42.000 --> 00:01:45.000]  我在這裡請差遣我
