
[00:00:00.000 --> 00:00:03.000]  各位兄弟姐妹,平安!
[00:00:03.000 --> 00:00:07.000]  從我們開始的時候,我們先來一個禱告吧!
[00:00:07.000 --> 00:00:11.000]  主耶穌,我們很感謝祢,因為祢常常都對我們說話
[00:00:11.000 --> 00:00:14.000]  從祢這個時候,同樣對我們說話
[00:00:14.000 --> 00:00:17.000]  教導我們,以致我們明白祢的心意
[00:00:17.000 --> 00:00:19.000]  走在祢的路上
[00:00:19.000 --> 00:00:23.000]  因為祢就是那位道路、真理和生命
[00:00:23.000 --> 00:00:27.000]  禱告奉主耶穌基督聖名,下門!
[00:00:27.000 --> 00:00:31.000]  有一本武俠小說,曾經是風行過一時
[00:00:31.000 --> 00:00:35.000]  也是拍成了電影和電視劇
[00:00:35.000 --> 00:00:38.000]  大家不知道有沒有看過呢?
[00:00:38.000 --> 00:00:42.000]  這個叫做《流星蝴蝶劍》
[00:00:42.000 --> 00:00:46.000]  看名字,好像大家都不知道在說什麼
[00:00:46.000 --> 00:00:49.000]  怎麼可以拉得起來呢?
[00:00:49.000 --> 00:00:55.000]  原來《流星蝴蝶劍》,根據作者古龍所說
[00:00:55.000 --> 00:00:59.000]  原來祂是小說中的主角
[00:00:59.000 --> 00:01:04.000]  但祂是瞬間即逝,不代表永恆
[00:01:04.000 --> 00:01:07.000]  什麼叫做永恆呢?
[00:01:07.000 --> 00:01:09.000]  當我思考這個問題的時候
[00:01:09.000 --> 00:01:14.000]  我就想起今天所讀的第二篇詩篇
[00:01:14.000 --> 00:01:20.000]  講述受高者、君王和兒子
[00:01:20.000 --> 00:01:24.000]  原來祂就是聖經裡的主角,耶穌基督
[00:01:24.000 --> 00:01:28.000]  那位色在、金在、永在的主
[00:01:28.000 --> 00:01:32.000]  聖經曾經多次引用這首詩
[00:01:32.000 --> 00:01:36.000]  描寫了基督就是神的兒子
[00:01:36.000 --> 00:01:42.000]  祂末日將要回來建立祂的角度和祂的皇權
[00:01:42.000 --> 00:01:48.000]  因此這首詩可以說是一首尼塞亞的預言詩
[00:01:48.000 --> 00:01:52.000]  耶穌基督在世上的時候也曾經提過
[00:01:52.000 --> 00:01:58.000]  祂說摩西的律法、先知的書和詩篇上所記的
[00:01:58.000 --> 00:02:03.000]  凡是指著祂的話都必須要應驗
[00:02:03.000 --> 00:02:05.000]  因此現在就讓我們來看看
[00:02:05.000 --> 00:02:09.000]  這篇詩到底是講什麼呢?
[00:02:09.000 --> 00:02:13.000]  我會分為四段跟大家一起講一下
[00:02:13.000 --> 00:02:16.000]  在這篇詩裡面,剛才讀的時候
[00:02:16.000 --> 00:02:21.000]  大家都會發覺到有些對話的元素在裡面
[00:02:21.000 --> 00:02:25.000]  因此可以說是一個戲劇
[00:02:25.000 --> 00:02:31.000]  這個戲劇裡面是有四個主角的
[00:02:31.000 --> 00:02:34.000]  從詩篇的分類來看
[00:02:34.000 --> 00:02:39.000]  其實這也可以說是一篇君王的詩
[00:02:39.000 --> 00:02:45.000]  當時是寫給新登基的王的時候
[00:02:45.000 --> 00:02:51.000]  一起來是還唱的
[00:02:51.000 --> 00:02:55.000]  跟詩篇的結構可以分為四段
[00:02:55.000 --> 00:02:58.000]  而這篇詩跟大家分享的時候
[00:02:58.000 --> 00:03:05.000]  也嘗試看看這篇詩和詩篇第一篇之間的關係
[00:03:05.000 --> 00:03:10.000]  為什麼會稱為詩篇的雙重引言呢?
[00:03:10.000 --> 00:03:13.000]  首先來看看第一幕
[00:03:13.000 --> 00:03:15.000]  我這裡給的題目就是
[00:03:15.000 --> 00:03:18.000]  「反叛者的虛妄」
[00:03:18.000 --> 00:03:21.000]  在這裡,詩人一開始
[00:03:21.000 --> 00:03:24.000]  用一句非常驚訝的說話來講
[00:03:24.000 --> 00:03:26.000]  為什麼?
[00:03:26.000 --> 00:03:29.000]  用現在的說話來講
[00:03:29.000 --> 00:03:32.000]  可以說是這樣也可以的
[00:03:32.000 --> 00:03:34.000]  什麼人來的?
[00:03:34.000 --> 00:03:37.000]  原來是外邦、萬民
[00:03:37.000 --> 00:03:39.000]  就是說什麼人都有
[00:03:39.000 --> 00:03:42.000]  人數眾多,聲勢很大
[00:03:42.000 --> 00:03:44.000]  他們有什麼陰謀呢?
[00:03:44.000 --> 00:03:46.000]  就是那些虛妄的事
[00:03:46.000 --> 00:03:51.000]  人們好像患了妄想症一樣
[00:03:51.000 --> 00:03:53.000]  帶頭的是什麼人呢?
[00:03:53.000 --> 00:03:57.000]  原來是世上的君王和神仔
[00:03:57.000 --> 00:04:01.000]  他們是有組織、有計劃的非法集會
[00:04:01.000 --> 00:04:04.000]  他們要搞一場大龍鳳
[00:04:04.000 --> 00:04:09.000]  如果大家有從第一篇的角度來看看這件事的時候
[00:04:09.000 --> 00:04:12.000]  因為詩篇第一篇我一年前已經講過了
[00:04:12.000 --> 00:04:15.000]  你會知道這些人就好像
[00:04:15.000 --> 00:04:18.000]  詩篇第一篇裡面的惡人一樣
[00:04:18.000 --> 00:04:21.000]  他們是坐在一起
[00:04:21.000 --> 00:04:25.000]  他們是要想辦法來害人
[00:04:25.000 --> 00:04:28.000]  現在這個詩篇第二篇
[00:04:28.000 --> 00:04:31.000]  所講的君王和神仔
[00:04:31.000 --> 00:04:33.000]  他們一同來商議
[00:04:33.000 --> 00:04:35.000]  就好像我剛才講的
[00:04:35.000 --> 00:04:41.000]  詩篇的第一篇那些惡人是相類似的
[00:04:41.000 --> 00:04:46.000]  跟他們說這些惡人在圖謀虛妄的事
[00:04:46.000 --> 00:04:50.000]  但是異人卻是很重視神的訓誨
[00:04:50.000 --> 00:04:54.000]  他們常常是思想神的說話
[00:04:54.000 --> 00:05:00.000]  因為謀算和思想在原文裡面其實是同一個字
[00:05:00.000 --> 00:05:02.000]  其實是與大相關
[00:05:02.000 --> 00:05:07.000]  看到惡人和異人其實是兩極化
[00:05:07.000 --> 00:05:11.000]  那麼他們在這裡他們反對什麼人呢
[00:05:11.000 --> 00:05:13.000]  在這裡就講得很清楚了
[00:05:13.000 --> 00:05:17.000]  就是耶和華和他的仇高者
[00:05:17.000 --> 00:05:19.000]  那麼仇高者是誰呢
[00:05:19.000 --> 00:05:21.000]  是指什麼人呢
[00:05:21.000 --> 00:05:25.000]  在聖經裡面講到是三種人
[00:05:25.000 --> 00:05:30.000]  祭司、先知和君王
[00:05:30.000 --> 00:05:34.000]  那麼在這裡很明顯就指的是君王
[00:05:34.000 --> 00:05:38.000]  那麼他們陰謀的內容又是什麼呢
[00:05:38.000 --> 00:05:41.000]  在這裡詩人就講到
[00:05:41.000 --> 00:05:45.000]  他們是要爭奪捆綁和承索
[00:05:45.000 --> 00:05:48.000]  就是說他們不想受到神的管束
[00:05:48.000 --> 00:05:50.000]  我們都知道在古代
