
[00:00:00.000 --> 00:00:02.000]  頂姐妹 主內平安
[00:00:02.000 --> 00:00:04.000]  今日想同大家分享一個題目
[00:00:04.000 --> 00:00:06.000]  門徒必經之路
[00:00:06.000 --> 00:00:08.000]  在我們人生當中
[00:00:08.000 --> 00:00:10.000]  我們都有一些
[00:00:10.000 --> 00:00:12.000]  必經的階段
[00:00:12.000 --> 00:00:14.000]  是不是
[00:00:14.000 --> 00:00:16.000]  可能是我們
[00:00:16.000 --> 00:00:18.000]  當然我們有
[00:00:18.000 --> 00:00:20.000]  學業的階段
[00:00:20.000 --> 00:00:22.000]  我們有建立
[00:00:22.000 --> 00:00:24.000]  我們事業的階段
[00:00:24.000 --> 00:00:26.000]  我們也有建立家庭的階段
[00:00:26.000 --> 00:00:28.000]  當我們
[00:00:28.000 --> 00:00:30.000]  年輕的時候
[00:00:30.000 --> 00:00:32.000]  我們總是有
[00:00:32.000 --> 00:00:34.000]  很多的夢想 有不同的
[00:00:34.000 --> 00:00:36.000]  可能性擺在我們面前
[00:00:36.000 --> 00:00:38.000]  我們都希望能夠找到一條路
[00:00:38.000 --> 00:00:40.000]  我們在上面能夠去
[00:00:40.000 --> 00:00:42.000]  竭力奔跑 在上面
[00:00:42.000 --> 00:00:44.000]  去奮鬥 但無論
[00:00:44.000 --> 00:00:46.000]  我們選擇那一條路
[00:00:46.000 --> 00:00:48.000]  我們漸漸會
[00:00:48.000 --> 00:00:50.000]  明白
[00:00:50.000 --> 00:00:52.000]  有一些的經歷 有一些的歷程
[00:00:52.000 --> 00:00:54.000]  是必須要經過
[00:00:54.000 --> 00:00:56.000]  我們沒辦法扮苗座長
[00:00:56.000 --> 00:00:58.000]  我們沒辦法
[00:00:58.000 --> 00:01:00.000]  去常常偷工減料
[00:01:00.000 --> 00:01:02.000]  偶然我們
[00:01:02.000 --> 00:01:04.000]  可能走走正面
[00:01:04.000 --> 00:01:06.000]  或者我們都經歷過
[00:01:06.000 --> 00:01:08.000]  不過我想我們都相信
[00:01:08.000 --> 00:01:10.000]  我們都知道
