
[00:00:00.000 --> 00:00:03.720]  多謝Hansel 帶領我們有很美好的敬拜
[00:00:03.720 --> 00:00:10.480]  早前我們開始了健康教會的講道系列
[00:00:10.480 --> 00:00:14.120]  上次我講了第一講
[00:00:14.120 --> 00:00:16.120]  講到至高無上的耶穌
[00:00:16.120 --> 00:00:18.560]  一個純正和健康的教會
[00:00:18.560 --> 00:00:20.680]  首先應該沒有對錯焦點
[00:00:20.680 --> 00:00:23.760]  我們高舉的是至高無上的耶穌
[00:00:23.760 --> 00:00:26.160]  今天我們就進入第二講
[00:00:26.160 --> 00:00:28.400]  就是關於敬拜
[00:00:28.400 --> 00:00:30.680]  我的題目是「君尊的敬拜」
[00:00:30.680 --> 00:00:31.320]  為什麼呢?
[00:00:31.320 --> 00:00:34.360]  因為教會健不健康
[00:00:34.360 --> 00:00:37.520]  其實從它的敬拜裡面都可以看出來
[00:00:37.520 --> 00:00:38.760]  我們的敬拜
[00:00:38.760 --> 00:00:41.960]  一個蒙神喜悅的敬拜很重要
[00:00:41.960 --> 00:00:46.000]  因為我們的敬拜是反映我們信徒的生命
[00:00:46.000 --> 00:00:51.680]  和反映我們整體和神的關係是否健康
[00:00:51.680 --> 00:00:54.160]  當大家剛才讀這段經文的時候
[00:00:54.160 --> 00:01:00.840]  不知道大家有沒有覺得有些地方好像觸動到我們的神經
[00:01:00.840 --> 00:01:02.120]  總覺得有些不妥
[00:01:02.120 --> 00:01:04.520]  或者令你覺得很費解
[00:01:04.520 --> 00:01:07.520]  那個污煞明明很深
[00:01:07.520 --> 00:01:10.640]  為什麼結果卻是招神的擊殺呢?
[00:01:10.640 --> 00:01:12.920]  上帝很殘忍
[00:01:12.920 --> 00:01:14.400]  甚至你可能覺得
[00:01:14.400 --> 00:01:15.840]  今天這段敬拜
[00:01:15.840 --> 00:01:16.960]  你的題目講敬拜
[00:01:16.960 --> 00:01:18.760]  和敬拜有什麼關係呢?
[00:01:18.760 --> 00:01:22.000]  我們可能有很多問題在腦海裡
[00:01:22.000 --> 00:01:25.480]  不過我希望今天我們聽完這篇道之後
[00:01:25.480 --> 00:01:29.880]  我們能夠對剛才那些問題
[00:01:29.880 --> 00:01:31.000]  找到答案
[00:01:31.000 --> 00:01:33.320]  豁然開朗
[00:01:33.320 --> 00:01:35.040]  在我們去解答
[00:01:35.040 --> 00:01:38.960]  剛才一些大家心目中可能有的問題之前
[00:01:38.960 --> 00:01:41.480]  我們先看看少少的背景
[00:01:41.480 --> 00:01:45.200]  如果當我們去看《撒姆爾記》上
[00:01:45.200 --> 00:01:48.200]  去到最後那一章
[00:01:48.200 --> 00:01:54.000]  其實是講述以色列第一個皇帝蘇羅的死
[00:01:54.000 --> 00:01:55.520]  講述他死了
[00:01:55.520 --> 00:01:57.920]  接著到《撒姆爾記》下
[00:01:57.920 --> 00:01:59.760]  由第二到第五章開始
[00:01:59.760 --> 00:02:04.080]  就講述大衛得皇位的過程
[00:02:04.080 --> 00:02:08.360]  大衛首先成為猶大的王
[00:02:08.360 --> 00:02:12.800]  接著再成為全以色列的王
[00:02:12.800 --> 00:02:15.640]  到第五、第六章的時候就講述
[00:02:15.640 --> 00:02:20.120]  大衛奪取了耶路撒冷這個城
[00:02:20.120 --> 00:02:24.720]  他就把耶路撒冷作為以色列國的首都
[00:02:24.720 --> 00:02:28.160]  接著又講述大衛大敗那些非利士人
[00:02:28.160 --> 00:02:30.880]  還有講述他把神的約櫃
[00:02:30.880 --> 00:02:33.720]  遷移到新立的首都
[00:02:33.720 --> 00:02:35.560]  即是耶路撒冷
[00:02:35.560 --> 00:02:38.080]  而剛才大家讀的這段經文
[00:02:38.080 --> 00:02:39.920]  正正就是記載
