
[00:00:00.000 --> 00:00:04.000]  首先和大家看看這些名詞才了解
[00:00:04.000 --> 00:00:06.000]  摩西娶了古實女子
[00:00:06.000 --> 00:00:08.000]  那古實是甚麼人呢?
[00:00:08.000 --> 00:00:13.000]  據聞古實是在非洲東部尼羅河上游
[00:00:13.000 --> 00:00:18.000]  在聖經後來的新譯法就譯為埃塞俄比亞
[00:00:18.000 --> 00:00:22.000]  大家知道埃塞俄比亞是甚麼州在非洲
[00:00:22.000 --> 00:00:26.000]  所以原來古實女子是一個非洲人
[00:00:26.000 --> 00:00:29.000]  是黑皮膚的人
[00:00:29.000 --> 00:00:32.000]  摩西娶了一個黑人女子
[00:00:32.000 --> 00:00:36.000]  問題是究竟摩西在哪裏找到黑人女子
[00:00:36.000 --> 00:00:39.000]  找到古實人在曠野裏面
[00:00:39.000 --> 00:00:42.000]  原來聖經在出埃及的十二章三十八節裏面
[00:00:42.000 --> 00:00:44.000]  說了一個資料給我們聽
[00:00:44.000 --> 00:00:46.000]  當以色列人出埃及的時候
[00:00:46.000 --> 00:00:48.000]  不單止是以色列人出埃及
[00:00:48.000 --> 00:00:50.000]  在十二章三十八節裏面
[00:00:50.000 --> 00:00:53.000]  還有許多閒雜人一起
[00:00:53.000 --> 00:00:56.000]  即是有些非以色列人也一起出埃及
[00:00:56.000 --> 00:00:59.000]  不過聖經仍然說是閒雜人
[00:00:59.000 --> 00:01:02.000]  原來還有些非以色列人一起出埃及
[00:01:02.000 --> 00:01:08.000]  我們就問一下為甚麼米利安和亞倫要誹謗摩西呢
[00:01:08.000 --> 00:01:13.000]  其中有一個原因和上文文數記第十一章有關係
[00:01:13.000 --> 00:01:17.000]  因為文數記第十一章裏面說到
[00:01:17.000 --> 00:01:19.000]  以色列人因為侮辱色
[00:01:19.000 --> 00:01:20.000]  有瓦拿色的
[00:01:20.000 --> 00:01:22.000]  不過侮辱色就發怨言
[00:01:22.000 --> 00:01:23.000]  發怨言的時候
