
[00:00:00.000 --> 00:00:04.000]  請問大家有沒有聽過一個四字詞
[00:00:04.000 --> 00:00:06.000]  成就解鎖
[00:00:06.000 --> 00:00:08.000]  有沒有聽過?
[00:00:08.000 --> 00:00:10.000]  尚高有沒有聽過?
[00:00:10.000 --> 00:00:12.000]  年輕人可能聽過多一點
[00:00:12.000 --> 00:00:14.000]  成就解鎖呢
[00:00:14.000 --> 00:00:17.000]  為什麼今天的題目叫做信仰解鎖
[00:00:17.000 --> 00:00:19.000]  讓我先解釋
[00:00:19.000 --> 00:00:22.000]  因為當我一直在準備講章
[00:00:22.000 --> 00:00:27.000]  通常我們大牧準備講章之後
[00:00:27.000 --> 00:00:30.000]  才會想到題目
[00:00:30.000 --> 00:00:32.000]  應該是什麼題目最好呢?
[00:00:32.000 --> 00:00:35.000]  老海宗一直準備講章的時候
[00:00:35.000 --> 00:00:38.000]  發覺這篇信息裡面
[00:00:38.000 --> 00:00:40.000]  是在講耶穌基督
[00:00:40.000 --> 00:00:45.000]  祂特別針對法利塞人民事
[00:00:45.000 --> 00:00:47.000]  對祂的一些批評
[00:00:47.000 --> 00:00:50.000]  特別是對舊約的認識
[00:00:50.000 --> 00:00:53.000]  講解這段經文
[00:00:53.000 --> 00:01:00.000]  感覺上是把舊約的意義糾正出來
[00:01:00.000 --> 00:01:09.000]  以致解鎖了被曲解的舊約情況
[00:01:09.000 --> 00:01:12.000]  於是老海宗就想到解鎖這個詞
[00:01:12.000 --> 00:01:15.000]  為什麼會想到這個詞呢?
[00:01:15.000 --> 00:01:19.000]  就不是平時家裡門壞了有人開鎖
[00:01:19.000 --> 00:01:21.000]  或者有什麼心結要有人解鎖
[00:01:21.000 --> 00:01:23.000]  而是想起成就解鎖這個詞
[00:01:23.000 --> 00:01:26.000]  於是我就檢查一下
[00:01:26.000 --> 00:01:28.000]  廣告是有的
[00:01:28.000 --> 00:01:29.000]  再檢查一下
[00:01:29.000 --> 00:01:32.000]  原來是一些電玩遊戲
[00:01:32.000 --> 00:01:34.000]  就是那些電腦遊戲
[00:01:34.000 --> 00:01:37.000]  御師就說你完成了任務之後
[00:01:37.000 --> 00:01:39.000]  你就升到某個層次
[00:01:39.000 --> 00:01:40.000]  升到某個層次之後
[00:01:40.000 --> 00:01:41.000]  你就拿到一些秘技
[00:01:41.000 --> 00:01:43.000]  拿到一些經驗
[00:01:43.000 --> 00:01:44.000]  那就可以解鎖了
[00:01:44.000 --> 00:01:45.000]  解鎖了之後
[00:01:45.000 --> 00:01:47.000]  你就能夠到另一個層次
[00:01:47.000 --> 00:01:51.000]  繼續一層一層
[00:01:51.000 --> 00:01:53.000]  如果打機就打上去
[00:01:53.000 --> 00:01:57.000]  當然近年成就解鎖的詞
[00:01:57.000 --> 00:01:59.000]  就很被廣泛使用
[00:01:59.000 --> 00:02:02.000]  廣泛使用到我們的人生
[00:02:02.000 --> 00:02:05.000]  我們要成就解鎖我們的人生
[00:02:05.000 --> 00:02:07.000]  人生必須做十件事情
[00:02:07.000 --> 00:02:11.000]  你就能夠突破自己
[00:02:11.000 --> 00:02:15.000]  你可以上網看看哪十件事情
[00:02:15.000 --> 00:02:17.000]  或者其他事情
[00:02:17.000 --> 00:02:18.000]  怎樣呢
[00:02:18.000 --> 00:02:20.000]  小朋友都要成就解鎖
[00:02:20.000 --> 00:02:23.000]  小時候怎樣幫助他發揮潛能等等
[00:02:23.000 --> 00:02:25.000]  用了一些字眼
[00:02:25.000 --> 00:02:28.000]  我也是跟著潮流用了一些字眼
[00:02:28.000 --> 00:02:32.000]  所以我今天題目就是信仰解鎖
[00:02:32.000 --> 00:02:35.000]  就是為什麼在信仰裡面
