
[00:00:00.000 --> 00:00:01.340]  領主媒早晨
[00:00:01.340 --> 00:00:02.960]  好嗎
[00:00:02.960 --> 00:00:06.800]  首先講一講我不是工程師
[00:00:06.800 --> 00:00:10.880]  也是牧師,不過不是工程師
[00:00:10.880 --> 00:00:13.560]  我是做生化的
[00:00:13.560 --> 00:00:19.020]  今次主今天又跟大家分享上帝的訊息
[00:00:19.020 --> 00:00:22.020]  跟大家一起去侍奉我們的身
[00:00:22.020 --> 00:00:26.760]  雖然站在港台已經站了很多次
[00:00:26.760 --> 00:00:30.340]  在自己教會幾十年幾十年,二十多年
[00:00:30.340 --> 00:00:33.300]  講到差不多每個星期都要講
[00:00:33.300 --> 00:00:37.220]  但不知為何每次上來都很緊張
[00:00:37.220 --> 00:00:40.400]  所以你給我一點笑容讓我沒那麼緊張
[00:00:40.400 --> 00:00:45.560]  我剛才坐在那裡檢查我的手錶
[00:00:45.560 --> 00:00:47.280]  看看我的心跳有多少
[00:00:47.280 --> 00:00:49.120]  你知不知道我現在的心跳有多少
[00:00:49.120 --> 00:00:52.040]  109
[00:00:52.880 --> 00:00:57.080]  真的有點害怕對著大英姊妹分兩層的話語
[00:00:57.080 --> 00:00:59.400]  真的有點緊張
[00:00:59.400 --> 00:01:01.840]  不過我又很喜歡來Sandy Angel
[00:01:01.840 --> 00:01:03.400]  這個會點教會
[00:01:03.400 --> 00:01:06.600]  因為上次來教會之後
[00:01:06.600 --> 00:01:12.360]  我發現招牧師和招師母帶我去你們教會後面
[00:01:12.360 --> 00:01:15.260]  原來有很多好東西吃
[00:01:15.260 --> 00:01:18.680]  又有海南雞飯
[00:01:18.680 --> 00:01:20.500]  又有豉油雞
[00:01:20.500 --> 00:01:25.440]  我跟師母說來這個會點教會一定不會吃雞
[00:01:25.440 --> 00:01:31.320]  我們一起來讀今天的經文好嗎
[00:01:31.320 --> 00:01:33.040]  一起來讀好嗎
[00:01:33.040 --> 00:01:35.280]  大大聲,慢慢讀
[00:01:35.280 --> 00:01:37.140]  不急,準備起
[00:01:37.140 --> 00:01:40.480]  耶穌道了該撒利亞經
[00:01:40.480 --> 00:01:43.560]  就問門道說
[00:01:43.560 --> 00:01:44.780]  而人說
[00:01:44.780 --> 00:01:47.720]  他們說
[00:01:47.720 --> 00:01:50.120]  有人說是施洗若寒
[00:01:50.120 --> 00:01:52.440]  有人說是以利亞
[00:01:52.440 --> 00:01:54.640]  有人說是耶利米
[00:01:54.640 --> 00:01:58.360]  耶穌說
[00:01:58.360 --> 00:02:00.640]  你們說,我是誰
[00:02:00.640 --> 00:02:02.960]  西門彼得回答說
[00:02:02.960 --> 00:02:04.480]  你是基督
[00:02:04.480 --> 00:02:06.760]  是永生神的兒子
[00:02:06.760 --> 00:02:08.480]  耶穌對他說
[00:02:08.480 --> 00:02:11.920]  西門也若納有福的
[00:02:11.920 --> 00:02:15.600]  因為這不是血之善利
[00:02:15.600 --> 00:02:19.080]  乃是在天上的父子善利的
[00:02:19.080 --> 00:02:20.760]  我懷告訴你
[00:02:20.760 --> 00:02:22.040]  你是彼得
[00:02:22.040 --> 00:02:26.240]  我要把我的教會建造在這盤索上
[00:02:26.240 --> 00:02:29.680]  陰間的劍兵不能勝過他
