
[00:00:00.000 --> 00:00:02.720]  在聆聽今天的講道以先
[00:00:02.720 --> 00:00:05.520]  讓我們再次一齊同心低頭禱告
[00:00:05.520 --> 00:00:06.720]  預備我們心思意念
[00:00:06.720 --> 00:00:09.760]  來交給主愛的一生
[00:00:09.760 --> 00:00:10.560]  父神多謝祢
[00:00:10.560 --> 00:00:13.600]  讓我們再次回到祢的啟示當中
[00:00:13.600 --> 00:00:15.040]  藉著祢獨人
[00:00:15.040 --> 00:00:17.760]  但以祢的經驗經歷
[00:00:17.760 --> 00:00:19.760]  能夠幫助我們今天
[00:00:19.760 --> 00:00:21.600]  作為一個屬祢的子民
[00:00:21.600 --> 00:00:23.520]  同樣怎樣去面對
[00:00:23.520 --> 00:00:26.560]  我們所活在這個時代
[00:00:26.560 --> 00:00:30.720]  這個世界裡面應擔當的角色
[00:00:30.720 --> 00:00:32.800]  求祢也幫助我們
[00:00:32.800 --> 00:00:39.360]  讓我們在不同的人生的階段裡面
[00:00:39.360 --> 00:00:43.040]  也學會怎樣去能夠把握
[00:00:43.040 --> 00:00:45.280]  我們每一個人生的階段
[00:00:45.280 --> 00:00:50.000]  上帝祢怎樣設計我們在這個時間
[00:00:50.000 --> 00:00:51.520]  空間的地點
[00:00:51.520 --> 00:00:55.760]  為上主祢所交託的事而去努力
[00:00:55.760 --> 00:00:56.880]  求祢給我們力量
[00:00:56.880 --> 00:01:00.080]  因為本來我們並非一個很有力量的人
[00:01:00.080 --> 00:01:03.520]  但是我們深信當祢交託的事
[00:01:03.520 --> 00:01:06.160]  同樣祢所賦予的能力
[00:01:06.160 --> 00:01:08.320]  也都同時加在我們身上
[00:01:08.320 --> 00:01:09.920]  讓我們去懂得掌握
[00:01:09.920 --> 00:01:12.240]  並且珍惜來使用
[00:01:12.240 --> 00:01:16.000]  禱告奉靠主耶穌基督德性的名字而求
[00:01:16.000 --> 00:01:18.400]  阿們
[00:01:18.400 --> 00:01:23.600]  人生本來就是充滿很多的不穩定性
[00:01:23.600 --> 00:01:26.640]  英文叫做Uncertainties
[00:01:26.640 --> 00:01:29.120]  我們不知道什麼原因來到這個世界
[00:01:29.120 --> 00:01:33.600]  也不是因為我們有什麼能力選擇來到這個世界
[00:01:33.600 --> 00:01:35.440]  但是我們可以看到的就是
[00:01:35.440 --> 00:01:37.440]  當我們來到這個世界之後
[00:01:37.440 --> 00:01:39.360]  其實我們只有一條路走的
[00:01:39.360 --> 00:01:45.520]  就是一路步向死亡的結局來發展
[00:01:45.520 --> 00:01:49.520]  能夠在這段出生以至死亡的之間
[00:01:49.520 --> 00:01:52.080]  我們可以走多長時間
[00:01:52.080 --> 00:01:55.760]  也都不是在我們手上可以決定
[00:01:55.760 --> 00:01:57.440]  怎樣走
[00:01:57.440 --> 00:01:59.680]  有些人以為憑自己的紀律
[00:01:59.680 --> 00:02:04.480]  可以在這個世界上走完人生
[00:02:04.480 --> 00:02:07.760]  但是當我們奈何去仔細看一下
[00:02:07.760 --> 00:02:10.320]  就算你多有力量也好
[00:02:10.320 --> 00:02:12.480]  你想怎樣走也好
[00:02:12.480 --> 00:02:15.920]  連個結果都不到你決定
[00:02:15.920 --> 00:02:20.640]  有時你很想說我在這個人生裡幹一份大事
[00:02:20.640 --> 00:02:23.920]  或者我是一個家庭,我很愛護我的妻子
[00:02:23.920 --> 00:02:27.440]  照顧我的兒女或者我的丈夫
[00:02:27.440 --> 00:02:30.480]  但是有時候事實是不是真的這樣
[00:02:30.480 --> 00:02:34.480]  可以如你所願而發生呢?
[00:02:34.480 --> 00:02:38.800]  在我自己所認識的很多甚至信徒的生命當中
[00:02:38.800 --> 00:02:41.040]  他們也都留意到一樣東西
[00:02:41.040 --> 00:02:47.360]  結果不是他自己所盼望所見到的
[00:02:47.360 --> 00:02:50.640]  因為在過程當中有很多不穩定
[00:02:50.640 --> 00:02:55.040]  不知道的因素在當中
[00:02:55.040 --> 00:02:58.800]  有些人很專心地照顧他的家庭
[00:02:58.800 --> 00:03:03.040]  很努力地工作為他家庭的需要而奔波
[00:03:03.040 --> 00:03:08.800]  結局就是他的家庭都沒有了
[00:03:08.800 --> 00:03:11.760]  如果從這個角度去看
[00:03:11.760 --> 00:03:14.720]  這些所謂的不肯定性
[00:03:14.720 --> 00:03:19.520]  只會為我們帶來很多的失望
[00:03:19.520 --> 00:03:23.920]  如果在這種狀態之下你可能就會想
[00:03:23.920 --> 00:03:26.800]  會不會是我能力不夠呢?
[00:03:26.800 --> 00:03:31.360]  還是可能我會比較富有的話
[00:03:31.360 --> 00:03:35.520]  我可能成就的機率會高一些呢?
[00:03:35.520 --> 00:03:37.440]  但如果當我們看看
[00:03:37.440 --> 00:03:41.360]  即是說有些有權有勢的人在這個世界上
