
[00:00:00.000 --> 00:00:04.120]  讓我們在聆聽神話的時候再一次有一個祈禱
[00:00:04.120 --> 00:00:12.200]  主啊 求祢對我們說說話
[00:00:12.200 --> 00:00:15.000]  打開我們的心
[00:00:15.000 --> 00:00:17.920]  讓我們能夠聽見
[00:00:17.920 --> 00:00:23.280]  祢今天要對我們所做的提醒 勉勵
[00:00:23.280 --> 00:00:27.280]  聽我們祈禱奉主耶穌基督的名求
[00:00:27.280 --> 00:00:28.400]  阿們
[00:00:29.880 --> 00:00:32.360]  今天按照教會的安排
[00:00:32.360 --> 00:00:35.520]  我們來看河西亞書的第一章
[00:00:35.520 --> 00:00:39.640]  很多時候當我們打開舊約的先知書
[00:00:39.640 --> 00:00:42.560]  都有一個相對籠統的印象
[00:00:42.560 --> 00:00:45.920]  就是先知又要罵人了
[00:00:45.920 --> 00:00:50.760]  他總是說以色列人這裡不好 那裡不對
[00:00:50.760 --> 00:00:54.680]  然後又會安慰他們 叫他們悔改
[00:00:54.680 --> 00:00:59.760]  總之就是好像先知書來來去去都是說那些話
[00:01:00.280 --> 00:01:05.360]  於是我們對於研讀先知書可能就稍為缺乏興趣了
[00:01:05.360 --> 00:01:09.160]  但是如果我們這樣來看先知書
[00:01:09.160 --> 00:01:11.960]  其實是一件非常可惜的事情
[00:01:11.960 --> 00:01:17.680]  因為事實上舊約的先知書是有不同時代的背景
[00:01:17.680 --> 00:01:19.800]  而因著這些背景
[00:01:19.800 --> 00:01:23.880]  每一卷都有不同的重點 有不同的特色
[00:01:23.880 --> 00:01:28.800]  有一些書卷更加是有一些與別不同的內容
[00:01:29.400 --> 00:01:32.520]  而我們今天所讀的河西亞書第一章
[00:01:32.520 --> 00:01:35.760]  正正就是非常特別的一章
[00:01:35.760 --> 00:01:39.720]  無論是當中神對先知的吩咐也好
[00:01:39.720 --> 00:01:42.440]  其中所呈現的神學也好
[00:01:42.440 --> 00:01:45.800]  與其他的先知書都非常不同
[00:01:45.800 --> 00:01:51.120]  所以今天希望透過和大家一起來詳細看這一章的經文
[00:01:51.120 --> 00:01:53.320]  我們了解它的訊息
[00:01:53.320 --> 00:01:57.680]  也明白與我們今天基督徒有什麼關係
[00:01:58.320 --> 00:02:00.880]  我們先看看這卷書的背景
[00:02:00.880 --> 00:02:03.240]  剛才我們讀了一章一節
[00:02:03.240 --> 00:02:04.000]  經文說
[00:02:04.000 --> 00:02:20.640]  這個是整卷書的標題語
[00:02:20.640 --> 00:02:25.280]  告訴我們先知侍奉的年代和地點
[00:02:26.320 --> 00:02:29.880]  經文裡說到約亞斯的兒子耶羅波安
[00:02:29.880 --> 00:02:32.320]  是指耶羅波安二世
[00:02:32.320 --> 00:02:38.920]  而河西亞就是在他在位的年間作以色列國的先知
[00:02:38.920 --> 00:02:43.320]  那個時候是以色列國力最強盛
[00:02:43.320 --> 00:02:45.840]  經濟最繁榮的時代
[00:02:45.840 --> 00:02:50.720]  可惜之後他們的敵人厄述強大起來
[00:02:50.720 --> 00:02:54.480]  而以色列也因此由盛轉衰
[00:02:55.520 --> 00:02:58.440]  在希西加作猶大王的年間
[00:02:58.440 --> 00:03:01.120]  以色列就被亞述所滅了
[00:03:01.120 --> 00:03:03.120]  換句話說
[00:03:03.120 --> 00:03:10.920]  河西亞先知其實是經歷了北角最後幾十年最動盪的日子
[00:03:10.920 --> 00:03:16.800]  他親眼目睹了自己的國家由繁榮走向滅亡
[00:03:16.800 --> 00:03:21.840]  而在這個時候他被神呼召作為先知
[00:03:22.960 --> 00:03:26.040]  而在一般的先知書的內容裡
[00:03:26.040 --> 00:03:29.200]  每逢神來到向先知說話
[00:03:29.200 --> 00:03:34.800]  大多數的情況都是要先知作為神的代言人
[00:03:34.800 --> 00:03:38.640]  將這些說話說給以色列人聽
[00:03:38.640 --> 00:03:42.360]  所以很多時候先知書裡我們會見到
[00:03:42.360 --> 00:03:47.520]  說耶和華的話是臨到猶大或者是以色列
[00:03:47.520 --> 00:03:50.760]  又或者直接說是以色列
[00:03:51.200 --> 00:03:54.800]  然後說完之後就說這是耶和華說的
[00:03:54.800 --> 00:03:57.360]  在這些情況裡
[00:03:57.360 --> 00:04:01.720]  先知的角色有一點像一個傳聲筒
[00:04:01.720 --> 00:04:06.560]  將他從神所領受的說話轉達給神的指紋
[00:04:06.560 --> 00:04:09.600]  但是在河西亞書第一章
[00:04:09.600 --> 00:04:12.000]  卻是非常少有的
[00:04:12.000 --> 00:04:16.800]  將焦點放在先知和他的家庭身上
[00:04:16.800 --> 00:04:19.200]  在一章第二節裡
[00:04:19.440 --> 00:04:23.760]  當《經文記載》耶和華初次向河西亞說話
[00:04:23.760 --> 00:04:25.200]  神是跟他說
