
[00:00:00.000 --> 00:00:03.680]  請問各位親愛的弟兄姐妹
[00:00:03.680 --> 00:00:04.800]  親愛的來賓
[00:00:04.800 --> 00:00:11.400]  歡迎來到中大的衝擊禮拜堂
[00:00:11.400 --> 00:00:15.000]  今天來到這裏大家經過風雨
[00:00:15.000 --> 00:00:17.000]  我想起聖經一句話
[00:00:17.000 --> 00:00:19.120]  我們經過水火
[00:00:19.120 --> 00:00:21.520]  它卻帶我們到豐富之地
[00:00:21.520 --> 00:00:25.040]  今天坐在這裏
[00:00:25.040 --> 00:00:27.600]  我想起坐在美麗的衝擊教堂上
[00:00:27.600 --> 00:00:30.000]  以賽亞書裏面說的一句話
[00:00:30.000 --> 00:00:31.440]  天是我的座位
[00:00:31.440 --> 00:00:33.320]  地是我的腳凳
[00:00:33.320 --> 00:00:35.720]  我們衝擊的教堂還這麼好
[00:00:35.720 --> 00:00:37.560]  在這裏可以來敬拜我們的上帝
[00:00:37.560 --> 00:00:40.680]  看到美麗的馬鞍山
[00:00:40.680 --> 00:00:44.680]  希望大家還可以看到雲上有太陽
[00:00:44.680 --> 00:00:46.160]  感謝主
[00:00:46.160 --> 00:00:47.240]  我也非常高興
[00:00:47.240 --> 00:00:51.040]  今天在這裏有機會來宣講神的話語
[00:00:51.040 --> 00:00:55.800]  我的題目是使徒保羅和他的使命人生
[00:00:55.800 --> 00:00:57.880]  我想大家對保羅
[00:00:57.880 --> 00:01:00.400]  如果在主內時間長的話
[00:01:00.400 --> 00:01:01.120]  應該不陌生
[00:01:01.120 --> 00:01:02.880]  是一個什麼樣的人物
[00:01:02.880 --> 00:01:08.000]  他對自己也有一個非常簡要的介紹
[00:01:08.000 --> 00:01:11.520]  在菲利比書三章五到六節
[00:01:11.520 --> 00:01:12.760]  他這樣對自己一個介紹
[00:01:12.760 --> 00:01:15.760]  他說我是第八天受隔離
[00:01:15.760 --> 00:01:18.760]  是以色列族邊壓敏之派的人
[00:01:18.760 --> 00:01:21.920]  是喜不來人所生的喜不來人
[00:01:21.920 --> 00:01:24.840]  就律法來說是法利塞人
[00:01:24.840 --> 00:01:28.160]  就熱心來說是逼迫教會的
[00:01:28.160 --> 00:01:33.880]  就律法上的義來說是無可指責的
[00:01:33.880 --> 00:01:37.520]  我們從這樣一個自我介紹來看
[00:01:37.520 --> 00:01:43.680]  保羅似乎在形容自己的人生上半場是完美無缺
[00:01:43.680 --> 00:01:45.760]  almost perfect
[00:01:45.760 --> 00:01:48.240]  但緊接着保羅的話風卻一轉
[00:01:48.240 --> 00:01:49.040]  他又說
[00:01:49.040 --> 00:01:52.280]  這是我先前欲爲我有義的
[00:01:52.280 --> 00:01:56.760]  我現在因基督都當作有損的
[00:01:56.760 --> 00:01:58.000]  不但如此
[00:01:58.000 --> 00:02:00.440]  我也將萬事當作有損的
[00:02:00.440 --> 00:02:04.640]  因我已認識我主基督耶穌爲至寶
[00:02:04.640 --> 00:02:07.080]  我爲他已經丟棄萬事
[00:02:07.080 --> 00:02:08.600]  看作憤途
[00:02:08.600 --> 00:02:11.360]  未要得到基督
[00:02:11.360 --> 00:02:12.320]  這樣一個對比
[00:02:12.320 --> 00:02:15.200]  我們來看一下究竟發生了什麼事
[00:02:15.200 --> 00:02:17.080]  導致了保羅他的生命
[00:02:17.080 --> 00:02:23.200]  以及他的職業生涯的career path有這樣一個變化
[00:02:23.200 --> 00:02:25.680]  保羅原名掃羅
[00:02:25.680 --> 00:02:29.280]  出生長大在羅馬的太平盛世
[00:02:29.280 --> 00:02:30.920]  我們用Pax Romana
[00:02:30.920 --> 00:02:33.640]  他雖是猶太人
[00:02:33.640 --> 00:02:36.040]  卻享有羅馬公民的身份
[00:02:36.040 --> 00:02:40.800]  他出生在羅馬帝國基地迦省的大蜀
[00:02:40.800 --> 00:02:43.680]  長在耶路撒冷城
[00:02:43.680 --> 00:02:48.240]  並在嚴謹的律法師拉比·加瑪列門下受教
[00:02:48.240 --> 00:02:52.520]  按照今天的話說
[00:02:52.520 --> 00:02:55.920]  保羅也算的是出生名門
[00:02:55.920 --> 00:02:57.200]  就讀名校
[00:02:57.200 --> 00:02:58.920]  像我們的St Paul在香港
[00:02:58.920 --> 00:03:00.800]  前程似錦
[00:03:00.800 --> 00:03:04.920]  He seems to have a secured future
[00:03:04.920 --> 00:03:08.000]  and on the right track to a successful career path
[00:03:08.000 --> 00:03:12.480]  這麼好的一個前程似錦
[00:03:12.480 --> 00:03:14.920]  結果發生什麼事情
[00:03:14.920 --> 00:03:19.480]  讓保羅從一個法學院的畢業生
[00:03:19.480 --> 00:03:21.480]  最好的迦瑪列門下受教的
[00:03:21.480 --> 00:03:25.440]  嚴謹的法利塞人的律法師名下受教
[00:03:25.440 --> 00:03:27.680]  他畢業之後也很好的一個實習機會
[00:03:27.680 --> 00:03:29.280]  一個internship
[00:03:29.280 --> 00:03:29.960]  有一天
[00:03:29.960 --> 00:03:32.000]  在耶路撒冷的工會里面
[00:03:32.000 --> 00:03:34.520]  在court裏面幫助一些證人在看衣服
[00:03:34.520 --> 00:03:38.600]  並親眼目睹了第一個叛教者
[00:03:39.800 --> 00:03:43.520]  我們今天的是我們的殉道者Steven
[00:03:43.520 --> 00:03:46.040]  他被衆人打死
[00:03:46.040 --> 00:03:47.640]  事實上英文說
[00:03:47.640 --> 00:03:51.120]  Actually he proved of their killing of Steven
[00:03:51.120 --> 00:03:54.680]  他是批准同意
