
[00:00:00.000 --> 00:00:02.000]  路加福音第十三章
[00:00:02.000 --> 00:00:04.000]  三十一至三十五節這個片段
[00:00:04.000 --> 00:00:06.000]  這個段落
[00:00:06.000 --> 00:00:08.000]  是十三章的結束部分
[00:00:08.000 --> 00:00:10.000]  在這個部分裡面
[00:00:10.000 --> 00:00:12.000]  經文是延續著
[00:00:12.000 --> 00:00:14.000]  之前上一個段落
[00:00:14.000 --> 00:00:16.000]  說明傳道提到的
[00:00:16.000 --> 00:00:20.000]  在耶路撒冷的旅程當中
[00:00:20.000 --> 00:00:22.000]  耶穌提醒
[00:00:22.000 --> 00:00:24.000]  祂的百姓
[00:00:24.000 --> 00:00:26.000]  的一番警告說話
[00:00:26.000 --> 00:00:28.000]  今天我會嘗試從
[00:00:28.000 --> 00:00:30.000]  在這段經文裡面
[00:00:30.000 --> 00:00:32.000]  從耶穌的宣講
[00:00:32.000 --> 00:00:34.000]  祂的言論
[00:00:34.000 --> 00:00:36.000]  去明白祂的
[00:00:36.000 --> 00:00:38.000]  侍奉的心智
[00:00:38.000 --> 00:00:40.000]  讓這份心智都成為
[00:00:40.000 --> 00:00:42.000]  我們今天的鼓勵
[00:00:42.000 --> 00:00:44.000]  願聖靈親自引導我們
[00:00:44.000 --> 00:00:46.000]  讓我們同心禱告
[00:00:46.000 --> 00:00:48.000]  作為願你的說話
[00:00:48.000 --> 00:00:50.000]  成為我們腳前的燈
[00:00:50.000 --> 00:00:52.000]  路上的光
[00:00:52.000 --> 00:00:54.000]  更加願意聖靈帶領我們
[00:00:54.000 --> 00:00:58.000]  更好的被你啟發
[00:00:58.000 --> 00:01:00.000]  被你激勵
[00:01:00.000 --> 00:01:02.000]  更好的去踐行
[00:01:02.000 --> 00:01:04.000]  上主的真理
[00:01:04.000 --> 00:01:06.000]  榮耀主的名
[00:01:06.000 --> 00:01:08.000]  讓我們稍後的時間
[00:01:08.000 --> 00:01:10.000]  加在你手裡
[00:01:10.000 --> 00:01:12.000]  求你引導看顧
[00:01:12.000 --> 00:01:14.000]  奉主耶穌聖名祈求
[00:01:14.000 --> 00:01:16.000]  阿們
[00:01:16.000 --> 00:01:18.000]  今天我會從這段經文
