
[00:00:00.000 --> 00:00:07.000]  各位早晨,非常歡喜今早又跟大家一起享受一段崇拜的時刻
[00:00:07.000 --> 00:00:10.000]  今日我選讀的經文,大家都非常熟的
[00:00:10.000 --> 00:00:17.000]  而且在聖經當中,耶穌很少這麼詳盡的解釋祂的比喻
[00:00:17.000 --> 00:00:21.000]  大家知道在福音書裏面,耶穌教訓人的時候
[00:00:21.000 --> 00:00:24.000]  常常是用比喻來表達
[00:00:24.000 --> 00:00:31.000]  耶穌用比喻的目的就是將深奧天國的奧秘
[00:00:31.000 --> 00:00:35.000]  以一個淺易的方法,深入淺出的
[00:00:35.000 --> 00:00:41.000]  將人人都了解的生活經驗,生活化的表達出來
[00:00:41.000 --> 00:00:48.000]  使人內心發生共鳴,進而接受福音,悔改更新
[00:00:48.000 --> 00:00:52.000]  內在的生命發生變化,成為一個新造的人
[00:00:52.000 --> 00:00:56.000]  享受主所應許的豐盛人生
[00:00:56.000 --> 00:01:02.000]  同樣相反的,有很多時候我們讀就讀不明白
[00:01:02.000 --> 00:01:10.000]  聽又聽不懂,結果我們可以說是水過鴨背,聽了就算數
[00:01:10.000 --> 00:01:15.000]  有人說耶穌的教訓之所以使人難忘
[00:01:15.000 --> 00:01:20.000]  並且在門徒能夠詳細記載在福音書上面
[00:01:20.000 --> 00:01:25.000]  老實說,現在的四五福音書都是門徒聽了耶穌所講的
[00:01:25.000 --> 00:01:27.000]  然後寫出來
[00:01:27.000 --> 00:01:31.000]  換句話來說,祂成為不老的生命之道
[00:01:31.000 --> 00:01:37.000]  最大的原因就是耶穌懂得怎樣用比喻
[00:01:37.000 --> 00:01:42.000]  耶穌的比喻可以說是萬古常新
[00:01:42.000 --> 00:01:48.000]  適合任何時代,任何願意悔改更新的人
[00:01:48.000 --> 00:01:53.000]  最大的原因就是祂把宣講的生命之道
[00:01:53.000 --> 00:01:57.000]  同時又宣講生活之道
[00:01:57.000 --> 00:02:04.000]  生命之道就是實質,生活之道就是表達的方法
[00:02:04.000 --> 00:02:07.000]  將生命之道生活化
[00:02:07.000 --> 00:02:15.000]  將生命主的內涵,即人生所遭遇的事物
[00:02:15.000 --> 00:02:19.000]  將神的話活生生地表達出來
[00:02:19.000 --> 00:02:23.000]  宣講、宣導、講道
[00:02:23.000 --> 00:02:26.000]  實在不是一件簡單的事
[00:02:26.000 --> 00:02:29.000]  今天講道最大的難題是什麼呢?
[00:02:29.000 --> 00:02:32.000]  就是我們只講生命之道
[00:02:32.000 --> 00:02:35.000]  但忽略了生活之道
[00:02:35.000 --> 00:02:38.000]  造成了一個現象
[00:02:38.000 --> 00:02:42.000]  就是對福音望而生畏
[00:02:42.000 --> 00:02:44.000]  最後拒之千里
[00:02:44.000 --> 00:02:46.000]  大家都知道
[00:02:46.000 --> 00:02:48.000]  現在我們有個術語說
[00:02:48.000 --> 00:02:50.000]  「講耶穌咩」
[00:02:50.000 --> 00:02:58.000]  「講耶穌咩」成為現在市井流行的一些俚語
[00:02:58.000 --> 00:03:00.000]  就是說又長又沉
[00:03:00.000 --> 00:03:02.000]  睡了都不知道
[00:03:02.000 --> 00:03:06.000]  或者說又在我面前講道理
[00:03:06.000 --> 00:03:10.000]  今天其實我們有形無形之間
[00:03:10.000 --> 00:03:14.000]  表達了一種我們明白,別人不明白
[00:03:14.000 --> 00:03:17.000]  或者自己都不明白而講給別人聽
[00:03:17.000 --> 00:03:20.000]  似明非明,實在不明
[00:03:20.000 --> 00:03:24.000]  這一種我們生命的信息
[00:03:24.000 --> 00:03:30.000]  其實我們基督教的信仰是很實在的
[00:03:30.000 --> 00:03:32.000]  是有生命的
[00:03:32.000 --> 00:03:34.000]  我自己經常都想
[00:03:34.000 --> 00:03:37.000]  耶穌基督來世上已經有二千年了
[00:03:37.000 --> 00:03:44.000]  但是為什麼現在仍然是在社會上一小群呢?
[00:03:44.000 --> 00:03:45.000]  我們基督徒
[00:03:45.000 --> 00:03:48.000]  你知不知道現在香港有多少基督徒?
[00:03:48.000 --> 00:03:56.000]  其實香港是有差不多將近八百萬的人口
[00:03:56.000 --> 00:04:00.000]  但是我們實實在在連同天主教
[00:04:00.000 --> 00:04:03.000]  是每個禮拜去教會的
[00:04:03.000 --> 00:04:07.000]  報告說是統計人數有五十萬
[00:04:07.000 --> 00:04:11.000]  但其實如果你真的去做禮拜有多少呢?
[00:04:11.000 --> 00:04:13.000]  那個數目更加少
[00:04:13.000 --> 00:04:17.000]  就是說在香港這個地方
[00:04:17.000 --> 00:04:21.000]  我們基督徒是小群來的
[00:04:21.000 --> 00:04:23.000]  在世界各地
[00:04:23.000 --> 00:04:25.000]  有時候我們去到的時候
[00:04:25.000 --> 00:04:29.000]  發現到我們人數是少
[00:04:29.000 --> 00:04:32.000]  我上個月去到溫州
[00:04:32.000 --> 00:04:34.000]  我很驚訝
[00:04:34.000 --> 00:04:37.000]  他們有三分之一的人口
[00:04:37.000 --> 00:04:41.000]  有二百多萬是基督徒
[00:04:41.000 --> 00:04:45.000]  我真的很感動
[00:04:45.000 --> 00:04:48.000]  原來是很多年前
[00:04:48.000 --> 00:04:52.000]  基督教的宣教士去到溫州的地方傳道
[00:04:52.000 --> 00:04:55.000]  但是香港現在有多少呢?
[00:04:55.000 --> 00:04:57.000]  其實這個我是值得慚愧的
[00:04:57.000 --> 00:04:58.000]  為什麼?
[00:04:58.000 --> 00:05:00.000]  因為我們這麼久
[00:05:00.000 --> 00:05:04.000]  為什麼我們不能夠將福音傳得更加深入
[00:05:04.000 --> 00:05:05.000]  更加廣泛
[00:05:05.000 --> 00:05:07.000]  更多人信耶穌呢?
[00:05:07.000 --> 00:05:10.000]  其實我們研究
[00:05:10.000 --> 00:05:14.000]  可能我們教會的傳道方法有問題
[00:05:14.000 --> 00:05:18.000]  可能我們的教會的生活沒有影響
[00:05:18.000 --> 00:05:21.000]  可能我們基督徒的信仰的表現
[00:05:21.000 --> 00:05:25.000]  沒有人能夠將耶穌的生命之道
[00:05:25.000 --> 00:05:27.000]  表現得更加活潑
[00:05:27.000 --> 00:05:30.000]  或者可能有個原因
[00:05:30.000 --> 00:05:35.000]  就是我們太多宗教八股了
[00:05:35.000 --> 00:05:37.000]  我們太多術語了
[00:05:37.000 --> 00:05:39.000]  你知不知道我們很多術語的
[00:05:39.000 --> 00:05:41.000]  信耶穌得永生
[00:05:41.000 --> 00:05:42.000]  那些人說
[00:05:42.000 --> 00:05:43.000]  我為什麼這麼急呢?
[00:05:43.000 --> 00:05:45.000]  等我最後一個分鐘才去就對了
[00:05:45.000 --> 00:05:49.000]  永生就很多人以為就是這樣了
[00:05:49.000 --> 00:05:50.000]  特別是年輕人
[00:05:50.000 --> 00:05:52.000]  我們現在先享受一下
[00:05:52.000 --> 00:05:54.000]  等到最後一個分鐘我才去
[00:05:54.000 --> 00:05:56.000]  其實永生的意思是什麼呢?
[00:05:56.000 --> 00:05:58.000]  就是屬於神的生命
[00:05:58.000 --> 00:06:01.000]  但我們有時候就接受了
[00:06:01.000 --> 00:06:03.000]  得救
[00:06:03.000 --> 00:06:04.000]  當信主耶穌
[00:06:04.000 --> 00:06:05.000]  你和你一家都得救
[00:06:05.000 --> 00:06:06.000]  我為什麼要得救呢?
[00:06:06.000 --> 00:06:07.000]  我死定了
[00:06:07.000 --> 00:06:09.000]  很多人都誤會了
[00:06:09.000 --> 00:06:11.000]  為什麼我們用這些術語呢?
[00:06:11.000 --> 00:06:12.000]  或者說
[00:06:12.000 --> 00:06:14.000]  「清義成聖」
[00:06:14.000 --> 00:06:17.000]  或者說「恩順清義」
[00:06:17.000 --> 00:06:19.000]  最近辯論「恩順清義」之後
[00:06:19.000 --> 00:06:21.000]  「恩順誠義」等等的問題
[00:06:21.000 --> 00:06:25.000]  我們都是很多一大套的宗教的術語
[00:06:25.000 --> 00:06:31.000]  可能這些術語成為人的絆腳石
[00:06:31.000 --> 00:06:32.000]  是不是?
[00:06:32.000 --> 00:06:35.000]  所以我自己個人
[00:06:35.000 --> 00:06:37.000]  講道
[00:06:37.000 --> 00:06:41.000]  我常常很少用這些術語
