
[00:00:00.000 --> 00:00:05.480]  早晨,很高興和大家一起讀神的話語
[00:00:05.480 --> 00:00:08.880]  我們今天會繼續來希美的講道系列
[00:00:08.880 --> 00:00:11.160]  今天我們會講到第四章
[00:00:11.160 --> 00:00:15.560]  我們主要來看看如何處理攻擊
[00:00:15.560 --> 00:00:18.080]  我們凡是服侍神的人
[00:00:18.080 --> 00:00:24.600]  都要處理很多來自敵人的攻擊和阻擋
[00:00:24.600 --> 00:00:26.760]  分兩點和大家分享
[00:00:26.760 --> 00:00:33.600]  第一點,我們先講講敵人阻擋神的工作方式是什麼
[00:00:33.600 --> 00:00:36.840]  如果你想參與神的工作
[00:00:36.840 --> 00:00:39.240]  無論是建堂、服侍
[00:00:39.240 --> 00:00:43.080]  還是你只是想很認真地做一個基督徒去追求神
[00:00:43.080 --> 00:00:44.640]  追求靈明的成長
[00:00:44.640 --> 00:00:47.520]  都會遇到很多的阻礙或者攻擊
[00:00:47.520 --> 00:00:53.320]  我們先要明白這些攻擊通常用什麼方法
[00:00:53.320 --> 00:00:58.440]  記得十幾年前剛剛來會點的時候
[00:00:58.440 --> 00:01:02.320]  當時會點教會只有一個課堂
[00:01:02.320 --> 00:01:05.000]  也沒有國語敬拜,只有粵語
[00:01:05.000 --> 00:01:06.800]  有英文的youth
[00:01:06.800 --> 00:01:12.720]  來了之後,我們就說不如開一個國語的敬拜
[00:01:12.720 --> 00:01:16.000]  於是我們就籌備了一段時間
[00:01:16.000 --> 00:01:18.720]  也招募了一些play team
[00:01:18.720 --> 00:01:20.160]  我們訓練了一段時間
[00:01:20.160 --> 00:01:25.440]  打算第一次在會點教會有一個國語的敬拜
[00:01:25.440 --> 00:01:26.840]  我們都預備好了
[00:01:26.840 --> 00:01:29.480]  我們就打了廣告
[00:01:29.480 --> 00:01:33.360]  叫鄭幸芝妹身邊有國語的朋友就邀請她回來
[00:01:33.360 --> 00:01:34.320]  就搞定了
[00:01:34.320 --> 00:01:40.200]  很記得那天第一次我們開始有國語敬拜的主日的時候
[00:01:40.200 --> 00:01:45.560]  那天上午彈bass guitar的那個一早起床
[00:01:45.560 --> 00:01:48.760]  garage door就爛了,開不了
[00:01:48.760 --> 00:01:50.400]  就打電話來,為什麼?
[00:01:50.400 --> 00:01:53.440]  就冒著冷汗,就說有什麼辦法
[00:01:53.440 --> 00:01:55.160]  找些什麼撬開它
[00:01:55.160 --> 00:01:58.040]  就搞了一輪,撬開了,終於來
[00:01:58.040 --> 00:01:59.760]  就遲到了
[00:01:59.760 --> 00:02:04.480]  彈keyboard和彈guitar的那個就一起carpool來
[00:02:04.480 --> 00:02:08.080]  carpool來就已經轉到進來我們的parking lot
[00:02:08.080 --> 00:02:09.640]  就聽到後面
[00:02:09.640 --> 00:02:12.240]  就被警車攔了下來,開了一張罰單
[00:02:12.240 --> 00:02:14.920]  開了一張罰單又拖了二十幾分鐘
[00:02:14.920 --> 00:02:16.520]  又遲到了
[00:02:16.520 --> 00:02:20.840]  那個領唱那個就忘了調鬧鐘
[00:02:20.840 --> 00:02:22.720]  他又遲到了
[00:02:22.720 --> 00:02:26.520]  所以到了時間要開敬拜的時候
[00:02:26.520 --> 00:02:28.120]  playzim一個人都沒有
[00:02:28.120 --> 00:02:29.960]  你說神不神奇呢?
[00:02:29.960 --> 00:02:31.880]  那怎麼辦呢?
[00:02:31.880 --> 00:02:35.560]  終於大家都遲了十分鐘才開始
[00:02:35.560 --> 00:02:37.200]  終於都開始趕上來
[00:02:37.200 --> 00:02:42.800]  那個吉他和彈keyboard的那個就忘了帶譜
[00:02:42.800 --> 00:02:46.360]  領唱那個就說我把譜給你用
[00:02:46.360 --> 00:02:49.280]  我就在後面projector看歌詞就可以了
[00:02:49.280 --> 00:02:52.800]  誰知道敬拜一開始後面的projector又燒了
[00:02:52.800 --> 00:02:57.120]  所以你能夠想像到的事情都同一時間發生
[00:02:57.120 --> 00:03:01.720]  所有你去直堂也好,你去宣家也好
[00:03:01.720 --> 00:03:03.200]  呼音工作
[00:03:03.200 --> 00:03:06.560]  其實你都會面對很多的難阻
[00:03:06.560 --> 00:03:07.920]  我記得有一年
[00:03:07.920 --> 00:03:09.480]  詹牧師也有分享過
[00:03:09.480 --> 00:03:13.800]  就是他有一些大project在教會實行的時候
[00:03:13.800 --> 00:03:16.040]  他家裡都是不停撞車
[00:03:16.040 --> 00:03:17.760]  他的車撞了,師母的車撞了
[00:03:17.760 --> 00:03:19.240]  兒子的車撞了
[00:03:19.240 --> 00:03:21.840]  然後兒子的老婆的車撞了
[00:03:21.840 --> 00:03:25.840]  一年間連撞六七輛車
[00:03:25.840 --> 00:03:27.640]  撞一輛車叫做意外
[00:03:27.640 --> 00:03:30.400]  連續撞六七輛就不是意外
[00:03:30.400 --> 00:03:32.600]  證明有人在搞你
[00:03:32.600 --> 00:03:34.480]  當你去服侍神的時候
[00:03:34.480 --> 00:03:37.120]  你要期望一定會有attack
[00:03:37.120 --> 00:03:39.320]  一定會遇到一些敵人的阻礙
[00:03:39.320 --> 00:03:40.720]  敵人的攻擊
[00:03:40.720 --> 00:03:42.600]  今天我們來看看
[00:03:42.600 --> 00:03:44.160]  黎熙美也不例外
[00:03:44.160 --> 00:03:46.360]  當她要參與神的工作
[00:03:46.360 --> 00:03:50.240]  從書山城到耶路撒冷
[00:03:50.240 --> 00:03:54.680]  要完成重建耶路撒冷城牆
[00:03:54.680 --> 00:03:57.160]  當時猶太人回到耶路撒冷
[00:03:57.160 --> 00:04:00.080]  其實已經建立了聖殿
[00:04:00.080 --> 00:04:02.080]  城牆還沒有重建
[00:04:02.080 --> 00:04:03.880]  所以一片廢墟
[00:04:03.880 --> 00:04:08.160]  所以建立了城牆就完成了最後一步
[00:04:08.160 --> 00:04:11.040]  就是整個重建的工作就完成
[00:04:11.040 --> 00:04:12.360]  所以她是一個員工的人
[00:04:12.360 --> 00:04:14.120]  所以就派黎熙美
[00:04:14.120 --> 00:04:16.840]  黎熙美進入耶路撒冷
[00:04:16.840 --> 00:04:19.680]  她就發覺遇到一些攻擊
[00:04:19.680 --> 00:04:22.240]  今天我們來看看攻擊的方法是什麼
[00:04:22.240 --> 00:04:26.040]  根據第一個就是憤怒
[00:04:26.040 --> 00:04:28.800]  在黎熙美的四章一節說
[00:04:28.800 --> 00:04:31.240]  參巴拉聽見我們猶太人
[00:04:31.240 --> 00:04:34.400]  已經開始重建城牆
[00:04:34.400 --> 00:04:36.640]  就非常生氣
[00:04:36.640 --> 00:04:39.040]  並且嘲笑我們
[00:04:39.040 --> 00:04:40.360]  參巴拉是誰呢
[00:04:40.360 --> 00:04:42.640]  他是猶太省的省長
[00:04:42.640 --> 00:04:45.400]  就是今天的省委書記
[00:04:45.400 --> 00:04:47.040]  他就很憤怒
[00:04:47.040 --> 00:04:48.600]  他有幾股勢力
[00:04:48.600 --> 00:04:50.520]  所以黎熙美進入耶路撒冷
[00:04:50.520 --> 00:04:53.400]  她經過一段時間的考察
[00:04:53.400 --> 00:04:57.880]  她發覺當你開始重建城牆的時候
[00:04:57.880 --> 00:04:59.920]  你會遇到一些阻擋的勢力
[00:04:59.920 --> 00:05:01.640]  其中一個就是參巴拉
[00:05:01.640 --> 00:05:03.680]  另外一股勢力
[00:05:03.680 --> 00:05:05.680]  就是來自一個人
[00:05:05.680 --> 00:05:09.360]  下面會說的就是托比亞
[00:05:09.360 --> 00:05:11.080]  托比亞翻譯成
[00:05:11.080 --> 00:05:14.160]  這個人是沒有官職的
[00:05:14.160 --> 00:05:17.160]  但是根據後面的經文所說
[00:05:17.160 --> 00:05:21.000]  是當地一個非常有影響力的人
[00:05:21.000 --> 00:05:23.680]  應該是一個生意人
[00:05:23.680 --> 00:05:25.160]  一個大戶人家
[00:05:25.160 --> 00:05:27.080]  家裡車水馬龍
[00:05:27.080 --> 00:05:31.000]  沒有官職但很有影響力
[00:05:31.000 --> 00:05:33.320]  我當年剛剛來會點的時候
[00:05:33.320 --> 00:05:35.120]  第一次入團契
[00:05:35.120 --> 00:05:36.880]  有個人出來跟我說
[00:05:36.880 --> 00:05:38.760]  我在這個團契沒有任何官職
[00:05:38.760 --> 00:05:41.600]  我又不是團長又不是call group
[00:05:41.600 --> 00:05:44.400]  不過我是這個團的精神領袖
[00:05:44.400 --> 00:05:46.840]  心想這個人很囂張
[00:05:46.840 --> 00:05:50.120]  托比亞沒有官職
[00:05:50.120 --> 00:05:52.240]  但是他是一個民營企業家
[00:05:52.240 --> 00:05:54.000]  很有影響力
[00:05:54.000 --> 00:05:57.320]  所以參巴拉和這個民營企業家
[00:05:57.320 --> 00:05:59.240]  結成了一個聯盟
[00:05:59.240 --> 00:06:00.440]  還有一股勢力
[00:06:00.440 --> 00:06:02.600]  後面的經文還有說
[00:06:02.600 --> 00:06:04.720]  猶大省周邊
[00:06:04.720 --> 00:06:07.880]  原來有一些叫做游牧民族
