
[00:00:00.000 --> 00:00:02.400]  今天我們又藉著聆聽神的話語
[00:00:02.400 --> 00:00:04.240]  繼續去敬拜上帝
[00:00:04.240 --> 00:00:07.360]  剛才詩歌有說到
[00:00:07.360 --> 00:00:10.040]  每一天我們都可以經歷主
[00:00:10.040 --> 00:00:14.120]  因為神的救恩我們已經得著
[00:00:14.120 --> 00:00:16.000]  救恩的果效
[00:00:16.000 --> 00:00:17.200]  救恩的能力
[00:00:17.200 --> 00:00:21.560]  一直托著、帶領著
[00:00:21.560 --> 00:00:25.480]  影響著我們今天每一個時刻
[00:00:25.480 --> 00:00:27.840]  讓我們今天來到神面前
[00:00:28.400 --> 00:00:30.560]  讓我們用謙卑的心
[00:00:30.560 --> 00:00:32.680]  讓我們有受教的心
[00:00:32.680 --> 00:00:34.880]  去領受神的話語
[00:00:34.880 --> 00:00:40.680]  我們想請領事的阿師姐妹
[00:00:40.680 --> 00:00:42.680]  幫我們讀今天的經文
[00:00:42.680 --> 00:00:46.920]  我們先讀後面
[00:00:46.920 --> 00:00:51.040]  讀羅馬書二十八章的十一到十六節
[00:00:51.040 --> 00:00:55.160]  羅馬書的十一到十六節
[00:00:56.080 --> 00:01:00.400]  找到的話,請會眾或者在家中
[00:01:00.400 --> 00:01:02.800]  可以看到聖經
[00:01:02.800 --> 00:01:05.840]  或者你自己可以輕聲讀出
[00:01:05.840 --> 00:01:07.800]  好,預備起
[00:01:07.800 --> 00:01:09.800]  指南卷
[00:01:09.800 --> 00:01:10.800]  指南卷,沒錯
[00:01:10.800 --> 00:01:12.640]  去到羅馬了
[00:01:12.640 --> 00:01:16.040]  指南卷二十八章的十一到十六節
[00:01:16.040 --> 00:01:16.920]  謝謝
[00:01:16.920 --> 00:01:18.120]  過了三個月
[00:01:18.120 --> 00:01:21.280]  我們上了亞歷山大的船起航
[00:01:21.280 --> 00:01:24.600]  這船以奏詩箱子為記
[00:01:24.760 --> 00:01:26.880]  是在那海島過冬的
[00:01:26.880 --> 00:01:29.440]  我們到了聚拉谷
[00:01:29.440 --> 00:01:30.960]  停泊了三天
[00:01:30.960 --> 00:01:33.480]  又從那裡起撈開船
[00:01:33.480 --> 00:01:36.280]  來到利基翁
[00:01:36.280 --> 00:01:37.440]  過了一天
