
[00:00:00.000 --> 00:00:02.820]  我們都是這樣長大的
[00:00:02.820 --> 00:00:03.560]  說什麼呢?
[00:00:03.560 --> 00:00:05.320]  很明顯是說原生家庭
[00:00:05.320 --> 00:00:09.280]  問你一個問題
[00:00:09.280 --> 00:00:12.400]  有沒有聽過以前的家庭人說
[00:00:12.400 --> 00:00:15.240]  如果選女婿在哪裡選擇?
[00:00:15.240 --> 00:00:20.700]  是不是黃先生?
[00:00:20.700 --> 00:00:22.760]  應該是吧
[00:00:22.760 --> 00:00:24.280]  都是老一輩的就知道了
[00:00:24.280 --> 00:00:27.640]  選女婿就要在麻將桌選
[00:00:27.640 --> 00:00:28.400]  為什麼呢?
[00:00:28.400 --> 00:00:31.440]  因為一邊打麻將,你還要打他
[00:00:31.440 --> 00:00:33.720]  你看看你打他幾個圈的時候
[00:00:33.720 --> 00:00:36.600]  是否不應該講教會,打麻將不要緊
[00:00:36.600 --> 00:00:39.800]  當你打到差不多,你看看他的反應
[00:00:39.800 --> 00:00:42.480]  你就知道這個男生
[00:00:42.480 --> 00:00:44.800]  人品是怎樣
[00:00:44.800 --> 00:00:46.760]  劉德華說的
[00:00:46.760 --> 00:00:49.640]  人品好,牌品自然好
[00:00:49.640 --> 00:00:51.600]  下一句你自己想想
[00:00:51.600 --> 00:00:52.680]  但我今天想說
[00:00:52.680 --> 00:01:03.160]  反過來,當你選老公或老婆又怎樣選呢?
[00:01:03.160 --> 00:01:04.080]  上網嗎?
[00:01:04.080 --> 00:01:05.080]  只是開玩笑而已
[00:01:05.080 --> 00:01:06.080]  其實都沒問題的
[00:01:06.080 --> 00:01:08.600]  上網認識男生,認識女生
[00:01:08.600 --> 00:01:12.160]  選老公或老婆
[00:01:12.160 --> 00:01:13.080]  我想提醒你
[00:01:13.080 --> 00:01:17.600]  你就最好在見家長的時候選
[00:01:17.600 --> 00:01:19.280]  見家長你不要想著
[00:01:19.280 --> 00:01:21.920]  那個是你人生其中一個大考
[00:01:21.920 --> 00:01:23.840]  好像被人去面試一樣
[00:01:23.840 --> 00:01:25.280]  然後你就坐得很直
[00:01:25.280 --> 00:01:31.800]  好像準備要回答各樣的問題
[00:01:31.800 --> 00:01:32.520]  其實不是的
[00:01:32.520 --> 00:01:35.600]  在那一刻你反而見到他父母
[00:01:35.600 --> 00:01:37.640]  你就要問一件事
[00:01:37.640 --> 00:01:40.680]  你喜歡他父母嗎?
[00:01:40.680 --> 00:01:41.560]  你明白我的意思嗎?
[00:01:41.560 --> 00:01:44.000]  你對他父母有沒有好感?
[00:01:44.000 --> 00:01:47.120]  如果沒有
[00:01:47.120 --> 00:01:48.440]  你都很需要考慮一下
[00:01:48.440 --> 00:01:51.560]  你是不是應該跟他的兒子和女兒繼續拍拖
[00:01:51.560 --> 00:01:55.840]  因為某程度上父母是有很大的影響
[00:01:55.840 --> 00:01:58.040]  對他的兒子和女兒
[00:01:58.040 --> 00:02:00.040]  所以趁著8點26分
[00:02:00.040 --> 00:02:02.760]  我岳母通常有看我們崇拜的
[00:02:02.760 --> 00:02:04.320]  我跟她打個招呼
[00:02:04.320 --> 00:02:09.920]  岳母你好
[00:02:09.920 --> 00:02:12.520]  今天想跟你說的題目是什麼呢?
[00:02:12.520 --> 00:02:16.240]  到底今天的我為什麼會這樣?
[00:02:16.240 --> 00:02:18.720]  今天的我為什麼會是今天的我?
[00:02:18.720 --> 00:02:19.800]  有兩部分
[00:02:19.800 --> 00:02:20.920]  其實最簡單的說
[00:02:20.920 --> 00:02:23.240]  可能因為我們現在都科技先進
[00:02:23.240 --> 00:02:25.320]  我們明白有DNA
[00:02:25.320 --> 00:02:27.280]  有些人的DNA是吃多久都不肥的
[00:02:27.280 --> 00:02:28.920]  你真的奈他不何
[00:02:28.920 --> 00:02:31.080]  有些人喝水都肥的
[00:02:31.080 --> 00:02:32.720]  Wilson上頭了
[00:02:32.720 --> 00:02:35.080]  見到你又夠高多好
[00:02:35.080 --> 00:02:39.760]  另一件事就是後天環境的影響
[00:02:39.760 --> 00:02:41.640]  我不知道你認不認同
[00:02:41.640 --> 00:02:44.360]  我今天會說以薩的故事
[00:02:44.360 --> 00:02:48.920]  這是以薩的一些親戚關係圖
[00:02:48.920 --> 00:02:50.360]  以薩在中間
[00:02:50.360 --> 00:02:51.640]  他老婆叫尼伯加
[00:02:51.640 --> 00:02:52.960]  他爸爸叫阿巴拉罕
[00:02:52.960 --> 00:02:55.840]  媽媽叫薩拉
[00:02:55.840 --> 00:03:00.120]  阿巴拉罕還有一個女人
[00:03:00.120 --> 00:03:01.560]  叫夏甲
[00:03:01.560 --> 00:03:07.120]  他有一個同父異母的哥哥叫以實瑪利
[00:03:07.120 --> 00:03:08.840]  以薩只有兩個小孩
