
[00:00:00.000 --> 00:00:06.000]  今年會用這個主題去分享一系列的訊息
[00:00:06.000 --> 00:00:08.500]  可能六、七篇的訊息
[00:00:08.500 --> 00:00:12.000]  講關於安息日(Sabbath rest)
[00:00:12.000 --> 00:00:14.500]  和我們人生命的轉化
[00:00:14.500 --> 00:00:17.500]  我們求主自己親自的祝福
[00:00:17.500 --> 00:00:18.500]  祂自己的話語
[00:00:18.500 --> 00:00:20.000]  我們低頭祈禱
[00:00:20.000 --> 00:00:21.500]  親愛的天父
[00:00:21.500 --> 00:00:24.500]  這個聖經是祢的話語
[00:00:24.500 --> 00:00:28.000]  孩子不敢隨便解釋祢的話語
[00:00:28.000 --> 00:00:30.000]  我好盼望
[00:00:30.000 --> 00:00:33.000]  當我們正義分解神的話語的時候
[00:00:33.000 --> 00:00:36.000]  你亦都在我們眾弟兄姊妹的心裏面
[00:00:36.000 --> 00:00:37.000]  能夠Echo
[00:00:37.000 --> 00:00:39.000]  能夠阿門
[00:00:39.000 --> 00:00:40.000]  並且在生活裏面
[00:00:40.000 --> 00:00:41.000]  在生命裏面
[00:00:41.000 --> 00:00:43.000]  能夠有更新改變
[00:00:43.000 --> 00:00:44.000]  奉主耶穌名求
[00:00:44.000 --> 00:00:45.000]  Amen
[00:00:45.000 --> 00:00:48.000]  今早我去麥當勞吃東西
[00:00:48.000 --> 00:00:50.000]  有時候我早餐去麥當勞吃東西
[00:00:50.000 --> 00:00:52.000]  我見到不同的人
[00:00:52.000 --> 00:00:54.000]  有些是常客
[00:00:54.000 --> 00:00:57.000]  我是其中一個常客
[00:00:57.000 --> 00:01:00.000]  我比較喜歡麥當勞小小間的
[00:01:00.000 --> 00:01:01.000]  沒有那麼大
[00:01:01.000 --> 00:01:02.000]  Melville那個女人
[00:01:02.000 --> 00:01:03.000]  她改了一個很大間的
[00:01:03.000 --> 00:01:05.000]  我很怕她
[00:01:05.000 --> 00:01:07.000]  我去那些小小間的
[00:01:07.000 --> 00:01:10.000]  座位舒服一點的
