
[00:00:00.000 --> 00:00:05.340]  我早幾天之前就在Facebook問一下那些人
[00:00:05.340 --> 00:00:09.900]  母親節前夕有沒有想起哪一首歌
[00:00:09.900 --> 00:00:14.460]  有少許人回覆一下
[00:00:14.460 --> 00:00:17.500]  我看看記不記得是哪一首歌
[00:00:17.500 --> 00:00:23.300]  有一個就說是《世上只有媽媽好》
[00:00:23.300 --> 00:00:24.700]  我想應該是那首歌
[00:00:24.700 --> 00:00:35.020]  然後有兩個人就說《真的愛你》
[00:00:35.020 --> 00:00:38.220]  《真的愛你》我猜應該是Beyond那首
[00:00:38.220 --> 00:00:40.500]  無法可相識的一對手
[00:00:40.500 --> 00:00:45.860]  然後有一個女生就給了我一首什麼歌名
[00:00:45.860 --> 00:00:47.060]  我真的不認識
[00:00:47.060 --> 00:00:49.340]  但她跟我差不多年紀
[00:00:49.340 --> 00:00:50.460]  我理由不認識
[00:00:50.460 --> 00:00:53.300]  然後她就再寫多幾句
[00:00:53.300 --> 00:00:55.300]  我覺得都挺特別
[00:00:55.300 --> 00:00:57.500]  你呢?你有沒有想起什麼歌?
[00:00:57.500 --> 00:01:01.340]  即是哼起心裏面
[00:01:01.340 --> 00:01:03.260]  可能我都是某些年代的人
[00:01:03.260 --> 00:01:05.380]  我都是想起Beyond那首
[00:01:05.380 --> 00:01:10.140]  還有剛才馮健那首歌唱的那首歌
[00:01:10.140 --> 00:01:17.060]  我覺得都挺深觸到我的心
[00:01:17.060 --> 00:01:22.380]  我不知道你心裏面哼起什麼歌
[00:01:22.380 --> 00:01:23.900]  有人這樣說
[00:01:23.900 --> 00:01:29.140]  他說人與人之間的關係當中
[00:01:29.140 --> 00:01:32.940]  特別講到愛的關係裏面
[00:01:32.940 --> 00:01:39.060]  母愛被認為是最崇高偉大的
[00:01:39.060 --> 00:01:43.940]  也是所有情感關係當中最神聖的
[00:01:43.940 --> 00:01:48.300]  即是母親對子女的愛是最神聖的
[00:01:48.300 --> 00:01:49.980]  為什麼叫神聖?
[00:01:49.980 --> 00:01:53.140]  因為那份愛不是講求回報的
[00:01:53.140 --> 00:01:56.140]  那份愛是捨己的愛
[00:01:56.140 --> 00:01:58.860]  那份愛是無私的
[00:01:58.860 --> 00:02:01.660]  總之聽起來很吸引
[00:02:01.660 --> 00:02:02.780]  如果你經歷過的話
[00:02:02.780 --> 00:02:05.180]  我相信你會認同
[00:02:05.180 --> 00:02:09.060]  但是未經歷過的可能都會想經歷一下
[00:02:09.060 --> 00:02:10.940]  我知道我們的社會
[00:02:10.940 --> 00:02:15.540]  我們每個人的家庭都不同
[00:02:15.540 --> 00:02:18.540]  雖然講到母愛都很偉大
[00:02:18.540 --> 00:02:20.820]  但我相信在我們當中的確有些人
[00:02:20.820 --> 00:02:24.300]  是經歷不到什麼叫母愛
[00:02:24.300 --> 00:02:27.260]  所以有一個人他幾年前的了
[00:02:27.260 --> 00:02:34.060]  我記得他為了想表揚他媽媽對他的愛
[00:02:34.060 --> 00:02:35.380]  還有他的關懷
[00:02:35.380 --> 00:02:36.660]  他很有趣
[00:02:36.660 --> 00:02:38.940]  他就將一件事
[00:02:38.940 --> 00:02:43.220]  即是比較算是前所未有的東西
[00:02:43.220 --> 00:02:47.420]  就放上去一些拍賣的網站拍賣
[00:02:47.420 --> 00:02:51.740]  你猜他拍賣什麼?
[00:02:51.740 --> 00:02:56.180]  他就放上去拍賣一件事
[00:02:56.180 --> 00:03:00.060]  他就將他媽媽寫給他一封電郵
[00:03:00.060 --> 00:03:02.900]  他就拿那個電郵去拍賣
[00:03:02.900 --> 00:03:04.980]  就是近代的電郵
[00:03:04.980 --> 00:03:06.460]  還有媽媽寫給兒子
[00:03:06.460 --> 00:03:09.300]  你們有沒有人寫電郵給兒子的?
[00:03:09.300 --> 00:03:12.140]  或者女兒有沒有?
[00:03:12.140 --> 00:03:17.740]  總之這個人將這封電郵他媽媽寫給他的電郵去拍賣
[00:03:17.740 --> 00:03:23.420]  他在拍賣那個項目那裏他就寫了
[00:03:23.420 --> 00:03:27.700]  他說這封電郵包裹令到你
[00:03:27.700 --> 00:03:29.220]  總之你看到這封電郵
[00:03:29.220 --> 00:03:33.220]  包裹你令到你覺得你是世界上最獨特
[00:03:33.220 --> 00:03:35.940]  最尊貴的人
[00:03:35.940 --> 00:03:42.260]  你猜有沒有人寫電郵呢?
[00:03:42.260 --> 00:03:44.580]  在短短的七天裏面
[00:03:44.580 --> 00:03:53.260]  有足足可以說是坐滿一個大球場這麼多的人
[00:03:53.260 --> 00:03:59.380]  四萬多人次去瀏覽過那個拍賣的選項
[00:03:59.380 --> 00:04:01.820]  有92個人去競投
[00:04:01.820 --> 00:04:02.780]  92個人次
[00:04:02.780 --> 00:04:05.620]  有些人可能被人outbid了就再bid
[00:04:05.620 --> 00:04:08.500]  有92個人次去競投
[00:04:08.500 --> 00:04:14.380]  最後這個電郵一元起價
[00:04:14.380 --> 00:04:18.340]  最後用六百多元的美金來成交
[00:04:18.340 --> 00:04:20.700]  我不知道那六百多元是否值得
