
[00:00:00.000 --> 00:00:03.360]  第一次每位朋友、朋友、街坊
[00:00:03.360 --> 00:00:06.160]  我們所認識的每一位,早安
[00:00:06.160 --> 00:00:07.400]  早安
[00:00:07.400 --> 00:00:08.720]  Good morning, everyone
[00:00:08.720 --> 00:00:11.200]  Good morning, everyone
[00:00:11.200 --> 00:00:14.960]  你知道每次都會問一個問題
[00:00:14.960 --> 00:00:16.360]  今天有兩個問題要問大家
[00:00:16.360 --> 00:00:18.240]  You know that I always start with a question
[00:00:18.240 --> 00:00:19.760]  I have two for you today
[00:00:19.760 --> 00:00:20.960]  如果問了第一個
[00:00:20.960 --> 00:00:22.160]  First question
[00:00:22.160 --> 00:00:23.600]  第二個可以到最後才問
[00:00:23.600 --> 00:00:25.640]  So the second question will come at the end
[00:00:25.640 --> 00:00:27.240]  有沒有人喜歡遊車是我的
[00:00:27.240 --> 00:00:31.120]  Who like just cruising around, sightseeing, driving
[00:00:31.120 --> 00:00:33.160]  你喜歡過遊車還是坐遊車
[00:00:33.160 --> 00:00:35.080]  Cruising around, in the car, driving around
[00:00:35.080 --> 00:00:36.600]  你舉手因為你太忙
[00:00:36.600 --> 00:00:38.800]  Or maybe you don't have your hand up
[00:00:38.800 --> 00:00:40.320]  because maybe you're too busy
[00:00:40.320 --> 00:00:41.960]  或者你家庭生活太豐富了
[00:00:41.960 --> 00:00:44.240]  Maybe you just have too many things with you
[00:00:44.240 --> 00:00:45.480]  或者你根本沒有車
[00:00:45.480 --> 00:00:47.200]  Maybe you don't even have a car
[00:00:47.200 --> 00:00:48.680]  遊車可以是很開心的
[00:00:48.680 --> 00:00:51.040]  But you know, just cruising around is actually fun
[00:00:51.040 --> 00:00:53.600]  在一個小小的世界裏面只有你和我的車
[00:00:53.600 --> 00:00:56.920]  Because in your own very little world, it's just you
[00:00:56.920 --> 00:00:58.720]  在坐著你最喜歡的那杯咖啡
[00:00:58.720 --> 00:01:01.040]  And you're just enjoying the cup of coffee
[00:01:01.040 --> 00:01:02.760]  甚至乎吃著你最喜歡的那個花
[00:01:02.760 --> 00:01:05.600]  Maybe you're eating your favorite bread, fun
[00:01:05.600 --> 00:01:07.920]  總之走得多快也行,多慢也行
[00:01:07.920 --> 00:01:09.800]  And you can drive as fast as you want
[00:01:09.800 --> 00:01:11.360]  Or as slow as you want
[00:01:11.360 --> 00:01:12.280]  隨著紅燈停在這裏
[00:01:12.280 --> 00:01:14.160]  你喜歡轉左也行,轉右也行
