
[00:00:00.000 --> 00:00:03.740]  今天想和大家去選的經文是
[00:00:03.740 --> 00:00:05.740]  「願你列天而降」
[00:00:05.740 --> 00:00:09.360]  其實我們就想追回我們之前
[00:00:09.360 --> 00:00:12.200]  在過去半年差不多有五個月的時間
[00:00:12.200 --> 00:00:13.480]  四個月的時間
[00:00:13.480 --> 00:00:17.180]  我們都是和耶穌的門徒一起
[00:00:17.180 --> 00:00:19.480]  去經歷主耶穌的受難
[00:00:19.480 --> 00:00:21.480]  主耶穌的復活
[00:00:21.480 --> 00:00:22.840]  但是復活之後
[00:00:22.840 --> 00:00:26.340]  主耶穌也都去拆遣祂的聖靈
[00:00:26.340 --> 00:00:28.340]  在祂的門徒當中
[00:00:28.340 --> 00:00:30.340]  以致更多的人
[00:00:30.340 --> 00:00:32.840]  因為聖靈降臨的時候
[00:00:32.840 --> 00:00:35.900]  他們的生命有很大很大的改變
[00:00:35.900 --> 00:00:39.200]  所以今天我們從這個使徒行傳
[00:00:39.200 --> 00:00:42.000]  我們去思想「願你列天而降」
[00:00:42.000 --> 00:00:46.480]  我們願意神繼續去說領我們每一位弟兄姊妹
[00:00:46.480 --> 00:00:49.400]  去看到父神在我們生命裏面的心意
[00:00:49.400 --> 00:00:51.820]  看到父神在教會裏面的心意
[00:00:51.820 --> 00:00:53.820]  所以其實我們很想
[00:00:53.820 --> 00:00:59.140]  就是我們一起在這個星期三晚教會的月土會當中
[00:00:59.140 --> 00:01:00.800]  我們一起去守望
[00:01:00.800 --> 00:01:05.640]  我們一起去等候神繼續引導我們繼續前進
[00:01:05.640 --> 00:01:09.920]  我們也都希望在接下來的講道當中
[00:01:09.920 --> 00:01:11.640]  我們也都不要忘記
[00:01:11.640 --> 00:01:14.840]  過去我們一直都是鼓勵大家
[00:01:14.840 --> 00:01:19.800]  是每天用寧晴日誌去靈修
[00:01:19.800 --> 00:01:22.120]  在接下來的時間我們都很希望
[00:01:22.120 --> 00:01:25.000]  繼續在當中鼓勵弟兄姊妹
[00:01:25.000 --> 00:01:27.000]  如果你真的在靈修裏面
[00:01:27.000 --> 00:01:29.720]  看到神那天對你說的話
[00:01:29.720 --> 00:01:32.760]  是對你有一個很大的影響
[00:01:32.760 --> 00:01:34.440]  很大的鼓舞的時候
[00:01:34.440 --> 00:01:36.700]  我們都會繼續鼓勵弟兄姊妹
[00:01:36.700 --> 00:01:39.060]  繼續分享神的話
[00:01:39.060 --> 00:01:43.400]  怎樣在你的生命裏面繼續帶領我們前進
[00:01:43.400 --> 00:01:47.360]  所以我們都願意天父繼續去保守和引導
[00:01:47.360 --> 00:01:49.880]  想分享的就是過去一個月
