
[00:00:00.000 --> 00:00:06.260]  我們今天講到的內容會是在羅馬書的十二章的內容裏面
[00:00:06.260 --> 00:00:07.780]  以及去到第十三章
[00:00:07.780 --> 00:00:10.540]  我們今天給你一個心理的準備
[00:00:10.540 --> 00:00:13.300]  今天講到的內容會較長
[00:00:13.300 --> 00:00:17.080]  第二 今天講到的內容是敏感
[00:00:17.080 --> 00:00:20.800]  甚至會觸動到某些定睛姐妹的神經線
[00:00:20.800 --> 00:00:24.180]  所以你的神經線有些問題請你坐穩
[00:00:24.180 --> 00:00:26.360]  在羅馬書的十二章
[00:00:26.360 --> 00:00:32.060]  上個禮拜我們提到一個全方位生命的人的生命是怎樣的呢?
[00:00:32.060 --> 00:00:36.740]  我們提到十二章第三節是一條鎖匙
[00:00:36.740 --> 00:00:41.120]  去解開了整個十二章至十六章的一個分段
[00:00:41.120 --> 00:00:45.380]  所以從這個分段裏面
[00:00:45.380 --> 00:00:46.700]  我們就看到
[00:00:46.700 --> 00:00:50.620]  十三章的一個順服掌權者
[00:00:50.620 --> 00:00:53.300]  不是一個獨立的議題
[00:00:53.300 --> 00:01:00.600]  它是在這個不要自棄高大的一個段落裏面的其中討論的一個題目
[00:01:00.600 --> 00:01:01.600]  所以
[00:01:01.600 --> 00:01:04.400]  這樣的分類 這樣的分段的話
[00:01:04.400 --> 00:01:05.900]  我們看法就很不一樣
[00:01:05.900 --> 00:01:06.900]  保羅說
[00:01:06.900 --> 00:01:10.200]  我們要將身體獻上當作活祭的時候
[00:01:10.200 --> 00:01:14.600]  我們必先要有一個健康的自我形象
[00:01:14.600 --> 00:01:16.100]  跟你介紹一下這些姐妹說一聲
[00:01:16.100 --> 00:01:18.460]  你要有一個健康的自我形象
[00:01:20.700 --> 00:01:23.300]  保羅不只是說了一個口號
[00:01:23.300 --> 00:01:27.600]  在十二章到十六章的不同的分段就開始探討
[00:01:27.600 --> 00:01:29.000]  所以上次我們提到
[00:01:29.000 --> 00:01:30.800]  健康自我形象的人
[00:01:30.800 --> 00:01:32.900]  就會知道自己的恩賜
[00:01:32.900 --> 00:01:35.200]  和跟弟兄姐妹不是比較
[00:01:35.200 --> 00:01:37.000]  而是彼此的配搭
[00:01:37.000 --> 00:01:37.800]  接着
[00:01:37.800 --> 00:01:39.200]  現在第二方面提到的
[00:01:39.200 --> 00:01:41.300]  保羅提到的就是愛的律法
[00:01:41.300 --> 00:01:43.500]  一個愛的具體表達
[00:01:43.500 --> 00:01:47.900]  這一段的經文和雅各書的論調是一樣的
[00:01:47.900 --> 00:01:48.800]  雅各說
[00:01:48.800 --> 00:01:50.700]  愛不可以在言語上
[00:01:50.700 --> 00:01:53.200]  必須要在行爲上
[00:01:53.200 --> 00:01:54.500]  跟你介紹一下這些姐妹說一聲
[00:01:54.500 --> 00:01:56.900]  你的愛必須用行爲表達的
[00:01:56.900 --> 00:02:00.200]  更加提到一個問題
[00:02:00.200 --> 00:02:01.100]  我們說
[00:02:01.100 --> 00:02:03.200]  保羅的《哥倫多前書》十三章
[00:02:03.200 --> 00:02:05.300]  愛的詩篇是很出名
[00:02:05.300 --> 00:02:06.400]  很多人背誦
[00:02:06.400 --> 00:02:07.900]  很多人送給人
[00:02:07.900 --> 00:02:10.900]  但是那邊的詩篇
[00:02:10.900 --> 00:02:14.800]  關於真正的內容
[00:02:14.800 --> 00:02:17.300]  保羅不是很具體的表達
[00:02:17.300 --> 00:02:19.300]  反而《羅馬書》十二章這一段
[00:02:19.300 --> 00:02:21.200]  保羅很具體地說了
[00:02:21.200 --> 00:02:23.300]  愛是怎麼表達出來的
[00:02:23.300 --> 00:02:24.200]  不過
[00:02:24.200 --> 00:02:25.500]  和合本的翻譯
[00:02:25.500 --> 00:02:28.000]  或者衆多的中文翻譯
[00:02:28.000 --> 00:02:30.600]  都翻譯不了原文的意思
[00:02:30.600 --> 00:02:31.400]  所以
[00:02:31.400 --> 00:02:32.500]  讀完之後
[00:02:32.500 --> 00:02:33.500]  我們都覺得
[00:02:33.500 --> 00:02:35.500]  保羅是不是
[00:02:35.500 --> 00:02:39.800]  將一些雜亂無章的元素放在一起呢
[00:02:39.800 --> 00:02:44.200]  我們試試讀一下這段經文就清楚了
[00:02:44.200 --> 00:02:48.200]  我們一起讀這段經文
[00:03:14.200 --> 00:03:15.900]  與喜樂的人要同樂
[00:03:15.900 --> 00:03:17.600]  與哀哭的人要同哭
[00:03:17.600 --> 00:03:19.400]  要彼此的同心
[00:03:19.400 --> 00:03:20.600]  整個和合本翻譯
[00:03:20.600 --> 00:03:23.100]  我們看不到整個脈絡發生了什麼事
[00:03:23.100 --> 00:03:26.900]  好像保羅將一些雜亂無章的元素放在一起
[00:03:26.900 --> 00:03:27.300]  是不是
