
[00:00:00.000 --> 00:00:03.300]  主耶穌被掛在十字架的上邊
[00:00:03.300 --> 00:00:05.300]  拯救我們
[00:00:05.300 --> 00:00:07.800]  流血犧牲
[00:00:07.800 --> 00:00:13.000]  給我們一種自由來回應祂的愛
[00:00:13.000 --> 00:00:15.300]  到底今天我們怎麼樣回應
[00:00:15.300 --> 00:00:19.000]  神所給我們的愛跟父皇
[00:00:19.000 --> 00:00:21.800]  若是今天這位永恆的主
[00:00:21.800 --> 00:00:25.500]  抄你實踐當中的倉庫
[00:00:25.500 --> 00:00:28.200]  你會開門嗎
[00:00:28.200 --> 00:00:32.500]  當自身的上帝趴入在你平凡
[00:00:32.500 --> 00:00:36.500]  身居受罪捆綁的生命中
[00:00:36.500 --> 00:00:39.200]  你的回應是怎麼樣
[00:00:39.200 --> 00:00:41.700]  所以願意今天我以這個的題目
[00:00:41.700 --> 00:00:44.600]  十字架下的十字架
[00:00:44.600 --> 00:00:50.000]  透過兩個人物中面對做信仰的考驗
[00:00:50.000 --> 00:00:52.800]  來鼓勵大家如何活出
[00:00:52.800 --> 00:00:57.200]  跟隨主耶穌基督的生命
[00:00:57.200 --> 00:01:01.400]  我們先看其中的第一段的經文
[00:01:01.400 --> 00:01:09.400]  在馬可福音十四章六十六到七十二節
[00:01:09.400 --> 00:01:14.000]  剛纔我們有機會把這個經文念出來
[00:01:14.000 --> 00:01:17.100]  大家都曉得這個記載
[00:01:17.100 --> 00:01:20.600]  有一個的背景我們需要了解
[00:01:20.600 --> 00:01:24.800]  馬可福音分開兩個很重要的環節
[00:01:24.800 --> 00:01:28.700]  第一個馬可福音第一章到第十章
[00:01:28.700 --> 00:01:33.500]  是講到主耶穌來宣佈天國的降臨
[00:01:33.500 --> 00:01:38.900]  我們的反應還是需要認罪迴轉
[00:01:38.900 --> 00:01:42.600]  然後馬可福音第十一到十六章
[00:01:42.600 --> 00:01:46.700]  整個的經節裏面是講到耶穌的受苦
[00:01:46.700 --> 00:01:49.100]  所以可以說馬可福音後面所講的
[00:01:49.100 --> 00:01:52.600]  都是以耶穌受苦爲中心
[00:01:52.600 --> 00:01:55.600]  耶穌如何的準備如曲
[00:01:55.600 --> 00:02:01.900]  神又如何的爲門徒準備了雅閣的樓房
[00:02:01.900 --> 00:02:04.200]  又在這個逾越節的當中
[00:02:04.200 --> 00:02:08.600]  準備了可以獻祭的羔羊
[00:02:08.600 --> 00:02:13.600]  整個的高峯就落在耶穌上十字架子裏面
[00:02:13.600 --> 00:02:16.800]  所以今天若是你看聖經看馬可福音
[00:02:16.800 --> 00:02:18.300]  你說我看不懂很簡單
[00:02:18.300 --> 00:02:22.500]  你就單單看耶穌受難的最後的二十幾個小時
[00:02:22.500 --> 00:02:25.600]  就是馬可福音當中所講論
[00:02:25.600 --> 00:02:28.100]  我們通常在我們念聖經裏面
[00:02:28.100 --> 00:02:30.400]  不會覺得這個經文有什麼
[00:02:30.400 --> 00:02:32.900]  但是若是大家小心的來看
[00:02:32.900 --> 00:02:37.800]  就曉得馬可是咬着牙根的來描述
[00:02:37.800 --> 00:02:41.700]  這個神的兒子如何的上十字架
[00:02:41.700 --> 00:02:44.400]  那一種的存在
[00:02:44.400 --> 00:02:46.300]  這一種的肯定
[00:02:46.300 --> 00:02:50.100]  這一種的犧牲
[00:02:50.100 --> 00:02:53.600]  要在這個的高峯裏面竟然看到
[00:02:53.600 --> 00:02:57.600]  一個反常的一個表現
[00:02:57.600 --> 00:02:59.800]  原來這個表現告訴我們
[00:02:59.800 --> 00:03:03.900]  那一些說是跟隨主耶穌的人
[00:03:03.900 --> 00:03:07.600]  竟然沒有辦法持守着信仰
[00:03:07.600 --> 00:03:11.200]  其中一個最重要的一個例子
[00:03:11.200 --> 00:03:14.200]  就是你的
[00:03:14.200 --> 00:03:20.700]  是馬可福音裏剛纔念過的十四章六十六到七十二節是講到
[00:03:20.700 --> 00:03:24.600]  彼得的完全的無能
[00:03:24.600 --> 00:03:26.400]  那你還記得
[00:03:26.400 --> 00:03:30.200]  彼得在克西瑪利園看見士兵來
[00:03:30.200 --> 00:03:32.600]  來捉拿耶穌的時候
[00:03:32.600 --> 00:03:37.000]  你看見那個時候彼得是在學習最高昂的時候
[00:03:37.000 --> 00:03:39.600]  拿起了刀來拔出了個刀
[00:03:39.600 --> 00:03:43.200]  他說誰碰耶穌的話我跟他死
