
[00:00:00.000 --> 00:00:03.720]  好,我們又開始《查詢》的話語了
[00:00:03.720 --> 00:00:07.240]  這次可以說是《辨念後傳》的第二講
[00:00:07.240 --> 00:00:11.580]  也是整個《辨念》系列的完結了
[00:00:11.580 --> 00:00:13.960]  我們看了《辨念前傳》
[00:00:13.960 --> 00:00:16.680]  耶穌帶着一幫門去哥撒尼亞廢納比
[00:00:16.680 --> 00:00:17.980]  問祂是誰
[00:00:17.980 --> 00:00:20.680]  然後那些門徒就有不同的講法
[00:00:20.680 --> 00:00:24.200]  但彼得就講到禰就是永生神的兒子
[00:00:24.200 --> 00:00:26.640]  於是他誤導就得到福
[00:00:26.640 --> 00:00:28.920]  主耶穌就讚賞他
[00:00:28.920 --> 00:00:34.040]  說到教會就會建基在禰這個盤石上
[00:00:34.040 --> 00:00:39.080]  然後後來耶穌基督就帶着門徒上山
[00:00:39.080 --> 00:00:42.000]  但上山之前耶穌繼續說祂會受苦
[00:00:42.000 --> 00:00:43.320]  當祂受苦的時候
[00:00:43.320 --> 00:00:45.080]  彼得就馬上拉着祂
[00:00:45.080 --> 00:00:47.480]  跟祂說禰不能死
[00:00:47.480 --> 00:00:50.160]  耶穌基督就說撒尼亞廢我後邊吧
[00:00:50.160 --> 00:00:53.560]  說這是撒尼亞廢自己一個很大的攻擊
[00:00:53.560 --> 00:00:55.560]  因爲用愛心去難了耶穌
[00:00:55.560 --> 00:00:59.080]  這就是變臉前傳 大家可以在網上看到
[00:00:59.080 --> 00:01:01.320]  接着就是變臉的正傳
[00:01:01.320 --> 00:01:03.320]  就是耶穌上了山
[00:01:03.320 --> 00:01:05.720]  他們祈禱的時候突然之間
[00:01:05.720 --> 00:01:08.000]  耶穌的形象變了
[00:01:08.000 --> 00:01:09.200]  滿有榮耀
[00:01:09.200 --> 00:01:12.680]  還有就是以利亞和摩西出現
[00:01:12.680 --> 00:01:18.480]  就跟耶穌說祂離開世界之後會發生什麼事
[00:01:18.480 --> 00:01:20.480]  我已經說這個就是trailer
[00:01:20.480 --> 00:01:24.160]  就是讓他們看到耶穌基督的真相的一部分
[00:01:24.160 --> 00:01:25.760]  看好耶穌的榮耀
[00:01:25.760 --> 00:01:28.240]  因爲耶穌將來很快就要受死了
[00:01:28.240 --> 00:01:31.240]  但並不是失敗
[00:01:31.240 --> 00:01:32.520]  但很可惜
[00:01:32.520 --> 00:01:34.520]  那些門徒可能太累了
[00:01:34.520 --> 00:01:35.920]  其他徒弟睡了覺
[00:01:35.920 --> 00:01:38.320]  突然之間駕醒了
[00:01:38.320 --> 00:01:40.600]  不知道自己要說什麼給彼得
[00:01:40.600 --> 00:01:42.400]  我搭三座棚爲禰
[00:01:42.400 --> 00:01:44.400]  一座爲了耶穌
[00:01:44.400 --> 00:01:45.600]  一座爲了摩西
[00:01:45.600 --> 00:01:46.920]  一座爲了以利亞
[00:01:46.920 --> 00:01:49.520]  我們就看到夢人說癡
