
[00:00:00.000 --> 00:00:02.440]  不知道大家有沒有看過這套卡通片
[00:00:02.440 --> 00:00:05.820]  這套是一個很出名的長壽動畫卡通片
[00:00:05.820 --> 00:00:07.820]  叫做Futurama
[00:00:07.820 --> 00:00:10.440]  這句Good News Everyone
[00:00:10.440 --> 00:00:14.840]  就是Professor Farnsworth的一個口頭禪
[00:00:14.840 --> 00:00:19.040]  當他說Good News 每個人的好消息的時候
[00:00:19.040 --> 00:00:21.440]  事實上其實並不是什麼好消息
[00:00:21.440 --> 00:00:23.760]  如果你留意聽到英文所說的話
[00:00:23.760 --> 00:00:26.440]  他每一個的速遞服務
[00:00:26.440 --> 00:00:29.440]  都可能有致命的危險
[00:00:29.440 --> 00:00:31.000]  可能是很緊張
[00:00:31.000 --> 00:00:33.000]  不想去參與的一個工作
[00:00:33.000 --> 00:00:35.000]  但是我在想
[00:00:35.000 --> 00:00:39.880]  為什麼這套片集播了十幾年
[00:00:39.880 --> 00:00:41.880]  到2013年才停播
[00:00:41.880 --> 00:00:44.680]  現在真實的片子經常都會看到
[00:00:44.680 --> 00:00:47.680]  可以播這麼久做卡通片
[00:00:47.680 --> 00:00:51.680]  我相信跟這個主題也有一點關係
[00:00:51.680 --> 00:00:53.680]  Good News Everyone
[00:00:53.680 --> 00:00:55.680]  他是諷刺世界上
[00:00:55.680 --> 00:00:58.680]  可能其實沒有太多好消息
[00:00:58.680 --> 00:01:00.680]  現在我們生活在這個世界
[00:01:00.680 --> 00:01:02.680]  特別是最近幾年
[00:01:02.680 --> 00:01:05.680]  我們開始在美國都感受到
[00:01:05.680 --> 00:01:07.680]  恐襲的威脅
[00:01:07.680 --> 00:01:09.680]  以為美國不會有恐襲
[00:01:09.680 --> 00:01:11.680]  但是發生了
[00:01:11.680 --> 00:01:13.680]  除了這件事之外
[00:01:13.680 --> 00:01:15.680]  我相信在這個世界上
[00:01:15.680 --> 00:01:17.680]  還有很多令我們覺得很不安樂
[00:01:17.680 --> 00:01:20.680]  或者很擔心的危機
[00:01:20.680 --> 00:01:22.680]  飢餓的危機
[00:01:22.680 --> 00:01:24.680]  食水的危機
[00:01:24.680 --> 00:01:26.680]  人口老化的危機
[00:01:26.680 --> 00:01:28.680]  環境污染
[00:01:28.680 --> 00:01:30.680]  氣候的轉變
[00:01:30.680 --> 00:01:32.680]  政治的危機
[00:01:32.680 --> 00:01:34.680]  說了這麼多的時候
[00:01:34.680 --> 00:01:37.680]  其實都令我們覺得在這裡生活很不安樂
[00:01:37.680 --> 00:01:39.680]  不過有時候我們仍然覺得
[00:01:39.680 --> 00:01:41.680]  這些似乎遠了一點
[00:01:41.680 --> 00:01:45.680]  但是就算是從個人的層面去看的時候
[00:01:45.680 --> 00:01:47.680]  其實我們發覺
[00:01:47.680 --> 00:01:49.680]  我們聽到和看到的
[00:01:49.680 --> 00:01:51.680]  是那些不好的消息
[00:01:51.680 --> 00:01:53.680]  是多於好的消息
[00:01:53.680 --> 00:01:55.680]  很多時候聽到的是什麼呢
[00:01:55.680 --> 00:01:57.680]  家人朋友有病了
[00:01:57.680 --> 00:01:59.680]  進了醫院了 要開刀了
[00:01:59.680 --> 00:02:01.680]  或者我們年尾了
[00:02:01.680 --> 00:02:03.680]  有個弟兄跟我說
[00:02:03.680 --> 00:02:05.680]  我和我上司剛去完公幹回來
[00:02:05.680 --> 00:02:07.680]  接著就大順風了
[00:02:07.680 --> 00:02:09.680]  在年尾的時間
[00:02:09.680 --> 00:02:13.680]  就收到一個被lay off的通知
[00:02:13.680 --> 00:02:15.680]  有些人在搞離婚
[00:02:15.680 --> 00:02:18.680]  有些人覺得上司不看他
[00:02:18.680 --> 00:02:20.680]  同事又妒忌他
[00:02:20.680 --> 00:02:22.680]  很多時候我們發覺
[00:02:22.680 --> 00:02:24.680]  原來我們所見到聽到的
[00:02:24.680 --> 00:02:26.680]  都是一些令我們很不開心
[00:02:26.680 --> 00:02:30.680]  很不快樂的一些消息
[00:02:30.680 --> 00:02:31.680]  所以很多時候
[00:02:31.680 --> 00:02:33.680]  當我們活在這樣的環境當中
