
[00:00:00.000 --> 00:00:05.600]  我們今早一齊來思想二弗所書第二章和第四章兩段的聖經
[00:00:05.600 --> 00:00:07.200]  剛才我們已經讀出來了
[00:00:07.200 --> 00:00:12.000]  請大家打開二弗所書的第二章和第四章
[00:00:12.000 --> 00:00:19.000]  如果是唐用聖經的話是1755和56頁
[00:00:19.000 --> 00:00:26.000]  二弗所書的第二章我們看第十九至二十二節
[00:00:26.000 --> 00:00:30.000]  然後第四章我們也看第一節至第十六節
[00:00:30.000 --> 00:00:32.000]  請大家打開聖經
[00:00:32.000 --> 00:00:41.000]  我們看一看神的真理和他的心目中教會是怎樣的
[00:00:41.000 --> 00:00:44.000]  如果剛才你留心這段聖經閱讀的時候
[00:00:44.000 --> 00:00:53.000]  你會留意二弗所書保羅用兩幅圖畫來繪畫
[00:00:53.000 --> 00:00:57.000]  描述教會是怎樣
[00:00:57.000 --> 00:01:00.000]  這兩幅圖畫是第二章裏面
[00:01:00.000 --> 00:01:03.000]  剛才我們所讀那段教會
[00:01:03.000 --> 00:01:07.000]  他用了一個建築物來形容
[00:01:07.000 --> 00:01:11.000]  根基呀,第二節整座建築
[00:01:11.000 --> 00:01:16.000]  教會是好像一個建築物
[00:01:16.000 --> 00:01:20.000]  第二,第四章說到
[00:01:20.000 --> 00:01:25.000]  第二幅圖畫教會好像一個身體
[00:01:25.000 --> 00:01:30.000]  短短的十六節用了三次身體這個字
[00:01:30.000 --> 00:01:34.000]  大家留意,第四節說身體只有一個
[00:01:34.000 --> 00:01:40.000]  然後到第十二節說是基督的身體
[00:01:40.000 --> 00:01:46.000]  最後說到是基督的身體,第十五節
[00:01:46.000 --> 00:01:50.000]  而且這個身體是漸漸長大
[00:01:50.000 --> 00:01:57.000]  完全是用了一個基督或身體的角度來描述教會
[00:01:57.000 --> 00:02:02.000]  今早我們就在這兩幅圖畫裏面一齊思想
[00:02:02.000 --> 00:02:04.000]  究竟神想我們認識甚麼
[00:02:04.000 --> 00:02:07.000]  沒錯,教會就好像一個建築物
[00:02:07.000 --> 00:02:10.000]  教會就好像一個身體
[00:02:10.000 --> 00:02:12.000]  不過今早我想和大家說
[00:02:12.000 --> 00:02:15.000]  我們看聖經看深入一點的時候
[00:02:15.000 --> 00:02:18.000]  神告訴我們教會是一個建築物
[00:02:18.000 --> 00:02:20.000]  可以用來比喻
[00:02:20.000 --> 00:02:23.000]  不過教會是一個非一般的建築物
[00:02:23.000 --> 00:02:25.000]  教會就好像一個身體
[00:02:25.000 --> 00:02:28.000]  但教會是一個非一般的身體
[00:02:28.000 --> 00:02:34.000]  我們就試試留意聖經的真理是怎樣
[00:02:34.000 --> 00:02:37.000]  首先我們先看第四章
[00:02:37.000 --> 00:02:44.000]  教會是一個身體
[00:02:44.000 --> 00:02:50.000]  教會是一個身體,就好像一個有機的生物
[00:02:50.000 --> 00:02:52.000]  它會長大的,這裏說了幾次
[00:02:52.000 --> 00:02:55.000]  慢慢地長大,慢慢地會長大
[00:02:55.000 --> 00:02:57.000]  它有生命的活力
[00:02:57.000 --> 00:03:00.000]  這個我們都知道的,今天我們不需要發揮
[00:03:00.000 --> 00:03:02.000]  不過我想和大家說
[00:03:02.000 --> 00:03:06.000]  為甚麼我們說教會雖然是一個身體
[00:03:06.000 --> 00:03:09.000]  好像身體一樣,你和我的身體一樣
[00:03:09.000 --> 00:03:13.000]  一個有機的生物的身體一樣
[00:03:13.000 --> 00:03:17.000]  但教會是一個非一般的身體
[00:03:17.000 --> 00:03:19.000]  非一般在哪裏?
[00:03:19.000 --> 00:03:21.000]  如果你留意看的時候就會知道
[00:03:21.000 --> 00:03:25.000]  我們的身體,人的身體就是我們一定要長大的
[00:03:25.000 --> 00:03:27.000]  你喜歡不喜歡都是這樣
[00:03:27.000 --> 00:03:29.000]  每天都有變化
[00:03:29.000 --> 00:03:32.000]  又長大,又成長,然後又衰老
[00:03:32.000 --> 00:03:37.000]  這個就是生命裏面必然的一個情況
[00:03:37.000 --> 00:03:40.000]  這個沒有甚麼意義,沒有甚麼目標
[00:03:40.000 --> 00:03:43.000]  但是聖經告訴我們
[00:03:43.000 --> 00:03:45.000]  教會作為一個身體
[00:03:45.000 --> 00:03:48.000]  是有目標,有方向的
[00:03:48.000 --> 00:03:51.000]  不是就這樣聚在一起就能生存
[00:03:51.000 --> 00:03:53.000]  教會不單單是生存的
[00:03:53.000 --> 00:03:54.000]  它有一個方向的
[00:03:54.000 --> 00:03:56.000]  甚麼方向呢?
[00:03:56.000 --> 00:03:57.000]  看聖經就很清楚了
[00:03:57.000 --> 00:03:59.000]  第四章和第二章告訴我們
[00:03:59.000 --> 00:04:06.000]  教會第一,它是向著一個基督的身體來方向的
[00:04:06.000 --> 00:04:10.000]  就是說教會的存在和生存是向著一個目的的
[00:04:10.000 --> 00:04:11.000]  有一個目標的
[00:04:11.000 --> 00:04:13.000]  它不是就這樣生存的
[00:04:13.000 --> 00:04:15.000]  正如教會不是一群人聚在一起的
[00:04:15.000 --> 00:04:18.000]  老實說聚在一起社團都可以
[00:04:18.000 --> 00:04:21.000]  我去過很多不同的教會
[00:04:21.000 --> 00:04:24.000]  有些教會真的想想都不知道它為了甚麼
[00:04:24.000 --> 00:04:28.000]  只不過是在城市裏面大家華人聚在一起
[00:04:28.000 --> 00:04:29.000]  沒有那麼悶
[00:04:29.000 --> 00:04:31.000]  這個就叫教會嗎?
[00:04:31.000 --> 00:04:33.000]  不是的,聖經告訴我們
[00:04:33.000 --> 00:04:34.000]  第四章講了幾次
[00:04:34.000 --> 00:04:37.000]  教會的生長,它會長大
[00:04:37.000 --> 00:04:39.000]  它會好像身體一樣
[00:04:39.000 --> 00:04:40.000]  不過它有一個很不同
[00:04:40.000 --> 00:04:41.000]  它有一個目的
[00:04:41.000 --> 00:04:44.000]  它的目標就是成為基督的身體
[00:04:44.000 --> 00:04:45.000]  它的意思就是說
[00:04:45.000 --> 00:04:46.000]  它有一個目的就是說
[00:04:46.000 --> 00:04:48.000]  這個教會會成為甚麼呢?
[00:04:48.000 --> 00:04:51.000]  在面貌上越來越像基督
[00:04:51.000 --> 00:04:53.000]  這個才是真正的教會
[00:04:53.000 --> 00:04:55.000]  這個非一般的身體
[00:04:55.000 --> 00:04:57.000]  非一般的身體可能不用方向的
[00:04:57.000 --> 00:05:01.000]  第二,教會作為一個身體
[00:05:01.000 --> 00:05:03.000]  它生長的時候
[00:05:03.000 --> 00:05:07.000]  它有一種重要的存在的意義和力量
[00:05:07.000 --> 00:05:10.000]  就是它成為聖靈所居住的殿
[00:05:10.000 --> 00:05:12.000]  第二章所講的
[00:05:12.000 --> 00:05:16.000]  教會它的存在不單單是一種生存
[00:05:16.000 --> 00:05:20.000]  它在生存裏面有一種很特別的力量
[00:05:20.000 --> 00:05:22.000]  進來的人,在裏面的人都經歷得到
[00:05:22.000 --> 00:05:25.000]  原來神的靈是住在這裏
[00:05:25.000 --> 00:05:27.000]  在這裏經驗到原來
[00:05:27.000 --> 00:05:29.000]  有些東西在外面世界經驗不到
[00:05:29.000 --> 00:05:31.000]  我講了那麼多,想講甚麼呢?
[00:05:31.000 --> 00:05:33.000]  就是其實我們的生命
[00:05:33.000 --> 00:05:35.000]  是不是都可以生長的呢?
[00:05:35.000 --> 00:05:38.000]  不過如果生命並沒有方向
[00:05:38.000 --> 00:05:40.000]  並沒有目標的話
[00:05:40.000 --> 00:05:44.000]  這個生命是沒有意思的
[00:05:44.000 --> 00:05:46.000]  其實人都是這樣
