
[00:00:00.000 --> 00:00:03.200]  (主席)我們先讀一段經文,請聽我讀
[00:00:03.200 --> 00:00:06.240]  就是大家有看他們的投影片
[00:00:06.240 --> 00:00:09.880]  「我們行善,不可喪志
[00:00:09.880 --> 00:00:15.120]  因為若不灰心,到了適當的時候
[00:00:15.120 --> 00:00:17.680]  就有修成
[00:00:17.680 --> 00:00:22.400]  所以一有機會,就要向眾人行善
[00:00:22.400 --> 00:00:26.800]  向信徒一家的人更要這樣」
[00:00:27.200 --> 00:00:34.040]  在二十年前,我有十一年時間在美國留學和教書
[00:00:34.040 --> 00:00:37.440]  我曾經住在康州的New Haven
[00:00:37.440 --> 00:00:39.440]  新澤西州的Princeton
[00:00:39.440 --> 00:00:42.640]  和Indiana的Farber-Russell
[00:00:42.640 --> 00:00:48.400]  新澤西州和Indiana是很平的
[00:00:48.400 --> 00:00:50.000]  沒有什麼山
[00:00:50.000 --> 00:00:53.440]  尤其是在Indiana周圍都是玉米田
[00:00:53.840 --> 00:00:57.800]  所以在二十年前,我剛從美國回來的時候
[00:00:57.800 --> 00:01:00.400]  我發覺原來香港有這麼多山
[00:01:00.400 --> 00:01:03.400]  在一九九九年的時候
[00:01:03.400 --> 00:01:07.640]  我有機會走過嘉臨邊道
[00:01:07.640 --> 00:01:09.640]  對著民生書院走
[00:01:09.640 --> 00:01:12.840]  發覺原來真的有這麼多山
[00:01:12.840 --> 00:01:16.560]  原來民生書院背後那座山這麼大
[00:01:16.560 --> 00:01:20.160]  獅子山原來這麼近這麼大
[00:01:20.160 --> 00:01:21.920]  不知道你們有沒有這種感覺
[00:01:21.920 --> 00:01:24.160]  我就很記得那種感覺
[00:01:24.160 --> 00:01:26.160]  去一個很平坦的地方來到香港
[00:01:26.160 --> 00:01:27.920]  嘩,周圍都是山
[00:01:27.920 --> 00:01:29.920]  嘩,獅子山這麼近這麼大
[00:01:29.920 --> 00:01:32.600]  嘩,獅子山在民生書院背後
[00:01:32.600 --> 00:01:35.520]  我不知道你們有沒有爬過獅子山
[00:01:35.520 --> 00:01:36.520]  你們有沒有爬過?
[00:01:36.520 --> 00:01:38.000]  有爬過是嗎?
[00:01:38.000 --> 00:01:39.000]  有啊
[00:01:39.000 --> 00:01:41.080]  我小時候有爬
[00:01:41.080 --> 00:01:43.200]  我和我女朋友有去爬
[00:01:43.200 --> 00:01:45.720]  一群人好像你們那樣年紀的時候就去爬
[00:01:46.240 --> 00:01:52.200]  爬的時候就發覺是不容易的
[00:01:52.200 --> 00:01:55.200]  遠處看就很多矮的獅子山
[00:01:55.200 --> 00:01:57.840]  爬下去的時候是相當艱難的
[00:01:57.840 --> 00:02:00.160]  爬到獅子山頭的時候
[00:02:00.160 --> 00:02:03.400]  是有陡峭的地方
[00:02:03.400 --> 00:02:06.920]  所以其實真的會見到這麼危險
[00:02:06.920 --> 00:02:08.920]  就想放棄的了
[00:02:08.920 --> 00:02:11.400]  同樣
[00:02:11.400 --> 00:02:15.640]  很多時候我們都說平安和平
[00:02:16.280 --> 00:02:19.840]  其實好像隨處都有的
[00:02:19.840 --> 00:02:23.600]  譬如在平安夜你佈置一下周圍的環境
[00:02:23.600 --> 00:02:26.240]  佈置在家裡好像平安就來到
[00:02:26.240 --> 00:02:30.280]  但我們見到平安和平又可以因為一句話
[00:02:30.280 --> 00:02:32.920]  因為辦事辦得不妥當
[00:02:32.920 --> 00:02:34.680]  做錯了決定
[00:02:34.680 --> 00:02:40.920]  就搞到和平平安就轉眼消逝
[00:02:40.920 --> 00:02:42.320]  同樣
