
[00:00:00.000 --> 00:00:06.000]  天父,我們多謝祢讓我們今天在主日裏可以再次思想祢的福音
[00:00:06.000 --> 00:00:12.000]  多謝祢在過去三個月裏讓我們思想了三個很重要的題目
[00:00:12.000 --> 00:00:16.000]  聖經至真實,罪惡乃根源,地獄火紅紅
[00:00:16.000 --> 00:00:23.000]  今日我們來到整個福音的高潮就是耶穌,耶穌攝慰答案
[00:00:23.000 --> 00:00:30.000]  幫助我們去思想耶穌怎樣來幫我們解決我們終極的人生的問題
[00:00:30.000 --> 00:00:34.000]  讓我們認定祂是我們獨一的救主
[00:00:34.000 --> 00:00:40.000]  以致我們可以一生的去回應祂福音的呼召
[00:00:40.000 --> 00:00:45.000]  祝福我們當中的每一位朋友,弟兄姊妹,尤其是未信主的
[00:00:45.000 --> 00:00:53.000]  讓他真的看得清楚這個救恩,幫助我們祈禱,奉主耶穌基督名求,阿們
[00:00:53.000 --> 00:00:56.000]  如果大家之前幾個月有跟我們一起
[00:00:56.000 --> 00:01:00.000]  我們知道我們這個叫做福音,但是叫做福音門訓班
[00:01:00.000 --> 00:01:04.000]  就是說就算你是基督徒,我們都是歡迎你在我們當中
[00:01:04.000 --> 00:01:08.000]  原因是因為我們說
[00:01:08.000 --> 00:01:13.000]  The gospel is not just the ABCs, but the A to Z of the Christian life
[00:01:13.000 --> 00:01:19.000]  對基督徒來說,福音不是你ABC學了就不需要再學的了
[00:01:19.000 --> 00:01:22.000]  就是你幼稚園學了就不需要再學了
[00:01:22.000 --> 00:01:30.000]  而是福音是整個基督徒人生,去到你最後的一刻你仍然思想著這個福音
[00:01:30.000 --> 00:01:34.000]  當然我們很多時候我們說,不是,我已經聽了福音
[00:01:34.000 --> 00:01:39.000]  20年前,甚至30年前我都已經聽了這個福音了
[00:01:39.000 --> 00:01:43.000]  但是你的福音可能是很淺白的
[00:01:43.000 --> 00:01:49.000]  可能小朋友聽的時候,老師跟你分享三分鐘,然後你信不信,你就信了
[00:01:49.000 --> 00:01:55.000]  但是如果你在過去二三十年裏面有繼續努力讀這本聖經的時候
[00:01:55.000 --> 00:02:00.000]  那你的福音應該越來越大,越來越深
