
[00:00:00.000 --> 00:00:03.700]  各位姐妹 大家在神的面前
[00:00:03.700 --> 00:00:07.240]  我們都要準備好我們的心
[00:00:07.240 --> 00:00:09.780]  去聆聽 去認見我們的神
[00:00:09.780 --> 00:00:12.540]  大家準備好了嗎?
[00:00:12.540 --> 00:00:17.340]  在我們聚會的群體當中
[00:00:17.340 --> 00:00:19.760]  我們需要同心的在上帝面前
[00:00:19.760 --> 00:00:23.240]  將自己的眼光 將自己的心思
[00:00:23.240 --> 00:00:25.860]  對準你的焦點 我們一起禱告
[00:00:28.860 --> 00:00:31.860]  天父 上帝 我們在祢面前
[00:00:31.860 --> 00:00:35.240]  再一次謙卑 以祢為王
[00:00:35.240 --> 00:00:37.240]  以致我們能夠在祢面前
[00:00:37.240 --> 00:00:38.760]  放下我們自己
[00:00:38.760 --> 00:00:42.220]  去尊崇祢 去聆聽祢
[00:00:42.220 --> 00:00:44.720]  去歌頌祢 去敬拜祢
[00:00:44.720 --> 00:00:47.580]  求祢悅納 求祢帶領
[00:00:47.580 --> 00:00:53.080]  願意在我們的心裡
[00:00:53.080 --> 00:00:55.460]  祢永遠作王
[00:00:55.460 --> 00:00:57.740]  多謝祢 祈禱奉耶穌的聖名
[00:00:57.740 --> 00:00:58.900]  阿門
[00:00:58.900 --> 00:01:02.120]  教會是一個什麼樣的群體呢?
[00:01:02.120 --> 00:01:04.120]  我記得我初中的時候
[00:01:04.120 --> 00:01:06.720]  就開始返回教會
[00:01:06.720 --> 00:01:10.240]  但是我不是乖巧的返回教會
[00:01:10.240 --> 00:01:13.160]  我不是全心想去認識神
[00:01:13.160 --> 00:01:14.320]  我只是
[00:01:14.320 --> 00:01:17.480]  跟一班朋友
[00:01:17.480 --> 00:01:20.080]  在教會做一個平台
[00:01:20.080 --> 00:01:22.120]  最精彩的就是
[00:01:22.120 --> 00:01:24.120]  完了崇拜之後的活動
[00:01:25.400 --> 00:01:28.540]  我爸爸媽媽不知道我返回教會做什麼
[00:01:28.540 --> 00:01:31.400]  總之每次見到我都不在家
[00:01:31.400 --> 00:01:34.120]  他們就很不開心
[00:01:34.120 --> 00:01:36.120]  他們問我一個問題
[00:01:36.120 --> 00:01:39.200]  返回教會是否有收穫呢?
[00:01:39.200 --> 00:01:42.800]  後來
[00:01:42.800 --> 00:01:45.360]  輪到我爸爸媽媽婆婆
[00:01:45.360 --> 00:01:46.460]  信了耶穌
[00:01:46.460 --> 00:01:49.360]  他們非常疼愛教會
[00:01:49.360 --> 00:01:53.100]  他們返回教會比我更加多
[00:01:54.420 --> 00:01:57.880]  我記得在我的大學時期
[00:01:57.880 --> 00:02:01.220]  我的信仰出了很大很大的問題
[00:02:01.220 --> 00:02:03.600]  有一段時間沒有返回教會
[00:02:03.600 --> 00:02:05.600]  也離棄了上帝
[00:02:05.600 --> 00:02:09.660]  但是我反而見到我爸爸媽媽婆婆
[00:02:09.660 --> 00:02:12.420]  在教會裏面很有成長
[00:02:12.420 --> 00:02:14.420]  他們很多朋友
[00:02:14.420 --> 00:02:15.420]  很開心
[00:02:15.420 --> 00:02:16.420]  很多人為他們祈禱
[00:02:16.420 --> 00:02:18.420]  很多人跟他們同行
[00:02:18.420 --> 00:02:21.160]  爸爸媽媽每一天祈禱
