
[00:00:00.000 --> 00:00:03.800]  十條誡命,今天去到最後的一條誡命
[00:00:03.800 --> 00:00:10.900]  今天我用的題目,我就說是學習,或者是懂得去滿足
[00:00:10.900 --> 00:00:14.600]  如果看回聖經中文的頁本,第十條誡命它就這樣說
[00:00:14.600 --> 00:00:19.440]  「不可貪戀人的房屋,也不可貪戀人的妻子,
[00:00:19.440 --> 00:00:23.800]  瀑皮、牛奴,並他一切所有的。」
[00:00:23.800 --> 00:00:27.800]  重點就是說「並他一切所有的。」
[00:00:27.800 --> 00:00:30.400]  當然我們中文聖經是說到人,
[00:00:30.400 --> 00:00:35.700]  但英文聖經的翻譯是用一個字叫做neighbor,是一個鄰舍
[00:00:35.700 --> 00:00:38.500]  正如我上一次說了,在聖經裏面的鄰舍,
[00:00:38.500 --> 00:00:41.500]  特別是以色列百姓裏面對於鄰舍的解釋,
[00:00:41.500 --> 00:00:47.500]  是可以很合意地指,以色列人只可以成為自己的鄰舍
[00:00:47.500 --> 00:00:52.300]  但在耶穌基督的心,祂作為一個很闊心空的耶穌,
[00:00:52.300 --> 00:00:56.200]  祂說任何人都可以成為我的鄰舍
[00:00:56.200 --> 00:00:58.800]  所以無論中文的翻譯,或者英文的翻譯,
[00:00:58.800 --> 00:01:02.200]  有鄰舍這個字,或者沒有鄰舍這個字,
[00:01:02.200 --> 00:01:04.400]  其實對於我們來說,仍然是一樣
[00:01:04.400 --> 00:01:09.600]  今天你和我都是可以成為了大家的鄰舍
[00:01:09.600 --> 00:01:11.700]  第十誡,聖經很強調
[00:01:11.700 --> 00:01:17.600]  「不可貪戀人的房屋、妻子,甚至其他人的瀑皮。」
[00:01:17.600 --> 00:01:21.600]  用今天來說,我們不可以貪戀別人的菲律賓姐姐,
[00:01:21.600 --> 00:01:22.700]  或者印尼姐姐,
[00:01:22.700 --> 00:01:26.300]  或者我們不可以貪戀別人所擁有的牛或牛
[00:01:26.300 --> 00:01:29.900]  當然我們今天未必有牛或其他動物在我們家裡
[00:01:29.900 --> 00:01:32.500]  就算他說給你七千隻羊,你也不知道放在哪裡
[00:01:32.500 --> 00:01:37.300]  但另一方面,究竟這條界面對我們今天這個世代,
[00:01:37.300 --> 00:01:41.200]  到二十一世紀,究竟對我們有什麼提醒?
[00:01:41.200 --> 00:01:43.800]  而同樣的訊息,翻譯是說
[00:01:43.800 --> 00:01:46.800]  「No lusting」,即我們的肉,我們的絲肉,
[00:01:46.800 --> 00:01:52.800]  我們的肉身的絲肉,千萬不要種這個絲肉在我們身邊
[00:01:52.800 --> 00:01:56.700]  特別是看著別人的房子,看著別人的太太
[00:01:56.700 --> 00:02:01.200]  當然,第十誡,如果我們單從表面去看
[00:02:01.200 --> 00:02:06.900]  我們發覺第十誡和前面某些界名的確有很深的關係
[00:02:06.900 --> 00:02:09.600]  甚至會不會有些重覆呢?
[00:02:09.600 --> 00:02:12.200]  譬如說,你不要貪戀別人的妻子
[00:02:12.200 --> 00:02:17.800]  很明顯,貪戀別人的妻子,肯定是犯了不可姦淫
[00:02:17.800 --> 00:02:20.400]  甚至可能犯了不可殺人
[00:02:20.400 --> 00:02:22.800]  因為大衛很明顯喜歡了別人的老婆
[00:02:22.800 --> 00:02:25.800]  於是殺了別人的老公,把別人的老婆據為己有
[00:02:25.800 --> 00:02:29.800]  所以變成了,究竟第十誡的作用在哪裡?
