
[00:00:00.000 --> 00:00:03.800]  好,請大家繼續翻開詩篇127篇
[00:00:03.800 --> 00:00:05.800]  這首是
[00:00:05.800 --> 00:00:08.520]  繼續是一首的《上行之詩》
[00:00:08.520 --> 00:00:11.600]  這首詩歌我們都很熟悉
[00:00:11.600 --> 00:00:13.640]  特別是第一節
[00:00:13.640 --> 00:00:16.400]  若不是耶和華建造房屋
[00:00:16.400 --> 00:00:18.520]  建造的人就枉然不勞力
[00:00:18.520 --> 00:00:21.080]  若不是耶和華看守城池
[00:00:21.080 --> 00:00:22.200]  看守的人
[00:00:22.200 --> 00:00:24.920]  就是枉然警醒
[00:00:24.920 --> 00:00:27.520]  那麼每個詩篇
[00:00:27.520 --> 00:00:29.000]  我們去讀的時候
[00:00:29.000 --> 00:00:30.200]  都會想像的
[00:00:30.200 --> 00:00:32.640]  詩篇是講異境
[00:00:32.640 --> 00:00:34.480]  想像一下
[00:00:34.480 --> 00:00:37.000]  就是一群以色列人
[00:00:37.000 --> 00:00:39.760]  他們是拖男帶女
[00:00:39.760 --> 00:00:45.680]  慢慢走進石鞍山
[00:00:45.680 --> 00:00:47.520]  走進耶路撒冷裡面
[00:00:47.520 --> 00:00:49.160]  準備守節
[00:00:49.160 --> 00:00:52.480]  可能他們是來自世界各地
[00:00:52.480 --> 00:00:55.000]  或者是在以色列境內
[00:00:55.000 --> 00:00:57.840]  可能有些人是一生人才去一次
[00:00:58.000 --> 00:01:00.000]  有些人可能每年都會去
[00:01:00.000 --> 00:01:01.200]  但是無論如何
[00:01:01.200 --> 00:01:03.080]  他們已經準備去登山
[00:01:03.080 --> 00:01:05.440]  登山的路途裡面都會吃力
[00:01:05.440 --> 00:01:09.240]  吃力的時候就會稍微歇息一下
[00:01:09.240 --> 00:01:12.440]  歇息的時候大家坐下來乘涼
[00:01:12.440 --> 00:01:13.840]  喝杯水的時候
[00:01:13.840 --> 00:01:16.480]  旁邊左右都有很多的以色列人
[00:01:16.480 --> 00:01:19.200]  有些可能是素未謀面
[00:01:19.200 --> 00:01:20.840]  有些可能是熟口熟面
[00:01:20.840 --> 00:01:21.920]  但是無論如何
[00:01:21.920 --> 00:01:25.400]  他們都很喜歡在那裡傾談、分享
[00:01:25.720 --> 00:01:29.080]  講一下自己過去的生活
[00:01:29.080 --> 00:01:33.400]  講一下一些關於自己的事業
[00:01:33.400 --> 00:01:35.800]  講一下自己的生意
[00:01:35.800 --> 00:01:37.040]  講一下家庭
[00:01:37.040 --> 00:01:38.400]  又講一下兒女等等
[00:01:38.400 --> 00:01:39.720]  講著講著
[00:01:39.720 --> 00:01:41.320]  大家都是滔滔不絕
[00:01:41.320 --> 00:01:44.000]  大家都是很多的分享
[00:01:44.000 --> 00:01:45.720]  無論是成功還是失敗
[00:01:45.720 --> 00:01:49.240]  無論是過去有多少的辛酸流淚
[00:01:49.240 --> 00:01:51.080]  或者是有多少滿足、喜樂
[00:01:51.080 --> 00:01:54.760]  他們都是分享得很開心
[00:01:54.760 --> 00:01:56.760]  分享得很暢快
[00:01:56.760 --> 00:01:59.000]  當他們這樣分享的時候
[00:01:59.000 --> 00:02:00.600]  一會兒你會聽到
[00:02:00.600 --> 00:02:04.440]  有一個智者在唱一首詩歌
[00:02:04.440 --> 00:02:05.840]  聽到詩歌一聽
[00:02:05.840 --> 00:02:08.680]  "若不是耶和華建造房屋"
[00:02:08.680 --> 00:02:12.000]  "建造的人就枉然勞力"
[00:02:12.000 --> 00:02:14.400]  "若不是耶和華看守城池"
[00:02:14.400 --> 00:02:17.960]  "看守的人就枉然警醒"
[00:02:17.960 --> 00:02:19.560]  聽到的時候
[00:02:19.560 --> 00:02:22.640]  好像似乎被一群人提醒
[00:02:22.840 --> 00:02:26.200]  因為原來剛才在分享和傾談的時候
[00:02:26.200 --> 00:02:28.520]  原來沒有提及過神
[00:02:28.520 --> 00:02:31.200]  沒有提及過神在你生命裡做些什麼
[00:02:31.200 --> 00:02:34.000]  就是說自己以往的故事
[00:02:34.000 --> 00:02:36.320]  但是一個智者提醒
[00:02:36.320 --> 00:02:37.320]  是的
[00:02:37.320 --> 00:02:38.520]  這些成功
[00:02:38.520 --> 00:02:39.920]  這些失敗
[00:02:39.920 --> 00:02:42.240]  究竟在當中
[00:02:42.240 --> 00:02:44.800]  神在裡面是什麼作為呢?
[00:02:44.800 --> 00:02:47.400]  究竟神在裡面是什麼參與呢?
[00:02:47.400 --> 00:02:50.440]  所以詩篇127篇
[00:02:50.760 --> 00:02:54.360]  是當時對於朝聖者提醒
[00:02:54.360 --> 00:02:55.000]  他說
[00:02:55.000 --> 00:03:00.280]  他們不在朝聖的路程、歷程中的中心
[00:03:00.280 --> 00:03:02.920]  神才是中心
[00:03:02.920 --> 00:03:05.120]  更加提醒我們
[00:03:05.120 --> 00:03:08.880]  我們努力工作
[00:03:08.880 --> 00:03:10.000]  努力的人生
[00:03:10.000 --> 00:03:11.920]  不過是次要而已
