
[00:00:00.000 --> 00:00:02.000]  大師兄姊妹平安
[00:00:02.000 --> 00:00:04.000]  很高興今天跟大家分享
[00:00:04.000 --> 00:00:06.000]  大師兄的恩典
[00:00:06.000 --> 00:00:08.000]  特別是剛才Haze傳道也讀了
[00:00:08.000 --> 00:00:10.000]  今天的經文是講到「斟言」
[00:00:10.000 --> 00:00:12.000]  不知道大家讀的時候
[00:00:12.000 --> 00:00:14.000]  會不會覺得每一句都很有意思
[00:00:14.000 --> 00:00:16.000]  可能第一眼看未必明白
[00:00:16.000 --> 00:00:17.000]  但在思想的時候
[00:00:17.000 --> 00:00:19.000]  又很有道理感
[00:00:19.000 --> 00:00:21.000]  所以今天很想分享
[00:00:21.000 --> 00:00:22.000]  《正經裡面的斟言》
[00:00:22.000 --> 00:00:25.000]  話說我近來都在我太太口中
[00:00:25.000 --> 00:00:27.000]  聽到一句很有智慧的智慧說話
[00:00:27.000 --> 00:00:29.000]  不知道你認不認同這句說話
[00:00:29.000 --> 00:00:30.000]  她這樣說的
[00:00:30.000 --> 00:00:32.000]  她無緣無故回到家裡跟我說
[00:00:32.000 --> 00:00:34.000]  她說以前的年代
[00:00:34.000 --> 00:00:37.000]  電器壞了我們會嘗試修復
[00:00:37.000 --> 00:00:39.000]  但現在這個年代
[00:00:39.000 --> 00:00:42.000]  電器壞了會直接換一個新
[00:00:42.000 --> 00:00:45.000]  人的關係感情都一樣
[00:00:45.000 --> 00:00:48.000]  我一聽的時候心離一離
[00:00:48.000 --> 00:00:50.000]  無緣無故講這麼沉重的東西
[00:00:50.000 --> 00:00:51.000]  是不是我做錯了什麼
[00:00:51.000 --> 00:00:53.000]  真的不好意思
[00:00:53.000 --> 00:00:54.000]  原來話說她吃飯
[00:00:54.000 --> 00:00:55.000]  跟她的好朋友
[00:00:55.000 --> 00:00:56.000]  她的好姐妹分享
[00:00:56.000 --> 00:00:58.000]  她覺得很有意思
[00:00:58.000 --> 00:00:59.000]  她就跟我分享
[00:00:59.000 --> 00:01:02.000]  不知道你認不認同這句說話
[00:01:02.000 --> 00:01:03.000]  我有些不太認同的
[00:01:03.000 --> 00:01:04.000]  為什麼呢
[00:01:04.000 --> 00:01:06.000]  因為我家裡的電器壞了
[00:01:06.000 --> 00:01:07.000]  是不會換的
[00:01:07.000 --> 00:01:08.000]  又不會丟的
[00:01:08.000 --> 00:01:10.000]  我家裡的沖水壞了
[00:01:10.000 --> 00:01:11.000]  我們就放在這裡
[00:01:11.000 --> 00:01:13.000]  我們有去繼續壞
[00:01:13.000 --> 00:01:14.000]  又不換又不修
[00:01:14.000 --> 00:01:15.000]  這是開玩笑的
[00:01:15.000 --> 00:01:17.000]  我不知道你認不認同這句說話
[00:01:17.000 --> 00:01:19.000]  人的關係感情
[00:01:19.000 --> 00:01:23.000]  好像這個年代會容易一點
[00:01:23.000 --> 00:01:24.000]  交替
[00:01:24.000 --> 00:01:26.000]  或者容易一點轉變
[00:01:26.000 --> 00:01:29.000]  以前我們會很重視
[00:01:29.000 --> 00:01:30.000]  今天我又想分享
[00:01:30.000 --> 00:01:32.000]  聖經裡面的智利名言
[00:01:32.000 --> 00:01:36.000]  所以我們開始前進一個禱告
[00:01:36.000 --> 00:01:37.000]  蔡天父我們多謝你
[00:01:37.000 --> 00:01:39.000]  讓我們今天可以在這個時間
[00:01:39.000 --> 00:01:42.000]  在這個地方聽你的話語
[00:01:42.000 --> 00:01:45.000]  更重要是聖靈你親自對我們說話
[00:01:45.000 --> 00:01:47.000]  讓我們明白你的話語
[00:01:47.000 --> 00:01:48.000]  我們也反思
