
[00:00:00.000 --> 00:00:04.000]  弟兄姊妹 朋友們 早安
[00:00:04.000 --> 00:00:07.000]  也祝我們在座的父親們
[00:00:07.000 --> 00:00:10.000]  或者父親的父親的父親們
[00:00:10.000 --> 00:00:14.000]  身體健康 身心靈健壯
[00:00:14.000 --> 00:00:20.000]  其實父親節很少人去紀念他或慶祝他的
[00:00:20.000 --> 00:00:23.000]  母親節好像比較看重一些
[00:00:23.000 --> 00:00:26.000]  但是我都喜歡講
[00:00:26.000 --> 00:00:30.000]  我們尊榮我們在地上的父親
[00:00:30.000 --> 00:00:33.000]  我們更尊榮我們在天上的父親
[00:00:33.000 --> 00:00:35.000]  Hallelujah
[00:00:35.000 --> 00:00:39.000]  所以這是今天我要跟各位分享的
[00:00:39.000 --> 00:00:45.000]  我們的身份 責任 還有我們的權責
[00:00:45.000 --> 00:00:49.000]  因為就如彼得前書他說的
[00:00:49.000 --> 00:00:52.000]  從前你們不算神的子民
[00:00:52.000 --> 00:00:54.000]  而今成為神的子民
[00:00:54.000 --> 00:00:57.000]  就是我們天上的父親是我們的阿爸父
[00:00:57.000 --> 00:00:59.000]  您知道嗎
[00:00:59.000 --> 00:01:02.000]  尤其是雅蘭文裡面阿爸父
[00:01:02.000 --> 00:01:05.000]  他就是ABBA 阿爸
[00:01:05.000 --> 00:01:08.000]  跟我們講的阿爸一樣
[00:01:08.000 --> 00:01:12.000]  全天下的父親都是一樣的
[00:01:12.000 --> 00:01:14.000]  也是很有意思就是說
[00:01:14.000 --> 00:01:19.000]  我們地上的父親我自己最清楚
[00:01:19.000 --> 00:01:22.000]  孩子有什麼事情來找我就說你去問媽媽
[00:01:22.000 --> 00:01:24.000]  都是問媽媽
[00:01:24.000 --> 00:01:28.000]  但是真正我們地上的父親
[00:01:28.000 --> 00:01:32.000]  有他不可推卸的責任
[00:01:32.000 --> 00:01:37.000]  也有他不可忽略的權柄
[00:01:37.000 --> 00:01:41.000]  我曾經在Discovery Channel上面
[00:01:41.000 --> 00:01:45.000]  看到一個小片段是這個樣子
[00:01:45.000 --> 00:01:49.000]  你知道公獅子母獅子在打獵的時候
[00:01:49.000 --> 00:01:52.000]  他們在追捕獵物的時候
[00:01:52.000 --> 00:01:54.000]  公獅子追不追啊
[00:01:54.000 --> 00:01:56.000]  公獅子一般不追
[00:01:56.000 --> 00:02:00.000]  公獅子都在樹底下打盹睡懶覺
[00:02:00.000 --> 00:02:01.000]  你知道嗎
[00:02:01.000 --> 00:02:03.000]  所以我們常常會感覺到
[00:02:03.000 --> 00:02:06.000]  好像爸爸在家都沒做什麼事情
[00:02:06.000 --> 00:02:09.000]  但是我就在Discovery Channel上
[00:02:09.000 --> 00:02:12.000]  看到這一個震撼我的心的
[00:02:12.000 --> 00:02:19.000]  當母獅子打獵獵到獵物來的時候
[00:02:19.000 --> 00:02:22.000]  豺狼就出來了
