
[00:00:00.000 --> 00:00:02.000]  孔子明問下 敬請姐妹平安
[00:00:02.000 --> 00:00:04.000]  孔子問下 敬請姐妹平安
[00:00:04.000 --> 00:00:08.000]  各位敬請姐妹 你有沒有看到這個世界上
[00:00:08.000 --> 00:00:10.000]  有很多不平的事
[00:00:10.000 --> 00:00:13.000]  敬請姐妹 你看到這世界上是不是有很多不平的事情
[00:00:13.000 --> 00:00:16.000]  我不知道你在你的身上有沒有遇到這個事情
[00:00:16.000 --> 00:00:19.000]  我不知道在你身上有沒有遇到這樣的事情
[00:00:19.000 --> 00:00:24.000]  不競權的人
[00:00:24.000 --> 00:00:25.000]  不進錢的人
[00:00:25.000 --> 00:00:26.000]  在這個世界上
[00:00:26.000 --> 00:00:27.000]  在這個世界上
[00:00:27.000 --> 00:00:28.000]  比競權的人
[00:00:28.000 --> 00:00:29.000]  比進錢的人
[00:00:29.000 --> 00:00:31.000]  更通
[00:00:31.000 --> 00:00:33.000]  更加通通
[00:00:33.000 --> 00:00:35.000]  好像不公道
[00:00:35.000 --> 00:00:37.000]  好像不公平
[00:00:37.000 --> 00:00:41.000]  在這個俗語裡有句說話
[00:00:41.000 --> 00:00:43.000]  有這麼一句俗語
[00:00:43.000 --> 00:00:46.000]  奸奸攪攪
[00:00:46.000 --> 00:00:48.000]  就是奸奸攪攪
[00:00:48.000 --> 00:00:50.000]  煎煎炒炒
[00:00:50.000 --> 00:00:54.000]  煎煎炒炒就是有飯吃
[00:00:54.000 --> 00:00:57.000]  奸奸炒炒有飯吃
[00:00:57.000 --> 00:00:59.000]  奸攪的人
[00:00:59.000 --> 00:01:00.000]  煎攪的人
[00:01:00.000 --> 00:01:02.000]  大魚大肉
[00:01:02.000 --> 00:01:03.000]  大魚大肉
[00:01:03.000 --> 00:01:04.000]  是不是
[00:01:04.000 --> 00:01:05.000]  忠忠直直
[00:01:05.000 --> 00:01:07.000]  就忠忠直直
[00:01:07.000 --> 00:01:08.000]  下面那句
[00:01:08.000 --> 00:01:10.000]  忠雖乞食
[00:01:10.000 --> 00:01:13.000]  其實這個觀察
[00:01:13.000 --> 00:01:15.000]  這個觀察
[00:01:15.000 --> 00:01:16.000]  不只是聖經有
[00:01:16.000 --> 00:01:17.000]  不過聖經有
[00:01:17.000 --> 00:01:20.000]  我們坊間都流行
[00:01:20.000 --> 00:01:22.000]  民間也這麼流行
[00:01:22.000 --> 00:01:24.000]  似乎好人
[00:01:24.000 --> 00:01:25.000]  似乎好人
[00:01:25.000 --> 00:01:27.000]  無好過
[00:01:27.000 --> 00:01:29.000]  無論得到好報
[00:01:29.000 --> 00:01:30.000]  以前聖經呢
[00:01:30.000 --> 00:01:32.000]  這一代聖經呢
[00:01:32.000 --> 00:01:33.000]  似乎有這個現象
[00:01:33.000 --> 00:01:35.000]  似乎有這個現象
[00:01:35.000 --> 00:01:37.000]  來到列王記下十四章
[00:01:37.000 --> 00:01:39.000]  列王記下十四章
[00:01:39.000 --> 00:01:44.000]  南郭的王叫阿瑪謝
[00:01:44.000 --> 00:01:47.000]  南郭的王叫阿瑪謝
[00:01:47.000 --> 00:01:48.000]  你見不見到
[00:01:48.000 --> 00:01:51.000]  作者都給他五十分
[00:01:51.000 --> 00:01:52.000]  你有沒有看到
[00:01:52.000 --> 00:01:53.000]  作者都給他五十分
[00:01:53.000 --> 00:01:54.000]  不錯
[00:01:54.000 --> 00:01:56.000]  你見不見到我的大綱
[00:01:56.000 --> 00:01:58.000]  你看我的大綱
[00:01:58.000 --> 00:02:02.000]  大綱有一點叫做什麼
[00:02:02.000 --> 00:02:04.000]  大致上好
