
[00:00:00.000 --> 00:00:01.520]  大興姐妹,早晨!
[00:00:01.520 --> 00:00:04.720]  接下來農曆新年,預祝大家新年蒙福!
[00:00:04.720 --> 00:00:07.120]  跟著是鳳得力!
[00:00:07.120 --> 00:00:11.000]  今天我們繼續思想詩篇的經文
[00:00:11.000 --> 00:00:14.560]  今天這段詩真的很好,只有三節
[00:00:14.560 --> 00:00:17.080]  剛才也說了,我們背出來也不行
[00:00:17.080 --> 00:00:19.520]  非常熟悉的一篇詩篇
[00:00:19.520 --> 00:00:23.120]  《大興和睦同居何等的禪何等的美》
[00:00:23.120 --> 00:00:24.560]  這是《尚行之詩》
[00:00:24.560 --> 00:00:27.080]  一會兒我們又說什麼是《尚行之詩》呢?
[00:00:27.080 --> 00:00:30.240]  《尚行之詩》到底有什麼意思呢?
[00:00:30.240 --> 00:00:33.920]  在說經文之前,我想問大家一個小問題
[00:00:33.920 --> 00:00:39.520]  過去一個星期,在新聞報章中
[00:00:39.520 --> 00:00:42.240]  我不知道大家是怎樣接觸這個新聞
[00:00:42.240 --> 00:00:51.440]  你覺得誰最讓你關注到他的動態?
[00:00:51.440 --> 00:00:53.280]  小暴鼠?
[00:00:53.280 --> 00:00:54.640]  小紅鼠!
[00:00:54.640 --> 00:00:57.320]  你看小紅鼠比較多
[00:00:57.320 --> 00:01:01.160]  前面兩堂就說,很快有人說是特朗普
[00:01:01.160 --> 00:01:03.960]  特朗普最近有很多新聞
[00:01:03.960 --> 00:01:10.080]  的確是上任,我們也關注政治時局
[00:01:10.080 --> 00:01:12.760]  到底他會做什麼安排等等
[00:01:12.760 --> 00:01:17.040]  有一個新聞也讓我覺得很特別
[00:01:17.040 --> 00:01:19.240]  不知道大家有沒有看這個新聞
[00:01:19.240 --> 00:01:21.960]  特朗普和他的家人,還有副總統
[00:01:21.960 --> 00:01:25.080]  一起參加了一個崇拜
[00:01:25.080 --> 00:01:26.480]  我想問大家一個問題
[00:01:26.480 --> 00:01:28.320]  特朗普本身是不是基督徒?
[00:01:28.320 --> 00:01:31.800]  有沒有人知道?
[00:01:31.800 --> 00:01:33.720]  他好像沒有自稱自己是
[00:01:33.720 --> 00:01:35.400]  但是他經常說《聖經》
[00:01:35.400 --> 00:01:37.240]  很支持《聖經》的原則
[00:01:37.240 --> 00:01:43.360]  甚至聽說他為一本《聖經》代言
[00:01:43.360 --> 00:01:45.920]  有他的名字在上面
[00:01:45.920 --> 00:01:49.160]  收一下代言費也不錯,幾十萬美金
[00:01:49.160 --> 00:01:51.480]  當然,很多基督徒支持他
[00:01:51.480 --> 00:01:56.680]  其實他少有參加崇拜
[00:01:56.680 --> 00:02:00.280]  不過在他就職的期間
[00:02:00.280 --> 00:02:05.080]  他特地去了華盛頓聖公會參加一堂崇拜
[00:02:05.080 --> 00:02:09.800]  不過,崇拜講的講員是一位主教
[00:02:09.800 --> 00:02:11.360]  一位女牧師
[00:02:11.360 --> 00:02:15.200]  在講道裡面,你感受到
[00:02:15.200 --> 00:02:16.840]  如果有一個總統坐在你面前
[00:02:16.840 --> 00:02:19.160]  坐在第一排,整排人坐在那裡
[00:02:19.160 --> 00:02:21.720]  你會說些什麼呢?
[00:02:21.720 --> 00:02:23.480]  當然是說神的說話
[00:02:23.480 --> 00:02:25.040]  但是說著說著的時候
[00:02:25.040 --> 00:02:28.240]  這位女牧師說了一句話
[00:02:28.240 --> 00:02:30.880]  她對著特朗普說
[00:02:30.880 --> 00:02:34.080]  總統,我希望以神的名
[00:02:34.080 --> 00:02:37.400]  我請求你憐憫我們國家
[00:02:37.400 --> 00:02:41.280]  正是處於驚恐的民眾
[00:02:41.280 --> 00:02:42.640]  驚恐之中的民眾
[00:02:42.640 --> 00:02:44.240]  她在說些什麼呢?
[00:02:44.240 --> 00:02:47.600]  原來她呼籲特朗普總統
[00:02:47.600 --> 00:02:50.160]  要憐憫一些的聖小眾
[00:02:50.160 --> 00:02:52.520]  以及一些的移民
[00:02:52.520 --> 00:02:54.520]  特朗普上場之後
[00:02:54.520 --> 00:02:56.480]  他簽了很多行政命令
[00:02:56.480 --> 00:02:58.720]  大家可能關注很多不同的行政命令
[00:02:58.720 --> 00:03:01.640]  其中一件事就是說
[00:03:01.640 --> 00:03:06.600]  聯邦政府以後只承認兩個的性別
[00:03:06.600 --> 00:03:08.440]  是哪兩個性別?
[00:03:08.440 --> 00:03:12.080]  男女,這個本來是很正常的事情
[00:03:12.080 --> 00:03:14.160]  但是,原來不是
[00:03:14.160 --> 00:03:16.480]  原來美國的聯邦政府之前
[00:03:16.480 --> 00:03:19.520]  不只兩個性別,還有其他性別
