
[00:00:00.000 --> 00:00:04.640]  回想起小學時或中學時
[00:00:04.640 --> 00:00:08.960]  或者在群體裏
[00:00:08.960 --> 00:00:14.080]  如果當時要選頒獎或組長或頒代表
[00:00:14.080 --> 00:00:16.960]  你記不記得你的同學是怎樣的?
[00:00:16.960 --> 00:00:18.880]  或者你自己是怎樣的?
[00:00:18.880 --> 00:00:20.400]  坐直一點
[00:00:20.400 --> 00:00:22.800]  讓老師見到你
[00:00:22.800 --> 00:00:26.320]  讓你被選上
[00:00:26.320 --> 00:00:29.120]  可能你真的很開心被選上
[00:00:29.120 --> 00:00:33.680]  可以做頒代表或頒獎或組長
[00:00:33.680 --> 00:00:35.200]  但不知為何
[00:00:35.200 --> 00:00:38.720]  人長大後
[00:00:38.720 --> 00:00:41.520]  可能不知甚麼原因
[00:00:41.520 --> 00:00:45.040]  總之在工作上或甚麼環境
[00:00:45.040 --> 00:00:47.920]  要選代表或幫手時
[00:00:47.920 --> 00:00:50.640]  我不知道你還會否坐得很直
[00:00:50.640 --> 00:00:53.120]  還是坐低一點
[00:00:53.120 --> 00:00:54.240]  頭低一點
[00:00:54.240 --> 00:00:56.800]  看不到我
[00:00:56.800 --> 00:01:01.280]  倘若被選上之後
[00:01:01.280 --> 00:01:05.200]  我們都很想被選上
[00:01:05.200 --> 00:01:06.800]  但如果真的被選上
[00:01:06.800 --> 00:01:09.920]  是否很願意繼續承擔
[00:01:09.920 --> 00:01:12.960]  你要承擔的使命呢?
[00:01:12.960 --> 00:01:16.000]  今天讀三位一體的真神
[00:01:16.000 --> 00:01:18.960]  天父、爸爸、主耶穌、基督和聖靈
[00:01:18.960 --> 00:01:21.600]  在我們心裏繼續動功
[00:01:21.600 --> 00:01:24.400]  祂要選上你
[00:01:24.400 --> 00:01:27.920]  祂期待你成為活石
[00:01:27.920 --> 00:01:31.040]  你願不願意有這個身份呢?
[00:01:31.040 --> 00:01:34.640]  你願不願意被神雕琢、塑造
[00:01:34.640 --> 00:01:37.680]  成為合祂心意的石頭
