
[00:00:00.000 --> 00:00:02.000]  (錄音結束)
[00:00:31.000 --> 00:00:32.080]  有沒有也好
[00:00:32.080 --> 00:00:33.560]  你會發覺整體來說
[00:00:33.560 --> 00:00:35.440]  人的品德是越來越差
[00:00:35.440 --> 00:00:36.440]  沒有品的
[00:00:36.440 --> 00:00:39.040]  道路的公路越開越闊
[00:00:39.040 --> 00:00:40.360]  但是我們的氣量呢
[00:00:40.360 --> 00:00:41.560]  不可以說的
[00:00:41.560 --> 00:00:42.640]  越來越狹窄
[00:00:42.640 --> 00:00:44.120]  越來越狹隘
[00:00:44.120 --> 00:00:45.960]  我們看聖經
[00:00:45.960 --> 00:00:48.400]  我們也看到很多很吊詭的東西
[00:00:48.400 --> 00:00:51.160]  神是創始的
[00:00:51.160 --> 00:00:51.960]  創世的
[00:00:51.960 --> 00:00:53.160]  但是祂又成鐘的
[00:00:53.160 --> 00:00:54.080]  祂又是α
[00:00:54.080 --> 00:00:55.120]  又是ω
[00:00:55.120 --> 00:00:56.640]  什麼
[00:00:56.640 --> 00:00:59.480]  本來是在前面而已
[00:00:59.480 --> 00:01:01.040]  又變成了在後面
[00:01:01.040 --> 00:01:03.000]  很多吊詭的東西
[00:01:03.000 --> 00:01:04.920]  的而且確的
[00:01:04.920 --> 00:01:06.760]  所以今天我的講題
[00:01:06.760 --> 00:01:08.760]  從哥林多後書七章五至十六節
[00:01:08.760 --> 00:01:11.200]  都是講一個很吊詭的講題
[00:01:11.200 --> 00:01:13.440]  出死入生的憂愁
[00:01:13.440 --> 00:01:16.480]  因為剛才主席領我們讀的經文
[00:01:16.480 --> 00:01:18.520]  七次講了憂愁
[00:01:18.520 --> 00:01:20.400]  或者不同的版本是說憂傷
[00:01:20.400 --> 00:01:22.840]  但是經文同一段落裡面
[00:01:22.840 --> 00:01:24.800]  就講到憂愁
[00:01:24.800 --> 00:01:26.400]  就帶來什麼呢?
[00:01:26.400 --> 00:01:27.320]  安慰
[00:01:27.600 --> 00:01:29.840]  又帶來一些改變
[00:01:29.840 --> 00:01:32.080]  生出了一連串的特質
[00:01:32.080 --> 00:01:35.200]  接著還說從死而得生
[00:01:35.200 --> 00:01:36.480]  是不是很吊詭呢?
[00:01:36.480 --> 00:01:38.880]  先交代背景吧
[00:01:38.880 --> 00:01:41.000]  雖然說這堂是哥林多後書
[00:01:41.000 --> 00:01:42.560]  已經進入第八講了
[00:01:42.560 --> 00:01:44.560]  相信大家起碼還會記得
[00:01:44.560 --> 00:01:48.320]  哥林多教會是保羅第二次宣教旅程的時候建立的
[00:01:48.320 --> 00:01:52.960]  他留在哥林多教會大概一年半的時間才離開
[00:01:52.960 --> 00:01:55.400]  不過離開不是斷絕關係
[00:01:55.600 --> 00:02:00.000]  他仍然最低限度有兩次重回哥林多教會
[00:02:00.000 --> 00:02:03.000]  也在整個過程當中
[00:02:03.000 --> 00:02:05.040]  他先後寫過好幾封信
[00:02:05.040 --> 00:02:06.880]  在哥林多前書我們看到
[00:02:06.880 --> 00:02:08.480]  講的是一封先前的信
[00:02:08.480 --> 00:02:10.000]  我們知道哥林多前書
[00:02:10.000 --> 00:02:11.840]  已經是有兩封信
[00:02:11.840 --> 00:02:14.920]  在哥林多後書又提到一封流淚的信
[00:02:14.920 --> 00:02:17.120]  就是說起碼我們知道也有四封信
[00:02:17.120 --> 00:02:18.080]  知道的也好
[00:02:18.080 --> 00:02:19.680]  但是無論如何
[00:02:19.680 --> 00:02:22.000]  在聖經裡面只是收錄了兩封信而已
[00:02:22.000 --> 00:02:24.280]  為什麼寫這麼多封信呢?
[00:02:25.080 --> 00:02:26.360]  在哥林多後書
[00:02:26.360 --> 00:02:29.440]  就是在講一封先前的信
[00:02:29.440 --> 00:02:33.240]  可能是哥林多之前的那封信
[00:02:33.240 --> 00:02:34.640]  還有哥林多前書
[00:02:34.640 --> 00:02:38.920]  是令到教會對他有一些意見
[00:02:38.920 --> 00:02:43.200]  可能覺得保羅的教導太過嚴
[00:02:43.200 --> 00:02:44.040]  也未定
[00:02:44.040 --> 00:02:46.280]  也可能會覺得
[00:02:46.280 --> 00:02:47.160]  保羅
[00:02:47.160 --> 00:02:50.720]  你究竟是什麼人?
[00:02:50.720 --> 00:02:51.680]  你什麼身份?
[00:02:51.680 --> 00:02:53.560]  十二門徒都沒有你的份
[00:02:53.680 --> 00:02:56.800]  你走過來真的當自己是很有權威地講
[00:02:56.800 --> 00:02:58.200]  你真的不行
[00:02:58.200 --> 00:03:01.760]  再加上保羅離開了哥林多教會之後
[00:03:01.760 --> 00:03:04.960]  從耶路撒冷來的一些
[00:03:04.960 --> 00:03:07.680]  自己說自己很有輩份的
[00:03:07.680 --> 00:03:08.880]  拿著一封戰信
[00:03:08.880 --> 00:03:10.240]  誰推薦我的?
[00:03:10.240 --> 00:03:12.360]  不過當天不是今天世界
[00:03:12.360 --> 00:03:14.400]  今天世界打個電話查一查就知道了
[00:03:14.400 --> 00:03:15.240]  Fax過去
[00:03:15.240 --> 00:03:16.920]  這個簽名是不是你的?
[00:03:16.920 --> 00:03:18.640]  當天沒有這個過濟場
[00:03:18.640 --> 00:03:20.840]  拿一封信也不知道是不是冒充的
[00:03:21.160 --> 00:03:24.520]  就自薦自己是最大的使徒很了不起的
[00:03:24.520 --> 00:03:26.440]  了不起的比彼得
[00:03:26.440 --> 00:03:28.360]  彼得是在耶路撒冷的
[00:03:28.360 --> 00:03:29.240]  你都不是彼得
[00:03:29.240 --> 00:03:31.600]  這幫人來到的時候
[00:03:31.600 --> 00:03:35.040]  講了很多保羅的壞話
[00:03:35.040 --> 00:03:37.760]  包括他的使徒的身份
[00:03:37.760 --> 00:03:39.960]  包括他所傳的道
[00:03:39.960 --> 00:03:45.560]  包括一些用一個很特殊的角度去看待保羅
[00:03:45.560 --> 00:03:47.680]  總之就是詆毀保羅
[00:03:47.680 --> 00:03:50.760]  保羅雖然不在伊夫索
[00:03:50.960 --> 00:03:54.880]  他聽到哥倫多人竟然信了這幫人在亂說話
