
[00:00:00.000 --> 00:00:02.000]  好 弟兄姊妹早晨
[00:00:02.000 --> 00:00:06.360]  很高興再一次可以和各位
[00:00:06.360 --> 00:00:09.480]  雖然在網上 但我們都是一同的
[00:00:09.480 --> 00:00:12.560]  百分之百的 一模一樣的
[00:00:12.560 --> 00:00:17.880]  完全沒有任何缺少的
[00:00:17.880 --> 00:00:21.680]  和我們過去一樣的去敬拜我們的主
[00:00:21.680 --> 00:00:23.880]  還有一陣子
[00:00:23.880 --> 00:00:29.680]  大家都會花一些時間可能會回顧過去2020年
[00:00:29.680 --> 00:00:32.880]  很多人形容過去的一年
[00:00:32.880 --> 00:00:35.960]  2020年是相當糟糕的一年
[00:00:35.960 --> 00:00:38.920]  的確我相信過去
[00:00:38.920 --> 00:00:44.360]  大家好像過了空白的一年 會不會呢?
[00:00:44.360 --> 00:00:48.320]  這一年我們都沒有什麼外遊
[00:00:48.320 --> 00:00:50.840]  我們都沒有什麼出街
[00:00:50.840 --> 00:00:55.840]  我們腦裏好像沒有什麼回憶
[00:00:55.840 --> 00:00:57.000]  不知道會不會
[00:00:57.000 --> 00:01:01.800]  生命好像彷彿不知道怎樣已經飛過了一樣
[00:01:01.800 --> 00:01:06.200]  但是如果我們試一下反過來想
[00:01:06.200 --> 00:01:08.200]  這麼不堪的一年
[00:01:08.200 --> 00:01:12.040]  如果真的完全沒有存在過的話
[00:01:12.040 --> 00:01:14.360]  在我們的生命裏面
[00:01:14.360 --> 00:01:16.720]  是不是真的這麼無所謂呢?
[00:01:16.720 --> 00:01:22.400]  近期常常都聽到別人去說一句說話
[00:01:22.400 --> 00:01:26.400]  不要浪費我的疫情
[00:01:27.200 --> 00:01:31.240]  聽起來這句說話就好像當一個人
[00:01:31.240 --> 00:01:34.000]  他失戀之後
[00:01:34.000 --> 00:01:35.280]  他很傷心
[00:01:35.280 --> 00:01:38.280]  但是當他情緒恢復了一點的時候
[00:01:38.280 --> 00:01:41.280]  都同樣要思考一下的一件事一樣
[00:01:41.280 --> 00:01:43.960]  一段很痛苦的經歷
[00:01:43.960 --> 00:01:47.320]  越是應該要抓緊在經歷裏面
[00:01:47.320 --> 00:01:48.720]  會不會有什麼值得
[00:01:48.720 --> 00:01:51.520]  正面的東西值得去學習呢?
[00:01:51.520 --> 00:01:52.840]  因為這樣
[00:01:52.840 --> 00:01:55.840]  這個人才有機會去成長
[00:01:55.840 --> 00:02:01.840]  不至於自己不斷繼續在自憐當中徘徊
[00:02:01.840 --> 00:02:05.920]  我們有沒有想過會不會同樣上帝都是
[00:02:05.920 --> 00:02:08.680]  藉著這個疫情
[00:02:08.680 --> 00:02:11.200]  都很想給我們一些東西
[00:02:11.200 --> 00:02:13.200]  給我們去反思一下
[00:02:13.200 --> 00:02:15.200]  給我們一個功課
[00:02:15.200 --> 00:02:19.400]  可能這個機會
[00:02:19.400 --> 00:02:23.400]  已經隨著現在疫苗開始出現
[00:02:23.400 --> 00:02:26.280]  時間又不是太多了
[00:02:26.280 --> 00:02:29.400]  可能當疫情過後我們又會很忙
[00:02:29.400 --> 00:02:34.800]  我們又未必有現在這種空間心情去做這件事
[00:02:34.800 --> 00:02:39.200]  所以都值得這個時候我們去想一想
[00:02:39.200 --> 00:02:41.200]  2020年我們一同
[00:02:41.200 --> 00:02:43.200]  起碼我們一起經歷了
[00:02:43.200 --> 00:02:44.200]  就好像今天一樣
[00:02:44.200 --> 00:02:49.200]  大家很少有機會去實體聚會的一年
[00:02:49.200 --> 00:02:57.200]  對於不善於或者不樂於去網上聚會的一群頂姐妹來說
[00:02:57.200 --> 00:03:03.200]  更加是經歷了近乎好像沒有聚會過的一年
[00:03:03.200 --> 00:03:08.200]  可能回到現在我身處的這個空間的機會
[00:03:08.200 --> 00:03:11.200]  以前是每個星期不止一次
[00:03:11.200 --> 00:03:13.200]  但是可能過去一年
[00:03:13.200 --> 00:03:15.200]  可能十隻手指都數得出來
[00:03:15.200 --> 00:03:16.200]  都不奇怪
