
[00:00:00.000 --> 00:00:05.140]  我們剛剛過了一個禮拜六就讀了《耳私貼記》
[00:00:05.140 --> 00:00:10.140]  我們繼續努力讀聖經 讀《舊約聖經》裡面
[00:00:10.140 --> 00:00:16.460]  在《舊約聖經》裡面我們找到傑索基督的影子
[00:00:16.460 --> 00:00:18.400]  如果你看我們讀經計劃
[00:00:18.400 --> 00:00:22.760]  如果你去年8月1號開始和我們讀這個《舊約聖經》的話
[00:00:22.760 --> 00:00:29.300]  你會發現其實我們剩下大概六、七個禮拜我們就讀完了
[00:00:29.300 --> 00:00:31.800]  你現在想一下 我們今天8月21號
[00:00:31.800 --> 00:00:37.300]  如果你算起來就下去1、2、3、4、5、6 六個禮拜
[00:00:37.300 --> 00:00:42.300]  就是說我們讀經加油站去到第48站
[00:00:42.300 --> 00:00:44.600]  就差不多可以完結了
[00:00:44.600 --> 00:00:47.860]  我之前都有想過會不會繼續講下去
[00:00:47.860 --> 00:00:49.900]  或者比如說《新約聖經》
[00:00:49.900 --> 00:00:54.780]  其實以前之前我《新約聖經》都已經講過了
[00:00:54.780 --> 00:00:58.800]  或者我們到時候可以去做一些溫習
[00:00:58.800 --> 00:01:01.360]  但是我想到10月的時候
[00:01:01.360 --> 00:01:04.280]  我從我自己工作上面的安排
[00:01:04.280 --> 00:01:10.160]  我都是要全力去準備這個英語崇拜的開始等等
[00:01:10.160 --> 00:01:16.860]  我想到時候都應該是一個正確的時候去結束的了
[00:01:16.860 --> 00:01:20.800]  今天如果你看我們讀經的計劃
[00:01:20.800 --> 00:01:24.140]  就應該是去到《兒西傑書》的中部
[00:01:24.140 --> 00:01:29.060]  或者已經過了中間了 《兒西傑書》第31章、32章
[00:01:29.060 --> 00:01:30.760]  但是因為前面幾個禮拜
[00:01:30.760 --> 00:01:32.600]  我們都沒有機會講《兒西傑書》
[00:01:32.600 --> 00:01:34.960]  我們的加油站都是講其它東西
[00:01:34.960 --> 00:01:37.800]  我今天就想和你講起
[00:01:37.800 --> 00:01:42.360]  介紹一下《兒西傑書》究竟是一本什麼書呢?
[00:01:42.360 --> 00:01:43.480]  應該怎麼去明白?
[00:01:43.480 --> 00:01:49.420]  今天我的經文就會是《兒西傑書》第11章的
[00:01:49.420 --> 00:01:54.300]  但是我就想和你有一個大的圖畫去看一下《兒西傑書》
[00:01:54.300 --> 00:01:55.380]  究竟講些什麼?
[00:01:55.380 --> 00:01:57.560]  《兒西傑書》都是其中一本聖經
[00:01:57.560 --> 00:02:00.740]  我想大先知書裡面都是很困難的
[00:02:00.740 --> 00:02:02.120]  大先知都很困難的了
[00:02:02.120 --> 00:02:04.860]  我們那個時候讀過《以賽亞書》
[00:02:04.860 --> 00:02:08.700]  《雙城記》就是新舊的耶路撒冷
[00:02:08.700 --> 00:02:12.020]  我們遲一些會讀《大易尼書》
[00:02:12.020 --> 00:02:16.280]  《大易尼書》就有它容易也有它難的地方
[00:02:16.280 --> 00:02:18.700]  我們之前有看過《耶利米書》
[00:02:18.700 --> 00:02:21.020]  還有《耶利米愛歌》都挺困難的
[00:02:21.020 --> 00:02:23.340]  《兒西傑》是另外一個大先知
[00:02:23.340 --> 00:02:25.680]  就是48章的聖經
[00:02:25.680 --> 00:02:28.840]  所謂大先知就是說寫的東西特別長
[00:02:28.840 --> 00:02:33.660]  都是挺困難去明白 怎麼去明白呢?
[00:02:33.660 --> 00:02:37.400]  我今天要錄的這個《加油站》
[00:02:37.400 --> 00:02:40.420]  我就給了大家一個簡單容易記的題目
[00:02:40.420 --> 00:02:42.180]  《兒西傑書》是關於什麼的呢?
[00:02:42.180 --> 00:02:46.320]  《兒西傑書》是關於寂寞難耐三十歲
[00:02:46.320 --> 00:02:48.440]  寂寞難耐三十歲
