
[00:00:00.000 --> 00:00:02.580]  今天我們要和大家思想的是
[00:00:02.580 --> 00:00:04.700]  《約翰福音》第21章
[00:00:04.700 --> 00:00:07.540]  裏面有一個很熟悉的神蹟
[00:00:07.540 --> 00:00:11.080]  似乎我們以前都看過的
[00:00:11.080 --> 00:00:16.160]  這張聖經是講到耶穌復活之後
[00:00:16.160 --> 00:00:22.600]  門徒有一次聚集在加里尼的提比里亞海邊
[00:00:22.600 --> 00:00:24.780]  就是這個加里尼湖
[00:00:24.780 --> 00:00:26.540]  在那個地方他們去打魚
[00:00:26.540 --> 00:00:29.640]  然後整晚打不到魚
[00:00:29.640 --> 00:00:33.560]  早上的時候耶穌說你們把網殺到右邊去
[00:00:33.560 --> 00:00:36.780]  其實一殺網的時候
[00:00:36.780 --> 00:00:42.940]  整個網都是大魚153條
[00:00:42.940 --> 00:00:47.200]  這個和我們以前在《路加福音》第五章
[00:00:47.200 --> 00:00:52.160]  所看到的那個神蹟是很相似的
[00:00:52.160 --> 00:00:54.920]  耶穌說呼召彼得
[00:00:54.920 --> 00:01:00.540]  成為得人如得魚的仕途
[00:01:00.540 --> 00:01:05.100]  是很相似的一個神蹟
[00:01:05.100 --> 00:01:09.900]  所以我們要看今天這一章的聖經
[00:01:09.900 --> 00:01:14.160]  我們分兩次來和大家討論
[00:01:14.160 --> 00:01:17.140]  這一章聖經裏面很寶貴的信息
[00:01:17.140 --> 00:01:19.720]  首先我們要看到的就是
[00:01:19.720 --> 00:01:22.600]  《約翰福音》第21章有很多人
[00:01:22.600 --> 00:01:31.740]  認為21章和前面20章好像沒有什麼的關聯
[00:01:31.740 --> 00:01:35.480]  《約翰福音》應該是到20章就完的了
[00:01:35.480 --> 00:01:40.440]  為什麼要加上這樣一章的聖經在21章那裏呢?
[00:01:40.440 --> 00:01:43.200]  所以有些人就覺得這個可能是一個附錄
[00:01:43.200 --> 00:01:47.400]  就是說《約翰福音》寫好這個福音書之後
[00:01:47.400 --> 00:01:52.720]  後來才有人將這章聖經加上去
[00:01:52.720 --> 00:01:57.280]  但是我們相信這個看法是不正確的
[00:01:57.280 --> 00:02:00.960]  如果《約翰福音》只有一至二十章
[00:02:00.960 --> 00:02:02.280]  沒有21章
[00:02:02.280 --> 00:02:07.640]  就不是一卷完整的福音書
[00:02:07.640 --> 00:02:13.080]  就好像羅馬書只有第一章、第十一章
[00:02:13.080 --> 00:02:14.920]  說到耶穌在那裏救恩
[00:02:14.920 --> 00:02:18.560]  但是沒有了十二章以後的經文
[00:02:18.560 --> 00:02:23.520]  如果羅馬書沒有了十二章以後的經文
[00:02:23.520 --> 00:02:31.400]  我們就不知道怎樣將自己奉獻給神
[00:02:31.400 --> 00:02:33.600]  一個完全順服主的生活
