
[00:00:00.000 --> 00:00:07.600]  上次和大家開始講了索羅門王和舒拉蜜的愛情故事
[00:00:07.600 --> 00:00:14.240]  我們說索羅門王是以牧羊人的身份來和舒拉蜜見面
[00:00:14.240 --> 00:00:16.960]  兩個人彼此相愛了
[00:00:16.960 --> 00:00:20.080]  今天開始要和大家講的
[00:00:20.080 --> 00:00:24.320]  就是他們的感情開始有少少的障礙出現
[00:00:24.320 --> 00:00:30.480]  所以今天我叫這個主題是如何排除感情的障礙
[00:00:30.480 --> 00:00:36.480]  其實雅歌是神給我們夫妻間的一部手冊
[00:00:36.480 --> 00:00:42.480]  非常實用可以幫助我們解決任何感情上的問題
[00:00:42.480 --> 00:00:48.480]  我今天的經文是會講二章八節至到三章五節
[00:00:48.480 --> 00:00:52.880]  剛才周長老和沙妮都已經幫我們讀了
[00:00:52.880 --> 00:01:00.560]  我們來看看究竟他們兩個愛人之間發生了什麼障礙
[00:01:00.560 --> 00:01:03.760]  第一個障礙是實體上的障礙
[00:01:03.760 --> 00:01:08.480]  我們知道索羅門王在耶路撒冷的宮殿裡
[00:01:08.480 --> 00:01:09.680]  在南邊
[00:01:09.680 --> 00:01:11.840]  而舒拉蜜就在北邊
[00:01:11.840 --> 00:01:14.160]  在近加利利的地方
[00:01:14.160 --> 00:01:16.560]  兩個人相隔很遠
[00:01:16.560 --> 00:01:19.920]  尤其是到了冬天這條路就很難走
[00:01:19.920 --> 00:01:23.760]  所以有實體上路途上的障礙
[00:01:23.760 --> 00:01:28.880]  他們之間亦都可能有些工作上的障礙
[00:01:28.880 --> 00:01:34.320]  我們見到索羅門王有些公事需要處理
[00:01:34.320 --> 00:01:37.840]  以致他們兩個人之間有少少的阻隔
[00:01:37.840 --> 00:01:43.520]  最後舒拉蜜是准許索羅門王處理這些事情
[00:01:43.520 --> 00:01:48.960]  但這樣又形成了他們兩個人之間有時空上的阻隔
[00:01:48.960 --> 00:01:50.960]  兩個人要分開
[00:01:50.960 --> 00:01:54.720]  我們一起來看看這些不同的障礙
[00:01:54.720 --> 00:01:58.880]  第一就是實體上路途上的障礙
[00:01:58.880 --> 00:02:05.360]  如果我們記得耶穌基督曾經在馬太福音的二十四章二十節
[00:02:05.360 --> 00:02:11.360]  祂說到將來有個狄基督會來追殺猶太人
[00:02:11.360 --> 00:02:14.720]  祂說希望猶太人逃走的時候
[00:02:14.720 --> 00:02:19.040]  不要預著安息日不要預著冬天
[00:02:19.040 --> 00:02:23.680]  我們知道安息日是猶太人的節日
[00:02:23.680 --> 00:02:25.680]  而且是安息日
