
[00:00:00.000 --> 00:00:01.300]  親愛的主多謝祢
[00:00:01.300 --> 00:00:04.800]  新年我們都是隨舊迎新的日子
[00:00:04.800 --> 00:00:07.000]  主願意我們在基督裡
[00:00:07.000 --> 00:00:09.000]  都是作新造的人
[00:00:09.000 --> 00:00:10.300]  主求祢恩待
[00:00:10.300 --> 00:00:11.800]  叫我們在祢的裡面
[00:00:11.800 --> 00:00:15.000]  都成為主祢自己所喜悅的理類
[00:00:15.000 --> 00:00:16.000]  多謝恩主
[00:00:16.000 --> 00:00:17.500]  祢常與我們同在
[00:00:17.500 --> 00:00:18.500]  感謝祢
[00:00:18.500 --> 00:00:19.800]  聽我們禱告
[00:00:19.800 --> 00:00:21.000]  奉主名求
[00:00:21.000 --> 00:00:22.000]  阿們
[00:00:22.000 --> 00:00:26.000]  有沒有人還沒信耶穌的?
[00:00:26.000 --> 00:00:28.000]  有沒有人還沒信耶穌的?
[00:00:28.000 --> 00:00:32.000]  還沒信耶穌的也不要緊
[00:00:32.000 --> 00:00:33.000]  聽完這篇道
[00:00:33.000 --> 00:00:37.000]  希望你有機會確切地認識耶穌
[00:00:37.000 --> 00:00:38.000]  其實更加重要的是
[00:00:38.000 --> 00:00:40.000]  我想說給弟兄姊妹們知道
[00:00:40.000 --> 00:00:42.000]  今天如果你作為基督徒
[00:00:42.000 --> 00:00:46.000]  我很想大家在生命裡面
[00:00:46.000 --> 00:00:48.000]  我們認識更加多
[00:00:48.000 --> 00:00:52.000]  怎樣可以在基督裡面成為新造的人
[00:00:52.000 --> 00:00:55.000]  如果作為基督徒
[00:00:55.000 --> 00:00:57.000]  其實我們在這個世界
[00:00:57.000 --> 00:00:59.000]  就成為新的人類
[00:00:59.000 --> 00:01:01.000]  新的人類的意思就是說
[00:01:01.000 --> 00:01:03.000]  在我們的生命裡面
[00:01:03.000 --> 00:01:07.000]  懂得注目在永恆的事上
[00:01:07.000 --> 00:01:10.000]  但是有一個困難
[00:01:10.000 --> 00:01:13.000]  我們仍然是在這個世界
[00:01:13.000 --> 00:01:15.000]  這個世界所想所看
[00:01:15.000 --> 00:01:17.000]  和我們作為基督徒
[00:01:17.000 --> 00:01:18.000]  有多少不同呢?
[00:01:18.000 --> 00:01:19.000]  有多少分別呢?
[00:01:19.000 --> 00:01:21.000]  又或者在我們的信仰裡面
[00:01:21.000 --> 00:01:23.000]  從神的角度
[00:01:23.000 --> 00:01:25.000]  我們怎樣去看這個世界
[00:01:25.000 --> 00:01:27.000]  就很重要
[00:01:27.000 --> 00:01:29.000]  每年我們都會過年
[00:01:29.000 --> 00:01:32.000]  每年過年的日子
[00:01:32.000 --> 00:01:34.000]  我們都會思想一件事
[00:01:34.000 --> 00:01:36.000]  我們小時候做小朋友
[00:01:36.000 --> 00:01:39.000]  爸爸媽媽給我們一封利是
[00:01:39.000 --> 00:01:40.000]  然後說又過年了
[00:01:40.000 --> 00:01:42.000]  又大一歲了
[00:01:42.000 --> 00:01:45.000]  其實如果我們不過年
[00:01:45.000 --> 00:01:46.000]  就不知道我們大一歲了
[00:01:46.000 --> 00:01:47.000]  是不是這樣呢?
[00:01:47.000 --> 00:01:50.000]  又或者姐妹們不要說過年了
[00:01:50.000 --> 00:01:52.000]  過年又被人提
[00:01:52.000 --> 00:01:54.000]  我們又大一歲了
[00:01:54.000 --> 00:01:56.000]  其實就很不想
[00:01:56.000 --> 00:01:58.000]  我們不要給年紀
[00:01:58.000 --> 00:02:00.000]  我們不要給時間
[00:02:00.000 --> 00:02:03.000]  去限制我們在地上的日子
[00:02:03.000 --> 00:02:05.000]  又或者我們應該有的生命
[00:02:05.000 --> 00:02:07.000]  聖經裡面
[00:02:07.000 --> 00:02:10.000]  哥林多後書第五章
[00:02:10.000 --> 00:02:12.000]  其實今天是看第一節
[00:02:12.000 --> 00:02:14.000]  直到第十七節
[00:02:14.000 --> 00:02:16.000]  第一節開始
[00:02:16.000 --> 00:02:17.000]  聖經這一段
[00:02:17.000 --> 00:02:19.000]  一節四節這一段就說
[00:02:19.000 --> 00:02:20.000]  因為我們知道
[00:02:20.000 --> 00:02:23.000]  我們在地上的時候
[00:02:23.000 --> 00:02:25.000]  我們地上的帳篷
[00:02:25.000 --> 00:02:28.000]  如果拆毀了
[00:02:28.000 --> 00:02:32.000]  我們將有神所做的居所
[00:02:32.000 --> 00:02:34.000]  不是人手所做的
[00:02:34.000 --> 00:02:37.000]  而是天上永存的
[00:02:37.000 --> 00:02:40.000]  我們在這個帳幕裡面
[00:02:40.000 --> 00:02:44.000]  嘆息渴望得到
