
[00:00:00.000 --> 00:00:04.420]  今天要講到的經文就是《馬太福音》第十章,十六至三十一節
[00:00:04.420 --> 00:00:10.680]  剛剛跟Pastor Kenji講完之後
[00:00:10.680 --> 00:00:16.680]  他就告訴我原來Pastor Bianca打算未來十一月也講
[00:00:16.680 --> 00:00:20.640]  我驟眼看下去,他不在席間
[00:00:20.640 --> 00:00:23.920]  我想透過這個錄播告訴他
[00:00:23.920 --> 00:00:29.080]  你繼續講吧,經文這麼豐富,你沒理由講不出一些東西來的
[00:00:29.080 --> 00:00:32.240]  這段經文是《馬太福音》第十章
[00:00:32.240 --> 00:00:36.120]  《馬太福音》如果你已經聽了一年,我猜你已經厭了嗎?
[00:00:36.120 --> 00:00:39.280]  厭了也不要出聲,你先聽完這一堂吧
[00:00:39.280 --> 00:00:41.640]  因為之後那些就不關我的事了
[00:00:41.640 --> 00:00:43.760]  《馬太福音》有一個很大的特色
[00:00:43.760 --> 00:00:46.400]  就是它將耶穌基督的教訓
[00:00:46.400 --> 00:00:48.840]  跟種類分類
[00:00:48.840 --> 00:00:51.200]  成為了五篇的講章
[00:00:51.200 --> 00:00:55.560]  所以你讀《馬太福音》第十章,它很豐富是講宣教的
[00:00:55.560 --> 00:00:57.160]  講出去傳福音
[00:00:57.160 --> 00:01:00.000]  但是我們看回其他福音書也有類似的記載
[00:01:00.000 --> 00:01:03.120]  它是分佈在其他福音書不同的片段的
[00:01:03.120 --> 00:01:04.120]  你明白我的意思吧
[00:01:04.120 --> 00:01:08.560]  其實《馬太福音》第十章不是耶穌一篇的講章
[00:01:08.560 --> 00:01:10.560]  口氣講了這麼多東西
[00:01:10.560 --> 00:01:15.520]  而是馬太這個人將耶穌關於宣教的一些說話
[00:01:15.520 --> 00:01:18.040]  放在一起,是一個結集來的
[00:01:18.040 --> 00:01:20.800]  所以今天這一篇道其實挺難講的
[00:01:20.800 --> 00:01:22.640]  第一,比較難解釋
[00:01:22.640 --> 00:01:26.240]  如果是這樣的話,他上問下理的關係比較複雜
[00:01:26.240 --> 00:01:30.160]  翻譯上也有些會讓我們有誤解的地方
[00:01:30.160 --> 00:01:32.360]  今天也會用一點時間解釋一下
[00:01:32.360 --> 00:01:35.000]  另一個難處就是它很難講
[00:01:35.000 --> 00:01:37.440]  除了難解之外,它很難講
[00:01:37.440 --> 00:01:42.960]  因為它講的內容其實不是很容易接受的
[00:01:42.960 --> 00:01:44.440]  會有一點害怕
[00:01:44.440 --> 00:01:46.720]  會有一點傷感
[00:01:46.720 --> 00:01:49.920]  因為它在講基督徒面對的苦難
[00:01:49.920 --> 00:01:54.720]  OK,所以弟兄姊妹你要帶著心理準備
[00:01:54.720 --> 00:01:57.320]  今天這篇道是趕客的
[00:01:57.320 --> 00:02:01.600]  我經常覺得教會很喜歡講道是歡迎人們回來
[00:02:01.600 --> 00:02:03.240]  你聽完覺得感覺良好
[00:02:03.240 --> 00:02:05.360]  我在這裡真好
[00:02:05.360 --> 00:02:11.920]  的確有些經文是挑戰你的生命的
[00:02:11.920 --> 00:02:14.880]  問你我們現在去死了,你去不去?
[00:02:14.880 --> 00:02:16.840]  你想清楚吧
[00:02:16.840 --> 00:02:20.880]  今天我相信這篇道也是後者多一點
[00:02:20.880 --> 00:02:24.040]  所以我平時講道之前很少祈禱
[00:02:24.040 --> 00:02:26.560]  今天我們也要為了這段經文祈禱
[00:02:26.560 --> 00:02:28.080]  我們低頭祈禱
[00:02:28.080 --> 00:02:31.160]  主我多謝祢,因為祢賜下祢自己豐富的話語
[00:02:31.160 --> 00:02:33.560]  我求祢對我們說話
[00:02:33.560 --> 00:02:36.920]  求祢真理的靈繼續啟示
[00:02:36.920 --> 00:02:38.360]  或者繼續告訴我們
[00:02:38.360 --> 00:02:43.160]  到底我們走這條路要面對的困難和挑戰是怎樣
[00:02:43.160 --> 00:02:45.080]  祢叫我們不要蒙在鼓裡
[00:02:45.080 --> 00:02:46.560]  不要繼續在這裡敷衍
[00:02:46.560 --> 00:02:47.480]  繼續在這裡做夢
[00:02:47.480 --> 00:02:51.080]  我們知道白日的時間不多
[00:02:51.080 --> 00:02:54.440]  黑夜將到的時候我們可以做些什麼
[00:02:54.440 --> 00:02:55.960]  我們可以怎樣面對
[00:02:55.960 --> 00:02:58.560]  求祢很直接的對我們說話
[00:02:58.560 --> 00:03:01.080]  聽我們祈禱,是奉主明求,Amen
[00:03:01.080 --> 00:03:03.440]  好,《馬太福音》第十章第十六節
[00:03:03.440 --> 00:03:05.320]  請你讀,預備,一二三
[00:03:05.320 --> 00:03:20.520]  我猜這段經文你回教會一段時間都聽過了
[00:03:20.520 --> 00:03:22.440]  我記得在丫鬟頭這裡
[00:03:22.440 --> 00:03:24.960]  也有不同的目者說過這段經文
[00:03:24.960 --> 00:03:27.240]  我不是想很詳細地解答
[00:03:27.240 --> 00:03:29.240]  我想告訴你這段經文
[00:03:29.240 --> 00:03:32.440]  你們都要機警如蛇,順良如甲
[00:03:32.440 --> 00:03:36.640]  其實是整段經文的引言
[00:03:36.640 --> 00:03:40.400]  我記得2019年我們也分享過一段經文
[00:03:40.400 --> 00:03:42.920]  是說有假教師
[00:03:42.920 --> 00:03:44.400]  有假先知
[00:03:44.400 --> 00:03:46.120]  假教師假先知
[00:03:46.120 --> 00:03:48.200]  他扮成一隻羊
[00:03:48.200 --> 00:03:49.560]  混入了羊群
[00:03:49.560 --> 00:03:52.800]  但其實他原本是一隻狼
[00:03:52.800 --> 00:03:55.080]  我記得當時是用過這一張照片
[00:03:55.080 --> 00:03:58.120]  我覺得很藝術性
[00:03:58.120 --> 00:04:01.320]  在群羊裡面有一隻
[00:04:01.320 --> 00:04:05.240]  深謀遠慮的狼看著你
[00:04:05.240 --> 00:04:08.880]  今天說的圖畫跟這幅圖畫不同
[00:04:08.880 --> 00:04:12.520]  今天說的圖畫是當一隻羊
[00:04:12.520 --> 00:04:15.560]  進入一群狼裡面
[00:04:15.560 --> 00:04:17.240]  不會是這麼藝術性
[00:04:17.240 --> 00:04:18.280]  不會是這麼和平
[00:04:18.280 --> 00:04:20.480]  不會是大家走在一起
[00:04:20.480 --> 00:04:25.240]  給你看看這幅圖畫
[00:04:25.240 --> 00:04:26.760]  上網找了一些資料
[00:04:26.760 --> 00:04:30.240]  就是當狼進入羊群會怎樣
