
[00:00:00.000 --> 00:00:04.000]  讓我們一起同心低頭禱告
[00:00:04.000 --> 00:00:07.000]  耶穌說我們多謝祢
[00:00:07.000 --> 00:00:09.000]  因為當祢升天之後
[00:00:09.000 --> 00:00:11.000]  祢賜下保衛師
[00:00:11.000 --> 00:00:16.000]  讓保衛師進入我們每一個跟隨祢的人
[00:00:16.000 --> 00:00:17.000]  主要我們多謝祢
[00:00:17.000 --> 00:00:23.000]  因為聖靈就在我們心中掌管我們的生命
[00:00:23.000 --> 00:00:25.000]  主要願意在今天的裡面
[00:00:25.000 --> 00:00:28.000]  祢釋放祢自己的話語
[00:00:28.000 --> 00:00:31.000]  讓我們都能夠每一個弟兄姊妹
[00:00:31.000 --> 00:00:33.000]  都能夠從祢的話語裡面
[00:00:33.000 --> 00:00:36.000]  得著活潑的盼望
[00:00:36.000 --> 00:00:38.000]  求祢在當中帶領我們
[00:00:38.000 --> 00:00:42.000]  引導我們來經歷主祢自己的教導
[00:00:42.000 --> 00:00:44.000]  聽我們的禱告
[00:00:44.000 --> 00:00:45.000]  獻上我們的感恩
[00:00:45.000 --> 00:00:48.000]  奉耶穌基督的名祈求
[00:00:48.000 --> 00:00:49.000]  阿們
[00:00:49.000 --> 00:00:51.000]  來到今天
[00:00:51.000 --> 00:00:54.000]  作主門徒系列的最後一講
[00:00:54.000 --> 00:00:56.000]  我所給的題目是
[00:00:56.000 --> 00:00:59.000]  還膚骨生氣
[00:00:59.000 --> 00:01:02.000]  我不知道當你看見這個題目的時候
[00:01:02.000 --> 00:01:04.000]  你想到些什麼
[00:01:04.000 --> 00:01:05.000]  我不知道今天
[00:01:05.000 --> 00:01:08.000]  你會怎樣去形容
[00:01:08.000 --> 00:01:12.000]  你自己是一個怎樣的基督徒
[00:01:12.000 --> 00:01:16.000]  你是不是一個有生命力的門徒呢
[00:01:16.000 --> 00:01:21.000]  我相信今天真正活出信仰的場景
[00:01:21.000 --> 00:01:24.000]  不只是單單在教會裡面
[00:01:24.000 --> 00:01:27.000]  而是在教會的外面
[00:01:27.000 --> 00:01:30.000]  就是說當你離開了教會之後
[00:01:30.000 --> 00:01:34.000]  你怎樣去按著真理的教導
[00:01:34.000 --> 00:01:36.000]  按著聖靈的帶領
[00:01:36.000 --> 00:01:38.000]  在我們的生活的場景
[00:01:38.000 --> 00:01:40.000]  在我們的職場裡面
[00:01:40.000 --> 00:01:42.000]  在我們的論社裡面
[00:01:42.000 --> 00:01:46.000]  實踐作門徒的使命
[00:01:46.000 --> 00:01:49.000]  我深信今天大家都不會否定
[00:01:49.000 --> 00:01:53.000]  我們就是活在一個歪曲薄茂的世代裡面
[00:01:53.000 --> 00:01:55.000]  每天我們都面對著很多
[00:01:55.000 --> 00:01:59.000]  信仰裡面的衝擊和挑戰
[00:01:59.000 --> 00:02:01.000]  今天世界的價值觀
[00:02:01.000 --> 00:02:04.000]  彷彿和聖經的真理背道而馳
[00:02:04.000 --> 00:02:06.000]  作為基督徒的我們
[00:02:06.000 --> 00:02:10.000]  究竟我們今天怎樣能夠活得更加有盼望
[00:02:10.000 --> 00:02:12.000]  更加能夠在這個世代裡面
[00:02:12.000 --> 00:02:16.000]  為炎為光為主作見證
[00:02:16.000 --> 00:02:20.000]  我不知道以下是不是今天你的光景
[00:02:20.000 --> 00:02:21.000]  越來越少的時間
[00:02:21.000 --> 00:02:23.000]  你都去給自己
[00:02:23.000 --> 00:02:25.000]  越來越多的時間你都去給工作
[00:02:25.000 --> 00:02:28.000]  越來越苦澀的笑容
[00:02:28.000 --> 00:02:29.000]  對待你的家人
[00:02:29.000 --> 00:02:32.000]  甚至對待你的弟兄姊妹
[00:02:32.000 --> 00:02:34.000]  在我們的工作環境裡面
[00:02:34.000 --> 00:02:37.000]  越來越有那份緊張的情緒
