
[00:00:00.000 --> 00:00:03.880]  如果你有聖經的話,我鼓勵你一同去擁抱神的話,我們一起祈禱
[00:00:03.880 --> 00:00:10.680]  天父上帝,我們多謝祢讓我們有這個話語
[00:00:10.680 --> 00:00:16.180]  從中我們可以見識到祢是為怎樣愛我們的神
[00:00:16.180 --> 00:00:19.380]  祢所賜給我們的救主耶穌基督
[00:00:19.380 --> 00:00:24.200]  是為我們所付出的是何等何等的多
[00:00:24.200 --> 00:00:29.800]  都叫我們學習怎樣去做一個忠心跟隨耶穌的門徒
[00:00:29.800 --> 00:00:36.580]  讓我們在生命中許多的起起跌跌都能夠至死忠心
[00:00:36.580 --> 00:00:41.180]  將以後的時間交上,求祢親自向我們講說話
[00:00:41.180 --> 00:00:44.380]  觸動我們的心靈,改變我們的生命
[00:00:44.380 --> 00:00:49.400]  聽我們的祈禱,奉靠耶穌基督得勝的明智祈求,阿們
[00:00:54.400 --> 00:01:01.400]  重點不是你跌下多少次,而是你起身多少次
[00:01:01.400 --> 00:01:08.100]  我在中學的時候我誇難若,未有留場的時候我已經誇難若
[00:01:08.100 --> 00:01:13.280]  這是在反映我的年紀,不是在反映我的水準
[00:01:13.280 --> 00:01:18.620]  我曾經有時候,跑就是出名的一件事
[00:01:18.620 --> 00:01:23.960]  沒有什麼速度,沒有什麼耐力,沒有什麼技術,沒有什麼成績
[00:01:23.960 --> 00:01:27.000]  不過有拼勁,我就是拼命跑拼命跑
[00:01:27.000 --> 00:01:31.260]  所以我就要,既然沒有什麼厲害的人,我就要向最難的事情去做
[00:01:31.260 --> 00:01:34.980]  跑400米跨欄,又需要速度,又需要耐力,又需要技術去跑
[00:01:34.980 --> 00:01:39.520]  少人玩,競爭比較小,可以有點出路
[00:01:39.520 --> 00:01:46.360]  終於經過多年艱苦的訓練,我中五的時候第一次拿到金牌
[00:01:46.360 --> 00:01:54.060]  很開心,一個很意想不到的成績,一跑就贏了一個我從來沒有贏過的人
[00:01:54.060 --> 00:02:00.520]  很興奮,那個年代中五是要考會考的
[00:02:00.520 --> 00:02:08.220]  所以我跑完之後,我就有幾個月沒有練習,只專心讀書,或者假裝專心讀書
[00:02:08.220 --> 00:02:13.040]  到我考完會考之後,出來的時候教練就說開始練習了
[00:02:13.040 --> 00:02:20.220]  雖然沒有什麼狀態,不過有個小比賽跑一下,當練習一下,獲取經驗,獲取感覺
[00:02:20.220 --> 00:02:28.620]  我去到那個場地,我一早去到,很早,早到沒有人,我以為我去錯地方
[00:02:28.620 --> 00:02:32.200]  我坐了一會兒,我以為我去錯就要走了,誰知道慢慢有人來了
[00:02:32.200 --> 00:02:37.500]  我知道我沒有去錯,但我還是想走,為什麼呢?
[00:02:37.500 --> 00:02:44.720]  因為我覺得我現在沒有狀態了,我貴為金牌得主
[00:02:44.720 --> 00:02:49.020]  我怎麼可以讓沒什麼水準的人贏我呢?
[00:02:49.020 --> 00:02:52.620]  隨便一個意大利人跑贏我,我還可以嗎?
[00:02:52.620 --> 00:02:58.500]  所以我走了,我沒有跑,我逃走
[00:02:58.500 --> 00:03:03.980]  事後我的教練很失望,問我你怎麼了?你去了哪裡?
[00:03:03.980 --> 00:03:08.420]  我都覺得很慚愧,為什麼我拿了金牌就不敢跑?
[00:03:08.420 --> 00:03:11.880]  為什麼我以前有的拼勁現在沒有了?
[00:03:11.880 --> 00:03:16.660]  為什麼我會怕輸,怕失敗?
[00:03:16.660 --> 00:03:21.900]  我覺得在一個很高的高峰拿了金牌,很大的榮譽之後
[00:03:21.900 --> 00:03:29.200]  來到很低的谷底,比我之前輸的狀態還要差,是逃跑
[00:03:29.200 --> 00:03:33.060]  弟兄姊妹,不知道在你的素人生活裡面,會不會有些時候呢
[00:03:33.060 --> 00:03:38.900]  你都會經歷一些羞辱,羞恥,是覺得自己很內疚
[00:03:38.900 --> 00:03:44.660]  很無法面對上帝,明明你知道你要做的事,你都做不到
[00:03:44.660 --> 00:03:49.260]  你明明知道你不應該要做的事,你都做了
[00:03:49.260 --> 00:03:55.460]  一次又一次,我們覺得我們都經歷過很深刻的失敗
[00:03:55.460 --> 00:04:04.940]  很大的羞辱,羞愧,都沒有面目去見神,沒有面目去見其他人
[00:04:04.940 --> 00:04:10.660]  可能是你下定決心要每天看聖經,但是本聖經都拜了,不知道幾年沒有打開過
[00:04:10.660 --> 00:04:14.180]  可能是你跟自己說,我不會再去那些我不應該去的網站
[00:04:14.180 --> 00:04:17.500]  但你仍然都是不能夠控制自己
