
[00:00:00.000 --> 00:00:02.000]  各位電影姐妹 平安
[00:00:02.000 --> 00:00:05.320]  平安臨到我們每一個人當中
[00:00:05.320 --> 00:00:08.280]  今天和大家分享這個題目
[00:00:08.280 --> 00:00:14.440]  一開始的時候想和大家玩一個猜謎的遊戲
[00:00:14.440 --> 00:00:15.600]  又是猜謎
[00:00:15.600 --> 00:00:17.600]  猜一種運動
[00:00:17.600 --> 00:00:21.400]  這種運動需要運動員的腳很長
[00:00:21.400 --> 00:00:24.000]  是甚麼
[00:00:24.000 --> 00:00:26.920]  我玩比較舒適一點
[00:00:26.920 --> 00:00:28.960]  但我也有玩過
[00:00:28.960 --> 00:00:31.080]  我有參加過這個比賽
[00:00:31.080 --> 00:00:33.960]  不過通常都是包尾和尾二
[00:00:33.960 --> 00:00:35.480]  是甚麼呢
[00:00:35.480 --> 00:00:37.680]  跳高
[00:00:37.680 --> 00:00:38.880]  跳高我
[00:00:38.880 --> 00:00:40.440]  我真的可以的
[00:00:40.440 --> 00:00:42.480]  很久以前
[00:00:42.480 --> 00:00:46.000]  甚麼呢
[00:00:46.000 --> 00:00:48.360]  跨欄
[00:00:48.360 --> 00:00:49.440]  對 跨欄
[00:00:49.440 --> 00:00:53.080]  跨欄很講求腳夠長 彈跳力
[00:00:53.080 --> 00:00:54.640]  而且跨得比較好
[00:00:54.640 --> 00:00:55.840]  跨欄
[00:00:58.800 --> 00:00:59.520]  跨欄
[00:00:59.520 --> 00:01:03.600]  我們現在面對著很多的挑戰困難
[00:01:03.600 --> 00:01:06.320]  我們就好像要跨欄一樣
[00:01:06.320 --> 00:01:10.240]  正在經歷要跨過這些種種的艱難
[00:01:10.240 --> 00:01:15.680]  今天我們這個世界充滿著很多困苦和艱難
[00:01:15.680 --> 00:01:21.760]  天災 人禍 水浸 COVID 打仗
[00:01:21.760 --> 00:01:23.680]  其實在過往這幾個星期
[00:01:23.680 --> 00:01:25.880]  特別是聽到很多這些消息的時候
[00:01:25.880 --> 00:01:27.800]  你的心會怎樣
[00:01:29.560 --> 00:01:31.120]  有時候我聽到太多的新聞
[00:01:31.120 --> 00:01:32.720]  心都很灰沉
[00:01:32.720 --> 00:01:36.600]  有時候都不是很容易經過
[00:01:36.600 --> 00:01:38.200]  不是很容易跨過
[00:01:38.200 --> 00:01:41.480]  御府旗
[00:01:41.480 --> 00:01:45.480]  我相信弟兄姊妹對御府旗都不陌生
[00:01:45.480 --> 00:01:47.680]  因為我們已經有好幾年
[00:01:47.680 --> 00:01:49.960]  一起去經歷學習御府旗
[00:01:49.960 --> 00:01:52.560]  御府旗就是在我們復活節之前
[00:01:52.560 --> 00:01:54.600]  大概七個星期的時間
[00:01:54.600 --> 00:01:56.520]  不計星期日就有四十天
[00:01:57.080 --> 00:02:01.600]  我們安靜默想主耶穌基督受苦受難
[00:02:01.600 --> 00:02:06.080]  特別是在今年的御府旗當中
[00:02:06.080 --> 00:02:08.520]  我們求聖靈引導我們
[00:02:08.520 --> 00:02:12.920]  特別我們說我們信耶穌基督的信仰
[00:02:12.920 --> 00:02:15.560]  怎樣帶著我們
[00:02:15.560 --> 00:02:16.880]  承載著我們
[00:02:16.880 --> 00:02:21.720]  逾越跨過這些生命種種的挑戰和艱難
[00:02:21.720 --> 00:02:23.240]  我們一起祈禱
[00:02:27.960 --> 00:02:29.080]  親愛的天父
[00:02:29.080 --> 00:02:31.520]  求你的聖靈
[00:02:31.520 --> 00:02:34.680]  在我們心裡面親自的工作
[00:02:34.680 --> 00:02:37.640]  提醒
[00:02:37.640 --> 00:02:39.160]  鼓勵
[00:02:39.160 --> 00:02:40.640]  督責
[00:02:40.640 --> 00:02:42.280]  引導我們
[00:02:42.280 --> 00:02:44.560]  特別在這個時刻
[00:02:44.560 --> 00:02:48.920]  求主你的聖靈陪伴我們
[00:02:48.920 --> 00:02:50.720]  帶領我們經過
[00:02:50.720 --> 00:02:53.000]  讓我們有悟性
[00:02:53.000 --> 00:02:56.440]  開我們的眼開我們的耳打開我們的心
[00:02:57.200 --> 00:02:59.240]  恭迎神你的說話的教導
[00:02:59.240 --> 00:03:02.200]  禱告奉耶穌基督的聖名求
[00:03:02.200 --> 00:03:03.160]  阿們
[00:03:27.080 --> 00:03:29.800]  十一節和十四節我們一起讀
[00:03:29.800 --> 00:03:33.240]  這是耶和華的逾越節
